cell,candidate,branch_half,matrix_id,up_minus_down,up_minus_noop,noop_minus_down,random_minus_noop,regime
c03_A,03,A,23,0.0,0.0,0.0,0.0,POS_A_M4_S5
c03_A,03,A,24,0.0625,-0.08333333333333333,0.14583333333333334,-0.10416666666666667,POS_A_M4_S5
c03_A,03,A,25,0.020833333333333332,-0.08333333333333333,0.10416666666666666,-0.041666666666666664,POS_A_M4_S5
c03_A,03,A,26,0.0,0.0,0.0,0.0,POS_A_M4_S5
c03_A,03,A,27,0.020833333333333332,-0.04166666666666667,0.0625,-0.02083333333333334,POS_A_M4_S5
c03_A,03,A,28,0.02083333333333334,0.0625,-0.041666666666666664,0.020833333333333332,POS_A_M4_S5
c03_A,03,A,29,-0.020833333333333336,0.0,-0.020833333333333336,0.04166666666666667,POS_A_M4_S5
c03_A,03,A,30,0.020833333333333332,-0.02083333333333334,0.04166666666666667,-0.02083333333333334,POS_A_M4_S5
c03_A,03,A,31,-0.041666666666666685,0.06249999999999997,-0.10416666666666666,-0.02083333333333337,POS_A_M4_S5
c03_A,03,A,32,0.04166666666666667,0.16666666666666669,-0.125,0.0625,POS_A_M4_S5
c03_A,03,A,33,0.020833333333333332,0.0,0.020833333333333332,0.041666666666666664,POS_A_M4_S5
c03_A,03,A,34,6.938893903907228e-18,0.0625,-0.0625,0.16666666666666669,POS_A_M4_S5
c03_A,03,A,35,0.10416666666666666,-0.020833333333333315,0.12499999999999997,-0.14583333333333331,POS_A_M4_S5
c03_A,03,A,36,-0.0625,-0.10416666666666667,0.04166666666666667,-0.04166666666666666,POS_A_M4_S5
c03_A,03,A,37,0.04166666666666667,-0.04166666666666667,0.08333333333333334,-0.04166666666666667,POS_A_M4_S5
c03_A,03,A,38,0.0,0.0,0.0,0.0,POS_A_M4_S5
c03_A,03,A,39,-0.0625,0.0,-0.0625,0.020833333333333332,POS_A_M4_S5
c03_B,03,B,0,0.0,0.0,0.0,0.0,POS_A_M4_S5
