pair_id,environment,condition,checkpoint,observer,p_a_given_a,p_a_given_b,p_b_given_a,p_b_given_b,direction_a,direction_b,crossover,correct,resolved,survival
fresh-3-5c6613e295e01df1,launch0,unrelated_pair,64,primary,1.0,0.03125,0.0,0.875,0.96875,0.875,0.875,0.9375,0.953125,1.0
fresh-3-5c6613e295e01df1,launch0,unrelated_pair,64,terminal,1.0,0.03125,0.0,0.890625,0.96875,0.890625,0.890625,0.9453125,0.9609375,1.0
fresh-3-5c6613e295e01df1,launch0,unrelated_pair,8,primary,0.109375,0.0,0.0,0.0,0.109375,0.0,0.0,0.0546875,0.0546875,1.0
fresh-3-5c6613e295e01df1,launch0,unrelated_pair,8,terminal,0.765625,0.0,0.0,0.203125,0.765625,0.203125,0.203125,0.484375,0.484375,1.0
fresh-3-5c6613e295e01df1,launch0,zero,16,primary,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,1.0
fresh-3-5c6613e295e01df1,launch0,zero,16,terminal,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,1.0
fresh-3-5c6613e295e01df1,launch0,zero,32,primary,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,1.0
fresh-3-5c6613e295e01df1,launch0,zero,32,terminal,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,1.0
fresh-3-5c6613e295e01df1,launch0,zero,64,primary,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,1.0
fresh-3-5c6613e295e01df1,launch0,zero,64,terminal,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,1.0
fresh-3-5c6613e295e01df1,launch0,zero,8,primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fresh-3-5c6613e295e01df1,launch0,zero,8,terminal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fresh-3-5c6613e295e01df1,launch1,intact,16,primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fresh-3-5c6613e295e01df1,launch1,intact,16,terminal,0.09375,0.0,0.0,0.0,0.09375,0.0,0.0,0.046875,0.046875,1.0
fresh-3-5c6613e295e01df1,launch1,intact,32,primary,0.015625,0.0,0.0,0.0,0.015625,0.0,0.0,0.0078125,0.0078125,1.0
fresh-3-5c6613e295e01df1,launch1,intact,32,terminal,0.0625,0.0,0.0,0.0,0.0625,0.0,0.0,0.03125,0.03125,1.0
fresh-3-5c6613e295e01df1,launch1,intact,64,primary,0.8125,0.21875,0.0625,0.515625,0.59375,0.453125,0.453125,0.6640625,0.8046875,1.0
fresh-3-5c6613e295e01df1,launch1,intact,64,terminal,0.6875,0.125,0.0625,0.546875,0.5625,0.484375,0.484375,0.6171875,0.7109375,1.0
fresh-3-5c6613e295e01df1,launch1,intact,8,primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fresh-3-5c6613e295e01df1,launch1,intact,8,terminal,0.09375,0.0,0.0,0.015625,0.09375,0.015625,0.015625,0.0546875,0.0546875,1.0
fresh-3-5c6613e295e01df1,launch1,matched_random,16,primary,0.0,0.0,0.046875,0.0,0.0,-0.046875,-0.046875,0.0,0.0234375,1.0
fresh-3-5c6613e295e01df1,launch1,matched_random,16,terminal,0.0,0.0,0.203125,0.0,0.0,-0.203125,-0.203125,0.0,0.1015625,1.0
fresh-3-5c6613e295e01df1,launch1,matched_random,32,primary,0.0,0.0,0.234375,0.0,0.0,-0.234375,-0.234375,0.0,0.1171875,1.0
fresh-3-5c6613e295e01df1,launch1,matched_random,32,terminal,0.0,0.0,0.25,0.03125,0.0,-0.21875,-0.21875,0.015625,0.140625,1.0
fresh-3-5c6613e295e01df1,launch1,matched_random,64,primary,0.0625,0.4375,0.6875,0.34375,-0.375,-0.34375,-0.375,0.203125,0.765625,1.0
fresh-3-5c6613e295e01df1,launch1,matched_random,64,terminal,0.046875,0.34375,0.703125,0.375,-0.296875,-0.328125,-0.328125,0.2109375,0.734375,1.0
fresh-3-5c6613e295e01df1,launch1,matched_random,8,primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fresh-3-5c6613e295e01df1,launch1,matched_random,8,terminal,0.0,0.0,0.0625,0.0,0.0,-0.0625,-0.0625,0.0,0.03125,1.0
fresh-3-5c6613e295e01df1,launch1,midpoint,16,primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fresh-3-5c6613e295e01df1,launch1,midpoint,16,terminal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fresh-3-5c6613e295e01df1,launch1,midpoint,32,primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fresh-3-5c6613e295e01df1,launch1,midpoint,32,terminal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fresh-3-5c6613e295e01df1,launch1,midpoint,64,primary,0.453125,0.453125,0.21875,0.21875,0.0,0.0,0.0,0.3359375,0.671875,1.0
fresh-3-5c6613e295e01df1,launch1,midpoint,64,terminal,0.390625,0.390625,0.234375,0.234375,0.0,0.0,0.0,0.3125,0.625,1.0
fresh-3-5c6613e295e01df1,launch1,midpoint,8,primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
