definition_index,definition_key,inheritance_threshold_strict,horizon_fissions,renewal_run_length,registered_baseline,candidate,states,branches,events,event_positive_matrices,prevalence,prevalence_ci95_lower,prevalence_ci95_upper,transition_region_states,branch_half_reliability,branch_half_reliability_ci95_lower,branch_half_reliability_ci95_upper,centered_branch_half_reliability,centered_branch_half_reliability_ci95_lower,centered_branch_half_reliability_ci95_upper,log_loss_baseline_A,log_loss_added_A,log_loss_gain_A,log_loss_gain_A_ci95_lower,log_loss_gain_A_ci95_upper,q_brier_gain_A,centered_spearman_baseline_A,centered_spearman_added_A,centered_spearman_gain_A,log_loss_baseline_B,log_loss_added_B,log_loss_gain_B,log_loss_gain_B_ci95_lower,log_loss_gain_B_ci95_upper,q_brier_gain_B,centered_spearman_baseline_B,centered_spearman_added_B,centered_spearman_gain_B
45,h0.92_f16_r2,0.92,16,2,False,02,1000,64000,41297,190,0.645265625,0.6023804687500001,0.688538671875,631,0.9006109693006339,0.8690736098237243,0.9234583424609568,0.5412419267624303,0.48431535245337903,0.5980298399275548,0.737082320099056,0.7077022497233226,0.029380070375733425,0.014517658557373228,0.04389734355750296,0.014105910103527075,0.3146237556031597,0.46769857818739896,0.15307482258423927,0.736696761747813,0.7062287438533107,0.030468017894502264,0.01573708977045802,0.044825061789727456,0.01450208708719801,0.30390083610285756,0.48855588658455024,0.18465505048169267
46,h0.92_f16_r3,0.92,16,3,False,02,1000,64000,37047,189,0.578859375,0.5403734375000001,0.6166394531249999,794,0.8802713646086912,0.8437729609731214,0.9080297716660513,0.5432176725862891,0.4848778018753834,0.5985023142799419,0.7294828695966612,0.6972467948396781,0.03223607475698309,0.01927097812113713,0.04480886346800604,0.0140766760557849,0.3247220009101667,0.48034780648645986,0.15562580557629319,0.7287971924965929,0.6960825145380587,0.03271467795853422,0.020639996398999452,0.04617593957840272,0.01431130108805638,0.31035216680810657,0.5051119948466486,0.19475982803854203
47,h0.92_f16_r4,0.92,16,4,False,02,1000,64000,31981,188,0.499703125,0.46576679687499994,0.532138671875,855,0.874044728892342,0.8389626661516733,0.9032065196772392,0.5679668312026016,0.5035153792381962,0.614787652064185,0.7210525090428505,0.6890448544458855,0.032007654596964974,0.02093843325835652,0.04399498159340658,0.012892121914733184,0.3150674800744175,0.4713482171230683,0.1562807370486508,0.7193930868234878,0.6855223286665565,0.0338707581569313,0.02372601676106963,0.044974722362603026,0.01358336423445157,0.3220552794078858,0.5255767590597644,0.2035214796518786
48,h0.95_f08_r2,0.95,8,2,False,02,1000,64000,26588,196,0.4154375,0.38963984374999994,0.43984609375,868,0.8733449080379801,0.8408029329125221,0.8989746155192974,0.5993305170319873,0.5362296561775378,0.6660969430071033,0.763276417205849,0.7348477493843857,0.02842866782146336,0.016390021992852912,0.039476088448670205,0.010441665034257072,0.2493690371695051,0.3855924314384245,0.13622339426891938,0.7614763982680733,0.7305610115124596,0.030915386755613783,0.019483305182620824,0.043282639238542274,0.011177402931679,0.26686288859410584,0.4158747292332764,0.14901184063917056
49,h0.95_f08_r3,0.95,8,3,False,02,1000,64000,17102,196,0.26721875,0.24569882812500002,0.285987109375,793,0.8419299187484316,0.8079610241232851,0.8707804858985022,0.5784094495779528,0.5101235068609451,0.632142144390806,0.6986193183269229,0.6774504154996865,0.02116890282723638,0.010313192816705879,0.03269267177535017,0.006003091651292425,0.21448251232137402,0.37358318371942856,0.15910067139805453,0.6978126504576244,0.6747031844270543,0.02310946603057007,0.012097352084276475,0.033144272361202355,0.006337386155748498,0.2455328308306865,0.40101209465184146,0.15547926382115496
50,h0.95_f08_r4,0.95,8,4,False,02,1000,64000,10464,193,0.1635,0.150686328125,0.17662929687500004,625,0.7895469000981171,0.749957995349672,0.8209257119258699,0.5045519638969408,0.43846422711775035,0.5692743714691612,0.6375166939483572,0.622167201531657,0.015349492416700139,0.004710016503818529,0.02914508937510206,0.002005513957921895,0.2197476412101106,0.37143460711280407,0.15168696590269348,0.6451949182324556,0.6282769419532299,0.016917976279225644,0.004664480748968391,0.029583482642470238,0.0026092303459327587,0.19426270685120386,0.3593499014043656,0.16508719455316176
51,h0.95_f10_r2,0.95,10,2,False,02,1000,64000,32825,197,0.512890625,0.479626171875,0.5438828125,879,0.8784030352814334,0.8463420329624156,0.9022495606235944,0.5849506013773291,0.5152343713170914,0.6466033480518747,0.8258238590326529,0.8009275692224339,0.024896289810218963,0.010144032849115503,0.03968067748729362,0.011680426261567886,0.2434013483446961,0.374445586013996,0.13104423766929993,0.8240446646270077,0.7967812104991963,0.027263454127811393,0.014307881520308563,0.04084291884895816,0.0121064778792873,0.24900062600674713,0.38817231544596487,0.13917168943921773
52,h0.95_f10_r3,0.95,10,3,False,02,1000,64000,23068,196,0.3604375,0.332623046875,0.38582070312500005,847,0.8666223721490197,0.8352045849814994,0.8902994400576176,0.555152256277625,0.48496909858556175,0.6220354301546743,0.7641204847191944,0.742208577395955,0.021911907323239332,0.009190746743583476,0.034977111789184195,0.008253038125333928,0.1987515841167081,0.34682332315742204,0.14807173904071394,0.7636524139769261,0.7410793496720077,0.022573064304918344,0.00957194018331205,0.034862595966646114,0.008270496101905417,0.2194250689064181,0.36909434627261184,0.14966927736619373
53,h0.95_f10_r4,0.95,10,4,False,02,1000,64000,15650,196,0.24453125,0.22431796875,0.264559375,763,0.8371790195665635,0.8054839038802077,0.8658256112590197,0.4980161007267337,0.4215022963070828,0.5752335944212023,0.7026842768415736,0.6858831340693429,0.01680114277223077,0.005325311407824354,0.028804011630836446,0.004596914928828549,0.17939708531577553,0.3334869331177022,0.1540898478019267,0.7036779505971503,0.6856412614077487,0.0180366891894016,0.00579994694249954,0.028364807192949978,0.004827277054275589,0.23062332828964485,0.36793750430476563,0.13731417601512078
54,h0.95_f12_r2,0.95,12,2,False,02,1000,64000,37612,197,0.5876875,0.54872109375,0.623585546875,850,0.8860369115980761,0.8537441959880374,0.9103520626371518,0.5693176763998874,0.4999910006405739,0.6325280078232499,0.876901142010793,0.8568182214554196,0.020082920555373418,-0.00038237521352809094,0.038059823237751436,0.012287926147588613,0.22502305393891026,0.34337993838936637,0.11835688445045611,0.8722233786245067,0.8513833114954036,0.020840067129103135,0.0008016782375395189,0.038918649036922055,0.011983699352795557,0.25015494972678315,0.37007075382529564,0.11991580409851249
