definition_index,definition_key,inheritance_threshold_strict,horizon_fissions,renewal_run_length,registered_baseline,candidate,half,left_arm,right_arm,contrast,estimate,ci95_lower,ci95_upper,matrices,states,expected_positive_direction
5,h0.85_f10_r4,0.85,10,4,False,02,B,MODEL_UP,NOOP,MODEL_UP_minus_NOOP,0.0140625,0.01011796875,0.018816406249999994,200,1000,True
5,h0.85_f10_r4,0.85,10,4,False,02,B,NOOP,MODEL_DOWN,NOOP_minus_MODEL_DOWN,0.02634375,0.02140625,0.031528125,200,1000,True
5,h0.85_f10_r4,0.85,10,4,False,02,B,RANDOM,NOOP,RANDOM_minus_NOOP,-0.0025,-0.006007031250000001,0.0012226562499999948,200,1000,False
6,h0.85_f12_r2,0.85,12,2,False,02,A,MODEL_UP,MODEL_DOWN,MODEL_UP_minus_MODEL_DOWN,0.039125,0.032305468749999997,0.04599374999999999,200,1000,True
6,h0.85_f12_r2,0.85,12,2,False,02,A,MODEL_UP,NOOP,MODEL_UP_minus_NOOP,0.0125,0.00712109375,0.017083593749999997,200,1000,True
6,h0.85_f12_r2,0.85,12,2,False,02,A,NOOP,MODEL_DOWN,NOOP_minus_MODEL_DOWN,0.026625,0.0214234375,0.032573437499999996,200,1000,True
6,h0.85_f12_r2,0.85,12,2,False,02,A,RANDOM,NOOP,RANDOM_minus_NOOP,-0.00103125,-0.0061632812499999995,0.003621874999999996,200,1000,False
6,h0.85_f12_r2,0.85,12,2,False,02,B,MODEL_UP,MODEL_DOWN,MODEL_UP_minus_MODEL_DOWN,0.0381875,0.03208671875,0.04438906249999999,200,1000,True
6,h0.85_f12_r2,0.85,12,2,False,02,B,MODEL_UP,NOOP,MODEL_UP_minus_NOOP,0.0125,0.007638281250000001,0.017278125,200,1000,True
6,h0.85_f12_r2,0.85,12,2,False,02,B,NOOP,MODEL_DOWN,NOOP_minus_MODEL_DOWN,0.0256875,0.019853906249999997,0.031142968749999993,200,1000,True
6,h0.85_f12_r2,0.85,12,2,False,02,B,RANDOM,NOOP,RANDOM_minus_NOOP,-0.0005,-0.0044765625000000005,0.004538281249999999,200,1000,False
7,h0.85_f12_r3,0.85,12,3,False,02,A,MODEL_UP,MODEL_DOWN,MODEL_UP_minus_MODEL_DOWN,0.03975,0.03293046875,0.04619843749999999,200,1000,True
7,h0.85_f12_r3,0.85,12,3,False,02,A,MODEL_UP,NOOP,MODEL_UP_minus_NOOP,0.012375,0.0076625,0.017271093749999994,200,1000,True
7,h0.85_f12_r3,0.85,12,3,False,02,A,NOOP,MODEL_DOWN,NOOP_minus_MODEL_DOWN,0.027375,0.021815625,0.03383359375,200,1000,True
