definition_index,definition_key,adjacent_and_pairwise_threshold_strict,strict_run_length,old_anchor_threshold_inclusive,horizon_fissions,registered_baseline,candidate,states,branches,events,event_positive_matrices,prevalence,prevalence_ci95_lower,prevalence_ci95_upper,transition_region_states,branch_half_reliability,branch_half_reliability_ci95_lower,branch_half_reliability_ci95_upper,centered_branch_half_reliability,centered_branch_half_reliability_ci95_lower,centered_branch_half_reliability_ci95_upper,log_loss_baseline_A,log_loss_added_A,log_loss_gain_A,log_loss_gain_A_ci95_lower,log_loss_gain_A_ci95_upper,q_brier_gain_A,centered_spearman_baseline_A,centered_spearman_added_A,centered_spearman_gain_A,log_loss_baseline_B,log_loss_added_B,log_loss_gain_B,log_loss_gain_B_ci95_lower,log_loss_gain_B_ci95_upper,q_brier_gain_B,centered_spearman_baseline_B,centered_spearman_added_B,centered_spearman_gain_B
26,h0.92_r9_a0.90,0.92,9,0.9,32,False,02,1000,128000,1576,113,0.0123125,0.0084103515625,0.016456640624999998,25,0.5994530236373331,0.5074939231747067,0.6809028564085294,0.08929571911212436,-0.026933290312171163,0.1888856455866354,0.06745178883697799,0.06724374411333556,0.0002080447236424282,-0.00031879513253520246,0.0008619135997080181,-2.7512287218109258e-05,0.057704216813059414,0.015864330090304826,-0.041839886722754585,0.06595305742977763,0.06582908006270528,0.00012397736707234208,-0.0003426098242966224,0.0005794721460267326,-2.197489888547269e-05,0.0875014524747499,0.08941262064878755,0.0019111681740376502
0,h0.88_r7_a0.80,0.88,7,0.8,32,False,03,1000,128000,3888,171,0.030375,0.0248392578125,0.036599218749999995,88,0.6742156325280317,0.6084331433145369,0.7306653428639756,0.23329876294559868,0.15196490186977105,0.30617712879077097,0.133315911341947,0.13287776963499343,0.000438141706953582,8.527388234810495e-05,0.0007820468122309804,1.88721313814544e-05,0.06928295722377946,0.031417880834665526,-0.03786507638911393,0.13797489289900733,0.13755006815117407,0.00042482474783325785,4.123021235309596e-05,0.0008487588694622881,1.8210647140681595e-05,0.1060135640224637,0.054220897392864786,-0.051792666629598916
1,h0.88_r7_a0.85,0.88,7,0.85,32,False,03,1000,128000,4097,175,0.0320078125,0.02638515625,0.037814453124999994,90,0.6664346726576867,0.5952587858311489,0.7235056399208255,0.23389410392195076,0.14030033320478955,0.31280186019901374,0.13983386592023803,0.1393554448300829,0.00047842109015514,9.90682975755934e-05,0.0008380857981698491,2.1330108790761516e-05,0.06461375138929265,0.025712527067161046,-0.038901224322131604,0.14360443165652553,0.1431394788776769,0.00046495277884864294,3.489493308669392e-05,0.000866571898363276,2.0372324000266125e-05,0.09846549946526088,0.04500854183552851,-0.05345695762973238
2,h0.88_r7_a0.90,0.88,7,0.9,32,False,03,1000,128000,4290,176,0.033515625,0.027258398437499998,0.039332617187499995,96,0.6704111634200347,0.6007114812556004,0.7347650526586126,0.22049424939148518,0.13934342062293967,0.2956907718180251,0.14503176641609897,0.14453145964549316,0.0005003067706058073,0.00012480878743089397,0.0008630016451423439,2.266600484983729e-05,0.056661563719088294,0.01579526108757443,-0.04086630263151386,0.14961090677004454,0.14909791756767488,0.000512989202369668,1.66256991368581e-05,0.0009352157913891137,2.3094499680580746e-05,0.11647837679956109,0.06445521351775328,-0.05202316328180781
3,h0.88_r8_a0.80,0.88,8,0.8,32,False,03,1000,128000,2314,158,0.018078125,0.014129101562500001,0.02308515624999999,39,0.587592665019214,0.4989948598923927,0.6621035440880296,0.17137103491467814,0.08712402618864977,0.25990507529977397,0.08957726932858505,0.08937122206713413,0.00020604726145091734,-5.739551309558687e-05,0.0004791575529830092,4.767999691090031e-06,0.029960948545385287,-0.00857631018946934,-0.038537258734854626,0.0913718081545915,0.09111266147871333,0.00025914667587817464,-7.509370536321857e-05,0.0005469824545981379,6.448181499629606e-06,0.12972821579755636,0.08356697297978341,-0.04616124281777295
4,h0.88_r8_a0.85,0.88,8,0.85,32,False,03,1000,128000,2451,160,0.0191484375,0.015217578124999999,0.023650195312499997,41,0.5874829263955318,0.4950147343225798,0.6623192029404664,0.18295497180138368,0.10039676920473353,0.2763039490174712,0.09335834777919726,0.09312784392646718,0.000230503852730074,-3.731114656204994e-05,0.0005356666785903865,6.194116381469947e-06,0.01561225463857261,-0.021151905718474827,-0.03676416035704744,0.09552409666241272,0.0952513062377764,0.0002727904246363211,-8.67912389902678e-06,0.0005794450264052033,7.2727771981775675e-06,0.12708448572294756,0.08123185049281169,-0.04585263523013587
5,h0.88_r8_a0.90,0.88,8,0.9,32,False,03,1000,128000,2570,161,0.020078125,0.0158833984375,0.0247943359375,45,0.589165085347512,0.5107856362740713,0.6633455211985322,0.17112979789984667,0.08694622188146163,0.24743091865595115,0.09638788864135615,0.09613846958744898,0.0002494190539071711,-7.142467732152574e-06,0.0005255630414106693,7.357692571658379e-06,0.014963900834451586,-0.022003938617141734,-0.03696783945159332,0.09939789496162518,0.09909641584716494,0.00030147911446024023,-1.330941701520212e-05,0.0006318910393667773,8.90391729341613e-06,0.12932482809143928,0.08143936251504129,-0.04788546557639799
6,h0.88_r9_a0.80,0.88,9,0.8,32,False,03,1000,128000,1505,141,0.0117578125,0.0089294921875,0.015271874999999997,27,0.5302888250044755,0.43060449952718616,0.6150872526654108,0.18771780637485969,0.09958181041032049,0.2676282852682585,0.06815477715592134,0.06800577942131526,0.00014899773460608223,-8.93319061910442e-05,0.000407860363923535,1.9986143393589152e-08,0.014510033308197001,-0.008316775934906475,-0.02282680924310348,0.0663902934538869,0.06625404624311228,0.00013624721077462598,-0.00011151098025798043,0.00042522187152069127,-1.117531194867738e-06,0.10254710864074276,0.0567334552337868,-0.045813653406955965
7,h0.88_r9_a0.85,0.88,9,0.85,32,False,03,1000,128000,1582,144,0.012359375,0.009205664062499999,0.0153447265625,28,0.5457207124350456,0.45496039242383823,0.6219438190105575,0.19638079669720962,0.10531246632327522,0.28772744047566684,0.07014744627088813,0.0699832268292781,0.00016421944161003343,-6.384766574059897e-05,0.0004083416514714853,8.099182610408259e-07,0.01597461740763844,-0.008237691452146081,-0.024212308859784523,0.06887169281608543,0.0687143387813636,0.00015735403472183496,-0.0001033353281214091,0.00043066809346832666,-4.849953213516278e-08,0.09277393974764678,0.04892196911214353,-0.043851970635503244
8,h0.88_r9_a0.90,0.88,9,0.9,32,False,03,1000,128000,1665,150,0.0130078125,0.0099513671875,0.016433203125,29,0.5406395054603226,0.4421295315290873,0.6144757127395448,0.1661683358011675,0.07848755356185895,0.24839445986193143,0.07213045910188741,0.07196663813767369,0.00016382096421371783,-6.554341691373533e-05,0.0004242992906296224,1.20778582330598e-06,0.02181787593302618,-0.0014969824736769666,-0.023314858406703148,0.07165029459894656,0.07146440499675132,0.00018588960219524664,-4.8224311494376304e-05,0.00045465263495365925,1.5367140338805318e-06,0.09929779928021475,0.05822973694748231,-0.041068062332732434
9,h0.90_r7_a0.80,0.9,7,0.8,32,False,03,1000,128000,4146,167,0.032390625,0.0260919921875,0.03962539062499999,99,0.7176907837601428,0.6471192366035093,0.7727427211042105,0.25069378009323473,0.15796258528753812,0.3332876697615163,0.1405483127180086,0.13996235346377148,0.0005859592542371284,0.00014116609005696972,0.0010082410166281112,2.5344239172111864e-05,0.06449583495787203,0.01909276379989548,-0.04540307115797655,0.14573381448803369,0.14517383732004963,0.0005599771679840604,0.00011888455344601437,0.0010272225513876664,2.437823672972808e-05,0.0904515490255182,0.033855688629863136,-0.05659586039565507
10,h0.90_r7_a0.85,0.9,7,0.85,32,False,03,1000,128000,4376,169,0.0341875,0.026887695312499998,0.0422806640625,102,0.7272732118442266,0.6604546912031645,0.7836295309094833,0.24501636200749705,0.15951385270016435,0.3257916540015597,0.14755713247302576,0.14690324476723374,0.0006538877057920278,0.00021395291137613903,0.001082652804557503,2.9102656739861312e-05,0.05325758683612465,0.014628654103292772,-0.03862893273283188,0.15208133071774113,0.15146190854847139,0.0006194221692697455,0.00011262940649701195,0.0011179516499602387,2.7607136788859125e-05,0.08718546687098333,0.03435767149565844,-0.05282779537532489
11,h0.90_r7_a0.90,0.9,7,0.9,32,False,03,1000,128000,4617,170,0.0360703125,0.0287912109375,0.044508984375,105,0.7338295680751392,0.667029094329744,0.7875357142683892,0.22784269830885912,0.1404020229158106,0.3094792429878549,0.1547183639981197,0.15400039670601148,0.0007179672921082125,0.0003350959700510227,0.0012055097562014762,3.2623088459572853e-05,0.058328864585289804,0.01912945491502717,-0.039199409670262635,0.15890809323389077,0.1582386198885418,0.0006694733453489754,0.00019749769302682962,0.0011535200915914728,3.0779021814120264e-05,0.08403861809665658,0.026619079018656656,-0.057419539077999925
12,h0.90_r8_a0.80,0.9,8,0.8,32,False,03,1000,128000,2526,146,0.019734375,0.0149748046875,0.024529687499999998,51,0.6392267933388428,0.5614308786312278,0.7114643532288516,0.23445721082053464,0.15914806084953642,0.3168597325300347,0.09646179581394879,0.0961031703748238,0.0003586254391249877,9.308252810535343e-05,0.0006565753519231258,1.1477807006906584e-05,0.058736871551534564,0.02182648763406669,-0.03691038391746787,0.09674389669738016,0.09643656048631634,0.00030733621106382447,-5.309884204300618e-06,0.0006241865828758704,8.384271014476221e-06,0.0893812606272998,0.04267298617674917,-0.04670827445055063
13,h0.90_r8_a0.85,0.9,8,0.85,32,True,03,1000,128000,2687,149,0.0209921875,0.015980859375,0.0264921875,53,0.6468941371414989,0.5699038697755997,0.7121917215336384,0.22944968132097868,0.14623518759858528,0.3035770630978882,0.1007853638985554,0.10039768807728705,0.000387675821268349,0.00011860623270090188,0.0007258721658847267,1.2997151592203252e-05,0.05790928453627581,0.029096539352552683,-0.028812745183723124,0.10171431343425087,0.10135880399678043,0.00035550943747043873,2.8469933658881868e-05,0.0006955021771549636,1.0937297321005849e-05,0.08536138320995794,0.04248956496581042,-0.04287181824414752
14,h0.90_r8_a0.90,0.9,8,0.9,32,False,03,1000,128000,2814,150,0.021984375,0.01677421875,0.02777070312499999,55,0.6459184297927089,0.5678861395307797,0.7074633510042766,0.1942037053186231,0.10719500785926571,0.2722713912519073,0.10405129885384137,0.1036233908497455,0.00042790800409586716,0.00011887159172399644,0.0007443338894411361,1.5257428953466788e-05,0.06355388204307173,0.0358727580802528,-0.02768112396281893,0.10580840345083492,0.10540883112055914,0.00039957233027577976,7.789505475398056e-05,0.000738287851258817,1.335346000519693e-05,0.09202229083123752,0.045295305165906394,-0.04672698566533112
