candidate,direction,test_fold,model,previous,duration_bin,transitions,fitted_probability,observed_probability,calibration_error
03,even_to_odd,1,legacy_iid,,,107747,0.7816344073272669,0.8119205175086082,-0.030286110181341308
03,even_to_odd,1,markov,0.0,,21969,0.5987479960302313,0.6384450817060403,-0.039697085675808985
03,even_to_odd,1,markov,1.0,,85778,0.8486471065856172,0.8563501130826086,-0.007703006496991405
03,even_to_odd,1,semimarkov,0.0,1,14987,0.6409785570430044,0.6644425168479349,-0.023463959804930434
03,even_to_odd,1,semimarkov,0.0,2,4464,0.5552675430475835,0.5985663082437276,-0.04329876519614406
03,even_to_odd,1,semimarkov,0.0,3,1569,0.5035063113604487,0.5748884639898024,-0.07138215262935377
03,even_to_odd,1,semimarkov,0.0,4,573,0.44812834224598924,0.5567190226876091,-0.10859068044161985
03,even_to_odd,1,semimarkov,0.0,5+,376,0.44051825677267376,0.4654255319148936,-0.024907275142219854
03,even_to_odd,1,semimarkov,1.0,1,23683,0.7861797182878772,0.7992230714014272,-0.013043353113549983
03,even_to_odd,1,semimarkov,1.0,2,17043,0.844541291995366,0.8480314498621134,-0.0034901578667474453
03,even_to_odd,1,semimarkov,1.0,3,12820,0.8616025734756542,0.8758970358814353,-0.014294462405781139
03,even_to_odd,1,semimarkov,1.0,4,9885,0.882822262808805,0.8871016691957512,-0.004279406386946127
03,even_to_odd,1,semimarkov,1.0,5+,22347,0.8975503024582778,0.8984203696245581,-0.0008700671662802417
