endpoint,scope,candidate,branch_half,matrix_id,target_loosen_minus_tighten,neutral_minus_noop,balanced_log_minus_noop
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,139,0.075,-0.0625,-0.2
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,140,0.2625,0.125,-0.075
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,141,0.0125,-0.0625,-0.1375
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,142,0.15,0.0,-0.05
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,143,0.2125,0.075,0.2125
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,144,0.1875,0.1,0.0
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,145,0.225,0.0875,-0.125
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,146,0.3875,0.125,-0.05
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,147,0.25,0.1375,0.0125
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,148,0.1125,0.0375,0.0625
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,149,0.0625,-0.0125,-0.025
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,150,0.175,-0.05,-0.175
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,151,0.025,0.0,-0.025
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,152,0.0,0.0125,0.025
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,153,0.0,0.0,0.0
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,154,-0.075,-0.0375,0.15
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,155,0.0875,0.1,0.0
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,156,0.075,0.0875,0.025
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,157,0.1625,0.0875,-0.125
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,158,0.1,0.025,0.025
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,A,159,0.0125,-0.0875,-0.0625
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,0,0.2,0.05,-0.0375
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,1,-0.0375,0.075,-0.0875
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,2,-0.0625,0.1875,0.0125
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,3,-0.0625,-0.05,-0.0875
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,4,0.15,0.0125,0.15
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,5,0.0,0.0,0.0
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,6,0.1,-0.15,-0.15
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,7,0.025,0.1125,0.15
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,8,0.0,0.0,0.0
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,9,0.0625,-0.0125,-0.0625
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,10,0.0,0.0,0.0
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,11,0.175,0.2375,-0.0875
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,12,0.2625,0.1625,0.05
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,13,0.2,0.0875,0.0
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,14,0.1625,-0.0375,-0.0625
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,15,0.2,-0.125,-0.05
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,16,0.1375,0.0125,0.0375
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,17,0.125,0.0125,0.0125
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,18,-0.0375,0.05,0.1
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,19,0.25,0.075,0.0875
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,20,0.0375,-0.0125,-0.0125
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,21,0.125,0.0,0.0875
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,22,0.1625,0.025,-0.075
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,23,0.125,0.075,-0.0875
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,24,0.0,0.025,0.0
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,25,0.0,0.0125,0.0
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,26,0.0,0.0,0.0
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,27,0.0875,0.0625,-0.125
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,28,0.2375,-0.05,-0.0375
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,29,0.1875,-0.0875,-0.0125
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,30,0.025,0.0125,0.0
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,31,0.025,0.0,0.05
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,32,0.175,-0.0125,0.0875
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,33,0.225,0.0125,0.025
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,34,0.0875,-0.175,-0.1125
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,35,0.025,0.0375,-0.075
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,36,0.0125,0.0375,0.075
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,37,0.0625,0.125,0.0375
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,38,0.0625,-0.1375,-0.1625
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,39,0.1375,0.025,-0.0375
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,40,0.175,0.1375,0.0625
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,41,0.3375,0.075,-0.25
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,42,0.125,-0.05,-0.025
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,43,0.1375,-0.1,0.025
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,44,0.0625,0.075,-0.0375
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,45,0.0,0.0,0.05
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,46,0.15,-0.0125,0.0375
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,47,0.0625,0.025,0.0625
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,48,-0.2,-0.25,-0.1625
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,49,0.1125,0.0125,-0.1375
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,50,0.2375,-0.05,-0.075
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,51,-0.1,-0.0875,0.05
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,52,0.0875,-0.15,-0.075
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,53,0.1875,-0.0625,0.0375
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,54,0.1625,-0.025,0.0875
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,55,0.1,0.0125,-0.0125
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,56,0.0125,0.0125,0.025
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,57,0.375,0.1,0.0625
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,58,0.125,-0.05,-0.025
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,59,0.1125,-0.025,-0.1
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,60,0.1875,-0.075,0.0
