matrix_id,outcome,term,order,effect
4,f12_rate,overshoot:daughter,two_way,0.026064213564213484
4,f12_rate,fission:daughter,two_way,0.03003246753246752
4,strict8_rate,exposure,main,0.004374098124098114
4,strict8_rate,overshoot,main,0.024215367965367968
4,strict8_rate,fission,main,0.005366161616161602
4,strict8_rate,daughter,main,0.00040584415584415945
4,strict8_rate,exposure:overshoot,two_way,0.021013708513708484
4,strict8_rate,exposure:fission,two_way,0.011093073593073571
4,strict8_rate,exposure:daughter,two_way,0.013077200577200548
4,strict8_rate,overshoot:fission,two_way,-0.04843073593073591
4,strict8_rate,overshoot:daughter,two_way,0.021013708513708457
4,strict8_rate,fission:daughter,two_way,0.019029581529581507
4,terminal_cross_similarity,exposure,main,-0.005638104202843164
4,terminal_cross_similarity,overshoot,main,0.0021561975616527507
4,terminal_cross_similarity,fission,main,-0.0002115928334250894
4,terminal_cross_similarity,daughter,main,0.0038508550501072936
4,terminal_cross_similarity,exposure:overshoot,two_way,0.005067111090792387
4,terminal_cross_similarity,exposure:fission,two_way,-0.005103468883816409
4,terminal_cross_similarity,exposure:daughter,two_way,0.004885272204022573
4,terminal_cross_similarity,overshoot:fission,two_way,-0.0032271367546955476
4,terminal_cross_similarity,overshoot:daughter,two_way,-0.0023553653626373627
4,terminal_cross_similarity,fission:daughter,two_way,0.00020681853771942205
4,damage_exponent,exposure,main,0.005710045534388419
4,damage_exponent,overshoot,main,0.0012588820664816147
4,damage_exponent,fission,main,0.0016205697088264026
4,damage_exponent,daughter,main,-0.015217365343276112
4,damage_exponent,exposure:overshoot,two_way,-0.011716317664693277
4,damage_exponent,exposure:fission,two_way,0.01581518458260689
4,damage_exponent,exposure:daughter,two_way,0.012889268406849758
4,damage_exponent,overshoot:fission,two_way,0.0037834210566611015
4,damage_exponent,overshoot:daughter,two_way,0.00016145461164079888
4,damage_exponent,fission:daughter,two_way,0.0026739484365818633
5,f12_rate,exposure,main,-0.006944444444444642
5,f12_rate,overshoot,main,0.022817460317460347
5,f12_rate,fission,main,0.014880952380952328
5,f12_rate,daughter,main,-0.012896825396825573
5,f12_rate,exposure:overshoot,two_way,0.02182539682539686
5,f12_rate,exposure:fission,two_way,0.001984126984127088
5,f12_rate,exposure:daughter,two_way,0.005952380952381153
5,f12_rate,overshoot:fission,two_way,0.02182539682539686
5,f12_rate,overshoot:daughter,two_way,-0.029761904761904767
5,f12_rate,fission:daughter,two_way,0.009920634920634996
5,strict8_rate,exposure,main,-0.0064484126984127
5,strict8_rate,overshoot,main,0.0064484126984127
5,strict8_rate,fission,main,0.0014880952380952397
5,strict8_rate,daughter,main,-0.0034722222222222307
5,strict8_rate,exposure:overshoot,two_way,-0.0029761904761904795
5,strict8_rate,exposure:fission,two_way,-0.0009920634920634885
5,strict8_rate,exposure:daughter,two_way,0.004960317460317457
5,strict8_rate,overshoot:fission,two_way,-0.002976190476190476
5,strict8_rate,overshoot:daughter,two_way,-0.01289682539682541
5,strict8_rate,fission:daughter,two_way,0.008928571428571435
5,terminal_cross_similarity,exposure,main,-0.006170048910101256
5,terminal_cross_similarity,overshoot,main,-0.0035068955540698554
5,terminal_cross_similarity,fission,main,0.004720061652403906
5,terminal_cross_similarity,daughter,main,0.006218578584080758
5,terminal_cross_similarity,exposure:overshoot,two_way,0.00845231110403033
5,terminal_cross_similarity,exposure:fission,two_way,0.007338749316287252
5,terminal_cross_similarity,exposure:daughter,two_way,0.0171317462148326
5,terminal_cross_similarity,overshoot:fission,two_way,-0.02657963240102401
5,terminal_cross_similarity,overshoot:daughter,two_way,-0.007726373696407163
5,terminal_cross_similarity,fission:daughter,two_way,0.000632525174868781
5,damage_exponent,exposure,main,0.004002804289657867
5,damage_exponent,overshoot,main,-0.03888877800913871
5,damage_exponent,fission,main,-0.004026575104424929
5,damage_exponent,daughter,main,0.002602967310633088
