matrix_id,outcome,factor,shapley,absolute_share
7,f12_rate,daughter,-0.00033068783068787664,0.00588235294117728
7,strict8_rate,exposure,0.00033068783068783067,0.25
7,strict8_rate,overshoot,-0.00033068783068783067,0.25
7,strict8_rate,fission,0.00033068783068783067,0.25
7,strict8_rate,daughter,-0.00033068783068783067,0.25
7,terminal_cross_similarity,exposure,0.003055691282983876,0.13779141486830676
7,terminal_cross_similarity,overshoot,0.004572730881413883,0.2061998414141967
7,terminal_cross_similarity,fission,0.007916213749217572,0.35696874843962706
7,terminal_cross_similarity,daughter,0.006631573583212415,0.29903999527786956
7,damage_exponent,exposure,0.004137205700981355,0.07628432166928469
7,damage_exponent,overshoot,-0.02530106969939042,0.46651655223898403
7,damage_exponent,fission,-0.021645522186724796,0.3991133379711047
7,damage_exponent,daughter,-0.0031502260031947282,0.05808578812062666
8,f12_rate,exposure,0.0029761904761904934,0.11250000000000042
8,f12_rate,overshoot,-0.002976190476190456,0.112499999999999
8,f12_rate,fission,-0.014219576719576753,0.5375000000000002
8,f12_rate,daughter,0.006283068783068807,0.23750000000000043
8,strict8_rate,exposure,3.469446951953614e-18,1.249000902703301e-16
8,strict8_rate,overshoot,-0.0006613756613756622,0.02380952380952384
8,strict8_rate,fission,-0.017195767195767195,0.6190476190476191
8,strict8_rate,daughter,0.009920634920634918,0.3571428571428571
8,terminal_cross_similarity,exposure,0.008288590223689895,0.2601427260872209
8,terminal_cross_similarity,overshoot,0.004695975897438153,0.14738621872123447
8,terminal_cross_similarity,fission,0.016237168856507396,0.5096139700811431
8,terminal_cross_similarity,daughter,-0.0026399678205080972,0.0828570851104015
8,damage_exponent,exposure,0.0026700763865226216,0.034922567942481074
8,damage_exponent,overshoot,-0.05596252990838524,0.7319473191191996
8,damage_exponent,fission,-0.003353728991304893,0.043864223941565264
8,damage_exponent,daughter,0.014470710797006235,0.18926588899675406
9,f12_rate,exposure,0.014880952380952411,0.1829268292682931
9,f12_rate,overshoot,0.04662698412698408,0.5731707317073166
9,f12_rate,fission,0.014880952380952373,0.18292682926829262
9,f12_rate,daughter,-0.004960317460317469,0.06097560975609767
9,strict8_rate,exposure,-0.014880952380952373,0.357142857142857
9,strict8_rate,overshoot,0.011574074074074084,0.277777777777778
9,strict8_rate,fission,0.009589947089947088,0.23015873015873012
9,strict8_rate,daughter,0.0056216931216931205,0.1349206349206349
9,terminal_cross_similarity,exposure,-0.0166348479865324,0.17951350067848076
9,terminal_cross_similarity,overshoot,-0.0424926241750886,0.45855542081663975
9,terminal_cross_similarity,fission,-0.028872013914706892,0.3115698017597119
9,terminal_cross_similarity,daughter,0.004666792079131784,0.0503612767451676
9,damage_exponent,exposure,0.014554618307253502,0.22053885044763266
9,damage_exponent,overshoot,-0.032484120020290864,0.4922156209007274
9,damage_exponent,fission,-0.011319786311928294,0.17152305940591864
9,damage_exponent,daughter,0.007637186672668791,0.11572246924572131
10,f12_rate,exposure,-0.005291005291005246,0.19999999999999826
10,f12_rate,overshoot,0.0013227513227513643,0.050000000000001564
10,f12_rate,fission,-0.007936507936507919,0.2999999999999993
10,f12_rate,daughter,-0.011904761904761928,0.45000000000000084
10,strict8_rate,exposure,-0.02546296296296296,0.45833333333333326
10,strict8_rate,overshoot,-0.016865079365079368,0.3035714285714286
10,strict8_rate,fission,-0.0009920634920634953,0.017857142857142915
10,strict8_rate,daughter,-0.012235449735449737,0.22023809523809523
10,terminal_cross_similarity,exposure,-0.005750016683674937,0.16613163549713447
10,terminal_cross_similarity,overshoot,-0.014368185412508356,0.41513099405139514
10,terminal_cross_similarity,fission,-0.010817554290204034,0.3125448298981382
10,terminal_cross_similarity,daughter,0.003675452168012996,0.10619254055333224
10,damage_exponent,exposure,-0.006266436800138938,0.11292155014162476
10,damage_exponent,overshoot,-0.01327739127852496,0.23925935149855582
10,damage_exponent,fission,-0.015888581370254833,0.2863131465461738
10,damage_exponent,daughter,-0.020061309794924913,0.3615059518136455
11,f12_rate,exposure,-0.01752645502645504,0.12864077669902918
11,f12_rate,overshoot,0.02678571428571432,0.196601941747573
11,f12_rate,fission,0.07109788359788358,0.5218446601941745
11,f12_rate,daughter,-0.02083333333333333,0.15291262135922323
11,strict8_rate,exposure,0.0006613756613756613,0.1
11,strict8_rate,overshoot,-0.0033068783068783067,0.5
11,strict8_rate,fission,-0.001984126984126984,0.3
11,strict8_rate,daughter,0.0006613756613756613,0.1
