pair_id,condition,generation,observer,p_a_given_a,p_a_given_b,p_b_given_a,p_b_given_b,direction_a,direction_b,crossover,correct,resolved,survival
renewal-v2-0-03ec651db07aa063,rescue_opposite_enter_g4,4,primary,0.03125,0.734375,0.921875,0.203125,-0.703125,-0.71875,-0.71875,0.1171875,0.9453125,1.0
renewal-v2-0-03ec651db07aa063,rescue_opposite_enter_g4,4,terminal,0.015625,0.703125,0.921875,0.203125,-0.6875,-0.71875,-0.71875,0.109375,0.921875,1.0
renewal-v2-0-03ec651db07aa063,rescue_opposite_enter_g4,8,primary,0.1875,0.703125,0.734375,0.203125,-0.515625,-0.53125,-0.53125,0.1953125,0.9140625,1.0
renewal-v2-0-03ec651db07aa063,rescue_opposite_enter_g4,8,terminal,0.171875,0.671875,0.71875,0.203125,-0.5,-0.515625,-0.515625,0.1875,0.8828125,1.0
renewal-v2-0-03ec651db07aa063,rescue_same_enter_g4,1,primary,0.640625,0.0,0.09375,1.0,0.640625,0.90625,0.640625,0.8203125,0.8671875,1.0
renewal-v2-0-03ec651db07aa063,rescue_same_enter_g4,1,terminal,0.578125,0.0,0.109375,1.0,0.578125,0.890625,0.578125,0.7890625,0.84375,1.0
renewal-v2-0-03ec651db07aa063,rescue_same_enter_g4,16,primary,0.65625,0.296875,0.3125,0.59375,0.359375,0.28125,0.28125,0.625,0.9296875,1.0
renewal-v2-0-03ec651db07aa063,rescue_same_enter_g4,16,terminal,0.609375,0.265625,0.328125,0.59375,0.34375,0.265625,0.265625,0.6015625,0.8984375,1.0
renewal-v2-0-03ec651db07aa063,rescue_same_enter_g4,2,primary,0.671875,0.0,0.140625,0.953125,0.671875,0.8125,0.671875,0.8125,0.8828125,1.0
renewal-v2-0-03ec651db07aa063,rescue_same_enter_g4,2,terminal,0.59375,0.0,0.1875,0.96875,0.59375,0.78125,0.59375,0.78125,0.875,1.0
renewal-v2-0-03ec651db07aa063,rescue_same_enter_g4,4,primary,0.734375,0.03125,0.203125,0.921875,0.703125,0.71875,0.703125,0.828125,0.9453125,1.0
renewal-v2-0-03ec651db07aa063,rescue_same_enter_g4,4,terminal,0.703125,0.015625,0.203125,0.921875,0.6875,0.71875,0.6875,0.8125,0.921875,1.0
renewal-v2-0-03ec651db07aa063,rescue_same_enter_g4,8,primary,0.703125,0.1875,0.203125,0.734375,0.515625,0.53125,0.515625,0.71875,0.9140625,1.0
renewal-v2-0-03ec651db07aa063,rescue_same_enter_g4,8,terminal,0.671875,0.171875,0.203125,0.71875,0.5,0.515625,0.5,0.6953125,0.8828125,1.0
renewal-v2-0-03ec651db07aa063,shuffle_every_boundary,1,primary,0.53125,0.328125,0.171875,0.375,0.203125,0.203125,0.203125,0.453125,0.703125,1.0
renewal-v2-0-03ec651db07aa063,shuffle_every_boundary,1,terminal,0.453125,0.28125,0.203125,0.390625,0.171875,0.1875,0.171875,0.421875,0.6640625,1.0
renewal-v2-0-03ec651db07aa063,shuffle_every_boundary,16,primary,0.234375,0.25,0.65625,0.609375,-0.015625,-0.046875,-0.046875,0.421875,0.875,1.0
renewal-v2-0-03ec651db07aa063,shuffle_every_boundary,16,terminal,0.1875,0.203125,0.65625,0.59375,-0.015625,-0.0625,-0.0625,0.390625,0.8203125,1.0
renewal-v2-0-03ec651db07aa063,shuffle_every_boundary,2,primary,0.5,0.3125,0.359375,0.484375,0.1875,0.125,0.125,0.4921875,0.828125,1.0
renewal-v2-0-03ec651db07aa063,shuffle_every_boundary,2,terminal,0.453125,0.265625,0.359375,0.53125,0.1875,0.171875,0.171875,0.4921875,0.8046875,1.0
renewal-v2-0-03ec651db07aa063,shuffle_every_boundary,4,primary,0.21875,0.171875,0.65625,0.734375,0.046875,0.078125,0.046875,0.4765625,0.890625,1.0
renewal-v2-0-03ec651db07aa063,shuffle_every_boundary,4,terminal,0.140625,0.15625,0.671875,0.734375,-0.015625,0.0625,-0.015625,0.4375,0.8515625,1.0
renewal-v2-0-03ec651db07aa063,shuffle_every_boundary,8,primary,0.28125,0.4375,0.484375,0.453125,-0.15625,-0.03125,-0.15625,0.3671875,0.828125,1.0
renewal-v2-0-03ec651db07aa063,shuffle_every_boundary,8,terminal,0.25,0.375,0.53125,0.453125,-0.125,-0.078125,-0.125,0.3515625,0.8046875,1.0
renewal-v2-0-03ec651db07aa063,zero_every_boundary,1,primary,0.25,0.25,0.46875,0.46875,0.0,0.0,0.0,0.359375,0.71875,1.0
renewal-v2-0-03ec651db07aa063,zero_every_boundary,1,terminal,0.1875,0.1875,0.515625,0.515625,0.0,0.0,0.0,0.3515625,0.703125,1.0
renewal-v2-0-03ec651db07aa063,zero_every_boundary,16,primary,0.21875,0.21875,0.578125,0.578125,0.0,0.0,0.0,0.3984375,0.796875,1.0
renewal-v2-0-03ec651db07aa063,zero_every_boundary,16,terminal,0.1875,0.1875,0.640625,0.640625,0.0,0.0,0.0,0.4140625,0.828125,1.0
renewal-v2-0-03ec651db07aa063,zero_every_boundary,2,primary,0.1875,0.1875,0.640625,0.640625,0.0,0.0,0.0,0.4140625,0.828125,1.0
renewal-v2-0-03ec651db07aa063,zero_every_boundary,2,terminal,0.15625,0.15625,0.671875,0.671875,0.0,0.0,0.0,0.4140625,0.828125,1.0
renewal-v2-0-03ec651db07aa063,zero_every_boundary,4,primary,0.234375,0.234375,0.59375,0.59375,0.0,0.0,0.0,0.4140625,0.828125,1.0
