pair_id,feature_kind,condition,generation,balanced_accuracy,opposite_rescue_branch
renewal-v2-0-0445934a425b5696,phenotype,ablate_after_g2,16,0.0,False
renewal-v2-0-0445934a425b5696,phenotype,intact,16,0.58984375,False
renewal-v2-0-0445934a425b5696,phenotype,no_rewrite,16,0.375,False
renewal-v2-0-0445934a425b5696,phenotype,read_disabled,16,0.0,False
renewal-v2-0-0445934a425b5696,phenotype,rescue_opposite_enter_g4,16,0.58984375,True
renewal-v2-0-0445934a425b5696,phenotype,rescue_same_enter_g4,16,0.58984375,False
renewal-v2-3-27577234d2e0147e,carrier,ablate_after_g2,16,0.0,False
renewal-v2-3-27577234d2e0147e,carrier,intact,16,0.671875,False
renewal-v2-3-27577234d2e0147e,carrier,no_rewrite,16,1.0,False
renewal-v2-3-27577234d2e0147e,carrier,read_disabled,16,0.0,False
renewal-v2-3-27577234d2e0147e,carrier,rescue_opposite_enter_g4,16,0.671875,True
renewal-v2-3-27577234d2e0147e,carrier,rescue_same_enter_g4,16,0.671875,False
renewal-v2-3-27577234d2e0147e,phenotype,ablate_after_g2,16,0.0,False
renewal-v2-3-27577234d2e0147e,phenotype,intact,16,0.6484375,False
renewal-v2-3-27577234d2e0147e,phenotype,no_rewrite,16,0.5,False
renewal-v2-3-27577234d2e0147e,phenotype,read_disabled,16,0.0,False
renewal-v2-3-27577234d2e0147e,phenotype,rescue_opposite_enter_g4,16,0.6484375,True
renewal-v2-3-27577234d2e0147e,phenotype,rescue_same_enter_g4,16,0.6484375,False
renewal-v2-0-01ecbdb2d382690e,carrier,ablate_after_g2,16,0.0,False
renewal-v2-0-01ecbdb2d382690e,carrier,intact,16,0.59375,False
renewal-v2-0-01ecbdb2d382690e,carrier,no_rewrite,16,1.0,False
renewal-v2-0-01ecbdb2d382690e,carrier,read_disabled,16,0.0,False
renewal-v2-0-01ecbdb2d382690e,carrier,rescue_opposite_enter_g4,16,0.59375,True
renewal-v2-0-01ecbdb2d382690e,carrier,rescue_same_enter_g4,16,0.59375,False
renewal-v2-0-01ecbdb2d382690e,phenotype,ablate_after_g2,16,0.0,False
renewal-v2-0-01ecbdb2d382690e,phenotype,intact,16,0.59375,False
renewal-v2-0-01ecbdb2d382690e,phenotype,no_rewrite,16,0.0,False
renewal-v2-0-01ecbdb2d382690e,phenotype,read_disabled,16,0.0,False
renewal-v2-0-01ecbdb2d382690e,phenotype,rescue_opposite_enter_g4,16,0.59375,True
renewal-v2-0-01ecbdb2d382690e,phenotype,rescue_same_enter_g4,16,0.59375,False
renewal-v2-2-30c2026b88af800c,carrier,ablate_after_g2,16,0.0,False
renewal-v2-2-30c2026b88af800c,carrier,intact,16,0.59765625,False
renewal-v2-2-30c2026b88af800c,carrier,no_rewrite,16,1.0,False
renewal-v2-2-30c2026b88af800c,carrier,read_disabled,16,0.0,False
renewal-v2-2-30c2026b88af800c,carrier,rescue_opposite_enter_g4,16,0.59765625,True
renewal-v2-2-30c2026b88af800c,carrier,rescue_same_enter_g4,16,0.59765625,False
renewal-v2-2-30c2026b88af800c,phenotype,ablate_after_g2,16,0.0,False
renewal-v2-2-30c2026b88af800c,phenotype,intact,16,0.56640625,False
renewal-v2-2-30c2026b88af800c,phenotype,no_rewrite,16,0.125,False
renewal-v2-2-30c2026b88af800c,phenotype,read_disabled,16,0.0,False
renewal-v2-2-30c2026b88af800c,phenotype,rescue_opposite_enter_g4,16,0.56640625,True
renewal-v2-2-30c2026b88af800c,phenotype,rescue_same_enter_g4,16,0.56640625,False
renewal-v2-0-294847a2fd1b07b3,carrier,ablate_after_g2,16,0.0,False
