state_id,cohort,candidate,matrix_id,landmark,mass,previous_growth_steps,cumulative_growth_steps,q_primary_all8_all,q_primary_all8_A,q_primary_all8_B,prediction_primary_all8_h10,prediction_primary_all8_h10_state,prediction_primary_all8_h10_state_beta,prediction_primary_all8_h10_state_beta_interaction,prediction_primary_all8_state_only,prediction_primary_all8_beta_only,prediction_primary_all8_h10_beta,q_secondary_first5_all,q_secondary_first5_A,q_secondary_first5_B,prediction_secondary_first5_h10,prediction_secondary_first5_h10_state,prediction_secondary_first5_h10_state_beta,prediction_secondary_first5_h10_state_beta_interaction,prediction_secondary_first5_state_only,prediction_secondary_first5_beta_only,prediction_secondary_first5_h10_beta,q_secondary_centroid_all,q_secondary_centroid_A,q_secondary_centroid_B,prediction_secondary_centroid_h10,prediction_secondary_centroid_h10_state,prediction_secondary_centroid_h10_state_beta,prediction_secondary_centroid_h10_state_beta_interaction,prediction_secondary_centroid_state_only,prediction_secondary_centroid_beta_only,prediction_secondary_centroid_h10_beta
REGDEV-c02-m155-g080,REGDEV,02,155,80,40,64,3680,0.046875,0.0625,0.03125,0.02558399486460079,0.023228411874681977,0.01647645065070892,0.016508248137565996,0.01983300334148464,0.015867404674376695,0.018919312628229233,0.171875,0.140625,0.203125,0.12448181804936097,0.12141277052322705,0.1165136117661401,0.11656661006921891,0.08011577519174769,0.07523534799781453,0.12190854171354974,0.1328125,0.109375,0.15625,0.12532448321044365,0.12873808448129245,0.13481957499990907,0.13510358847117113,0.09383177836301353,0.09867560284328306,0.1378943114790179
REGDEV-c03-m155-g020,REGDEV,03,155,20,40,27,723,0.0234375,0.015625,0.03125,0.032381570387886666,0.036950331164260296,0.03688419934580727,0.036340170606089815,0.028614239418507038,0.02460002866090845,0.03232387822297825,0.1796875,0.109375,0.25,0.12025708458750173,0.13893289872970108,0.125893000986592,0.12550239981206973,0.10097418793116535,0.08001553381123169,0.11105034337119633,0.1796875,0.15625,0.203125,0.12273647905426792,0.13450293318192036,0.13663612398435468,0.13610506836038294,0.10225586883784599,0.09908811222832456,0.12725127010943824
REGDEV-c03-m155-g035,REGDEV,03,155,35,43,17,1119,0.0546875,0.0625,0.046875,0.02422405060392085,0.02376893968200896,0.023725818045461297,0.02354401941317984,0.02393694937395464,0.02460002866090845,0.024180528974204717,0.171875,0.1875,0.15625,0.09487058588818048,0.09601652009469168,0.08659953941975317,0.0865243036516638,0.085341824766613,0.08001553381123169,0.08741428633945074,0.1953125,0.265625,0.125,0.10408427747530022,0.10180508244609791,0.10348169492824669,0.10346606486828323,0.08777071847587402,0.09908811222832456,0.10799742310581005
REGDEV-c03-m155-g050,REGDEV,03,155,50,39,18,1531,0.03125,0.03125,0.03125,0.024648634692350922,0.025742286130861332,0.025695678678541542,0.0245081746650657,0.02614402215326897,0.02460002866090845,0.024604369477232733,0.1640625,0.140625,0.1875,0.10367451748298306,0.11216405315350056,0.1013409161941589,0.10028178597031487,0.09527771046729068,0.08001553381123169,0.09559936034392819,0.1171875,0.109375,0.125,0.10633020585041814,0.10985668488398279,0.11164941517083796,0.11042525037043235,0.09870678361716749,0.09908811222832456,0.11031739212273511
REGDEV-c03-m155-g065,REGDEV,03,155,65,39,37,2133,0.0234375,0.03125,0.015625,0.02351062813486329,0.02407331671450518,0.02402965646908787,0.02403211489261653,0.02585115821180535,0.02460002866090845,0.02346835743312191,0.203125,0.203125,0.203125,0.11811306714515964,0.12078782070470535,0.10923492594563741,0.10920491524755395,0.09369845584612015,0.08001553381123169,0.10905012268823065,0.1484375,0.109375,0.1875,0.12477031519673422,0.13344679502328172,0.13556585931143797,0.1355327001067647,0.10881692707097118,0.09908811222832456,0.12934888880737427
REGDEV-c03-m155-g080,REGDEV,03,155,80,37,17,2671,0.0234375,0.0,0.046875,0.01890461624802428,0.019439138081218527,0.01940371544574103,0.02078916294369575,0.02613656728974501,0.02460002866090845,0.01887046684472282,0.1640625,0.125,0.203125,0.09560719217632736,0.0983365367856673,0.08871434667194959,0.09004399698269662,0.0953432047607916,0.08001553381123169,0.0880986343699493,0.140625,0.109375,0.171875,0.10888894715681527,0.11758395350176973,0.11948585696016037,0.12131195474947405,0.11161120625283481,0.09908811222832456,0.11295995365469781
REGDEV-c02-m156-g020,REGDEV,02,156,20,40,14,830,0.0234375,0.0,0.046875,0.014775912616071378,0.01711297075029693,0.04168510795222993,0.041595551156053776,0.026206883586577513,0.06069640394312209,0.03710621931623965,0.1640625,0.203125,0.125,0.05333324463782435,0.05945588771119272,0.09466189674371162,0.09404020303101124,0.08545936435826097,0.1322075131591602,0.08601906787367244,0.0625,0.046875,0.078125,0.06288496088487552,0.06651194071395553,0.1027733996823153,0.10232228889131198,0.08711893961204256,0.137682682101666,0.09783950276926298
REGDEV-c02-m156-g035,REGDEV,02,156,35,40,53,1523,0.046875,0.046875,0.046875,0.018721710840921644,0.016577271347601164,0.040411835550042366,0.04032313413675363,0.018850757052895836,0.06069640394312209,0.04673231001460899,0.1953125,0.203125,0.1875,0.07989163294914696,0.07577954254682509,0.11942408177337238,0.1188154928220402,0.08068582707630302,0.1322075131591602,0.12667602266775144,0.140625,0.15625,0.125,0.09214550190924588,0.09299865680026828,0.14151128248753722,0.14090504138922963,0.0964287563070294,0.137682682101666,0.14091871964140212
REGDEV-c02-m156-g050,REGDEV,02,156,50,40,41,1929,0.046875,0.046875,0.046875,0.0173687982316552,0.016311388288560404,0.03977913284158128,0.03986828808084412,0.021309039411011393,0.06069640394312209,0.04344484661946606,0.1875,0.15625,0.21875,0.078860979284156,0.07891484033208673,0.12412261449159623,0.12478267119394856,0.07584308406443137,0.1322075131591602,0.12512389568936538,0.125,0.109375,0.140625,0.08562206847009815,0.08848148625688358,0.1349884338802112,0.1356661910862868,0.08308113785844454,0.137682682101666,0.13144231237859616
REGDEV-c02-m156-g065,REGDEV,02,156,65,40,62,2695,0.0546875,0.078125,0.03125,0.0255115538085527,0.04138859601680291,0.09736465474617872,0.09738391819537505,0.029212389374013617,0.06069640394312209,0.06302831757038405,0.2265625,0.21875,0.234375,0.10300620592557913,0.13453168921270256,0.20452584777720711,0.20538129245235873,0.09866482738234986,0.1322075131591602,0.16095856081233995,0.140625,0.15625,0.125,0.11546471554780068,0.141213302062327,0.20907927466673257,0.20940871260565738,0.10462696287576963,0.137682682101666,0.17421238818442486
REGDEV-c02-m156-g080,REGDEV,02,156,80,40,61,3406,0.1015625,0.140625,0.0625,0.02570345794906395,0.021771396643459093,0.0526739976513274,0.05277309107463861,0.017773307688916027,0.06069640394312209,0.0634840470973075,0.3046875,0.328125,0.28125,0.13163752914194776,0.12253701231203835,0.18764361231111248,0.18788617819165793,0.08020764245439337,0.1322075131591602,0.20206938573062283,0.25,0.21875,0.28125,0.14026914609883528,0.1395581479559616,0.2068202347119276,0.20713357983029246,0.09719437948530632,0.137682682101666,0.2086600374476072
REGDEV-c03-m156-g020,REGDEV,03,156,20,34,61,837,0.0078125,0.015625,0.0,0.03013417159040017,0.031248619873849488,0.031382334713583274,0.029711195060782455,0.02353981315588295,0.024714591339633097,0.030264402976826536,0.09375,0.109375,0.078125,0.06986126238241151,0.06089229789950996,0.08942264471012461,0.08835483983199116,0.06581806728568215,0.12974661739726734,0.10330983580217164,0.0234375,0.03125,0.015625,0.07124650639997525,0.05981056841353419,0.06676428319097437,0.06605606016206791,0.06704626838620056,0.10518785857163028,0.07910588432989452
REGDEV-c03-m156-g035,REGDEV,03,156,35,40,11,1191,0.0078125,0.015625,0.0,0.022273859303899423,0.025074303505057766,0.02518228483524002,0.025246291910947946,0.028361694343881062,0.024714591339633097,0.022370904191104057,0.078125,0.0625,0.09375,0.06480323233867766,0.07645561783028264,0.11141286807991993,0.11134549940703464,0.10316639796917641,0.12974661739726734,0.0960802481714641,0.09375,0.109375,0.078125,0.07392621479380157,0.07952847171421086,0.08855870417276815,0.08863430133693223,0.10151595498868947,0.10518785857163028,0.08205508133794492
REGDEV-c03-m156-g050,REGDEV,03,156,50,36,26,1752,0.078125,0.09375,0.0625,0.02358112684110362,0.023894370294565526,0.02399739537166056,0.026210161076258467,0.025194819752377407,0.024714591339633097,0.02368372939015591,0.2421875,0.265625,0.21875,0.078884903281776,0.08055043283706514,0.1171424503649797,0.11927228698123586,0.08924042126958648,0.12974661739726734,0.1161145279538845,0.171875,0.171875,0.171875,0.08644533094118018,0.08985776834389467,0.09993352811332862,0.10192368418111866,0.09842957714565595,0.10518785857163028,0.09580837192727013
REGDEV-c03-m156-g065,REGDEV,03,156,65,43,54,2239,0.0703125,0.09375,0.046875,0.02561879802741427,0.025768626868291164,0.02587951889817058,0.02597989119535113,0.025384144054971674,0.024714591339633097,0.025730032944168507,0.265625,0.21875,0.3125,0.10460946916656592,0.10438332525692494,0.15003532897192418,0.15048657434713034,0.09243595761198126,0.12974661739726734,0.1519766537434679,0.1953125,0.1875,0.203125,0.11136435140925596,0.11828941730225051,0.13109402472121773,0.13055065050710868,0.11044096998344603,0.10518785857163028,0.12306283498807957
REGDEV-c03-m156-g080,REGDEV,03,156,80,49,20,2601,0.046875,0.046875,0.046875,0.015325565756084444,0.015340663131221455,0.015407389437888469,0.014783698109266968,0.026214234719319482,0.024714591339633097,0.0153928142536447,0.171875,0.125,0.21875,0.0674315249652424,0.0714656040858186,0.10439921690090805,0.10344347478946578,0.10057841452990933,0.12974661739726734,0.09984164669604448,0.1484375,0.15625,0.140625,0.08466011268132581,0.08974841334805765,0.09981325587627124,0.09920515753707271,0.1122087482592436,0.10518785857163028,0.09384965755324899
REGDEV-c02-m157-g020,REGDEV,02,157,20,40,43,954,0.1640625,0.125,0.203125,0.025661538063774438,0.021376519770384208,0.03864328814237483,0.03877751900932842,0.017214064143125155,0.041739231401227574,0.04775926400457102,0.2734375,0.28125,0.265625,0.09775930132106918,0.09216814830168052,0.11043286510624613,0.11118107700826593,0.0809231691911146,0.09883849321531765,0.11765552461060384,0.2421875,0.25,0.234375,0.11580769947133841,0.11542401653360818,0.13377960961886573,0.13450349678126186,0.09877573685740318,0.10944590725462128,0.13958777992182853
REGDEV-c02-m157-g035,REGDEV,02,157,35,40,56,1853,0.0703125,0.0625,0.078125,0.03127798287416119,0.048126087995276116,0.08512032215370101,0.08524076494153318,0.02706322611876391,0.041739231401227574,0.05792462762932572,0.234375,0.25,0.21875,0.11640795724869202,0.14677418804970516,0.17378852183305812,0.17384508334687923,0.09757444542436107,0.09883849321531765,0.13951271979724014,0.140625,0.140625,0.140625,0.12368429912869179,0.14774091890999,0.17024667628854484,0.17052570403005068,0.10560951086508527,0.10944590725462128,0.14880956254698322
REGDEV-c02-m157-g050,REGDEV,02,157,50,40,69,2721,0.09375,0.078125,0.109375,0.02211865401267194,0.034584304316794386,0.06184537858151711,0.061724100144076165,0.02796694733852058,0.041739231401227574,0.04129482575148017,0.2421875,0.21875,0.265625,0.09311675292395089,0.11989073098307497,0.14278509957610155,0.14239478226480692,0.09723644277005754,0.09883849321531765,0.1121855982214542,0.1640625,0.171875,0.15625,0.1015162416064648,0.12401576819301617,0.1435160098397119,0.14280596757301436,0.10484986428642916,0.10944590725462128,0.12276916777343096
REGDEV-c02-m157-g065,REGDEV,02,157,65,40,60,3450,0.078125,0.078125,0.078125,0.017244720727645088,0.016840110007246036,0.030557032613476767,0.030436718673593866,0.021148094360189794,0.041739231401227574,0.03233507065961982,0.2421875,0.21875,0.265625,0.08282032203866986,0.08248408077270597,0.09903909042227985,0.09853231655246998,0.08340408603789648,0.09883849321531765,0.10001315573763529,0.1484375,0.15625,0.140625,0.0949085735653687,0.09733454330526932,0.11318148941923416,0.11275102233715682,0.09549041894987846,0.10944590725462128,0.11495514217016525
REGDEV-c02-m157-g080,REGDEV,02,157,80,40,29,4191,0.0859375,0.078125,0.09375,0.008017896855157917,0.007899429507949864,0.01444078797512648,0.014455162441175319,0.02124280879265353,0.041739231401227574,0.0151586641025622,0.15625,0.15625,0.15625,0.04695943692738934,0.046773190542171585,0.05660299412560916,0.05664142711983202,0.08401519976843583,0.09883849321531765,0.057171883385406796,0.1484375,0.140625,0.15625,0.055690654114064174,0.05701262202393218,0.06678046505910537,0.06688456582194537,0.09607470220635068,0.10944590725462128,0.0680766752243704
REGDEV-c03-m157-g020,REGDEV,03,157,20,31,38,831,0.1015625,0.078125,0.125,0.015558845359773452,0.014712538956401297,0.01476530154094325,0.015194055724375393,0.02389641020090022,0.024717101760206115,0.015611089029368494,0.21875,0.203125,0.234375,0.03730328940306386,0.03660970637077354,0.04725572960461919,0.047579589048943764,0.0889866895239414,0.11256010323374228,0.04820946207817823,0.140625,0.125,0.15625,0.0626422114169377,0.06283381938756648,0.0637113709258583,0.06392380658447643,0.09998530748413059,0.09835739287164745,0.06309316561346456
REGDEV-c03-m157-g035,REGDEV,03,157,35,46,45,1436,0.1015625,0.078125,0.125,0.020013536596316873,0.02050209267629142,0.020575184371151058,0.020586577461167245,0.026055530672186494,0.024717101760206115,0.020080433168738518,0.2578125,0.203125,0.3125,0.05825268283477079,0.05960655275380078,0.07640960705903589,0.07646310325096531,0.0957995437196438,0.11256010323374228,0.07480778099631007,0.1796875,0.140625,0.21875,0.07617826570364541,0.08195099929374251,0.08307187890469166,0.08302146437012016,0.11327630035593507,0.09835739287164745,0.07671868901065348
REGDEV-c03-m157-g050,REGDEV,03,157,50,46,15,1947,0.0859375,0.09375,0.078125,0.021132970600341902,0.023449999501635302,0.023533348232312512,0.022511914142046483,0.02764100388192452,0.024717101760206115,0.021203527995841763,0.1640625,0.140625,0.1875,0.050540304169975604,0.056902072302491946,0.0730019188492709,0.07221799157634719,0.09795726659244705,0.11256010323374228,0.0650549944857015,0.1328125,0.125,0.140625,0.06259237582619594,0.06812155340961087,0.06906751205998381,0.06873257166758166,0.10233724546222671,0.09835739287164745,0.0630429953907785
REGDEV-c03-m157-g065,REGDEV,03,157,65,41,25,2499,0.078125,0.078125,0.078125,0.024044675887336685,0.020510697728457792,0.020583819456374008,0.020995523071448235,0.022855482105691313,0.024717101760206115,0.02412471510657335,0.25,0.21875,0.28125,0.05252800965559346,0.05047180449403173,0.06487743225881773,0.0651996441632392,0.08035985168669717,0.11256010323374228,0.06757292259487481,0.1328125,0.140625,0.125,0.06246696943950854,0.057861425099991114,0.05867387887247586,0.05899164189461444,0.093545702066996,0.09835739287164745,0.06291674676564145
REGDEV-c03-m157-g080,REGDEV,03,157,80,46,47,3114,0.1171875,0.078125,0.15625,0.04356454318609136,0.036428577865208984,0.03655632973980684,0.036353284710559146,0.02223593549433867,0.024717101760206115,0.043706649671104054,0.328125,0.28125,0.375,0.0928815563317569,0.08624409614441816,0.1096804529790464,0.10951006933146609,0.07864277605823644,0.11256010323374228,0.11804441934956049,0.1875,0.15625,0.21875,0.11997913382457008,0.11024005941230071,0.1117007833327121,0.1113509411684289,0.09422608853388782,0.09835739287164745,0.12078966076345286
REGDEV-c02-m158-g020,REGDEV,02,158,20,40,29,916,0.0625,0.0625,0.0625,0.03182842222173903,0.03910163396718612,0.03265692622188219,0.03259735314152589,0.02844714726082956,0.01826782392095945,0.027323909726677285,0.171875,0.203125,0.140625,0.0957815773187102,0.1078449442923852,0.09895059785731028,0.09844471010901797,0.08417797859611967,0.07224117762283427,0.08902999095296311,0.1953125,0.203125,0.1875,0.09824040919438891,0.10369541780927834,0.1420290836757164,0.1415747662672978,0.08184970154886148,0.130751422956958,0.1377110880268995
REGDEV-c02-m158-g035,REGDEV,02,158,35,40,45,1664,0.015625,0.015625,0.015625,0.03639327218553494,0.037858861179412444,0.03161224776720303,0.03158607269370228,0.02335338395197934,0.01826782392095945,0.03126358151360693,0.1484375,0.140625,0.15625,0.12250988222262123,0.1293108598724345,0.11888205130334471,0.11856443719859532,0.08220537329400611,0.07224117762283427,0.11411200146078486,0.1328125,0.125,0.140625,0.11685351611214358,0.12202164381904451,0.16587628491320908,0.16564450643855608,0.08791519150624642,0.130751422956958,0.16245525805146224
