candidate,matrix_id,lambda,completed_horizon,observed_fissions,inherited_count,inherited_fraction_registered,total_breaks_registered,longest_inherited_run,mean_growth_updates,final_entropy,final_occupied_types,final_top1_share,final_throughput,final_risk,lambda_zero_plain_bitwise_exact
02,16,0.3,1.0,60.0,59.666666666666664,0.9944444444444445,0.3333333333333333,54.666666666666664,40.75555555555555,2.5888799886541864,20.0,0.2583333333333333,463.1334226401944,0.24243478816575906,1.0
02,17,0.0,1.0,60.0,56.0,0.9333333333333332,4.0,25.333333333333332,47.27222222222222,2.6677340549877493,19.333333333333332,0.19999999999999998,299.2184799351859,0.4291795647573738,1.0
02,17,0.1,1.0,60.0,54.666666666666664,0.9111111111111111,5.333333333333333,27.666666666666668,43.53333333333334,2.0449873422275417,15.666666666666666,0.425,256.8279061133199,0.2715676668132683,1.0
02,17,0.3,1.0,60.0,55.333333333333336,0.9222222222222222,4.666666666666667,30.666666666666668,43.03333333333333,2.363927984630828,15.666666666666666,0.2416666666666667,76.50332767998218,0.4062676752814143,1.0
02,18,0.0,1.0,60.0,60.0,1.0,0.0,60.0,32.355555555555554,1.033460546772118,7.666666666666667,0.7333333333333334,4233.24808658452,0.03053305321576597,1.0
02,18,0.1,1.0,60.0,60.0,1.0,0.0,60.0,31.3,0.7629916885333584,6.666666666666667,0.8166666666666668,5117.283879814255,0.014589775652154696,1.0
02,18,0.3,1.0,60.0,60.0,1.0,0.0,60.0,26.733333333333334,0.5740013777850019,4.666666666666667,0.85,5631.400190704087,0.007301524669799639,1.0
02,19,0.0,1.0,60.0,53.666666666666664,0.8944444444444445,6.333333333333333,17.0,51.67222222222222,2.6548945516997784,21.0,0.24166666666666667,653.07046556434,0.4501517312351793,1.0
02,19,0.1,1.0,60.0,53.666666666666664,0.8944444444444444,6.333333333333333,21.333333333333332,50.67777777777778,2.5264977739962844,19.0,0.25833333333333336,33.20986897729269,0.5579062831808878,1.0
02,19,0.3,1.0,60.0,55.666666666666664,0.9277777777777777,4.333333333333333,30.0,48.644444444444446,2.3742947148133906,17.666666666666668,0.3,564.0408263109501,0.3804766736658738,1.0
02,20,0.0,1.0,60.0,56.0,0.9333333333333332,4.0,30.333333333333332,35.9,2.148712205385037,16.0,0.39166666666666666,52.287108489408304,0.3740828207378044,1.0
02,20,0.1,1.0,60.0,52.333333333333336,0.8722222222222222,7.666666666666667,20.333333333333332,34.96111111111111,2.689536060977938,19.333333333333332,0.18333333333333335,312.876573715333,0.4365779538999723,1.0
02,20,0.3,1.0,60.0,52.0,0.8666666666666667,8.0,21.0,33.75,2.4457967063810955,18.333333333333332,0.3,75.39868783347352,0.45723921065894163,1.0
02,21,0.0,1.0,60.0,56.666666666666664,0.9444444444444443,3.3333333333333335,29.666666666666668,46.27777777777778,2.4790833597255895,17.333333333333332,0.2333333333333333,307.7025820558758,0.3951954910451949,1.0
02,21,0.1,1.0,60.0,54.333333333333336,0.9055555555555556,5.666666666666667,25.333333333333332,47.36666666666667,2.476727763821887,18.0,0.25833333333333336,192.85244664119173,0.38459318027216866,1.0
02,21,0.3,1.0,60.0,57.333333333333336,0.9555555555555556,2.6666666666666665,39.666666666666664,43.92777777777778,2.320683182334694,16.333333333333332,0.25,310.8672243615367,0.2907831244897598,1.0
02,22,0.0,1.0,60.0,52.333333333333336,0.8722222222222222,7.666666666666667,19.0,50.91111111111112,2.6081078940870994,19.666666666666668,0.21666666666666667,267.3750037005279,0.4651669953307122,1.0
02,22,0.1,1.0,60.0,53.333333333333336,0.8888888888888888,6.666666666666667,19.666666666666668,50.81111111111111,2.6730947792071995,20.666666666666668,0.23333333333333336,183.04461865373574,0.5549778870253903,1.0
02,22,0.3,1.0,60.0,52.0,0.8666666666666667,8.0,20.333333333333332,48.08888888888888,2.7051734189534944,20.666666666666668,0.225,152.7372666919768,0.5510077550131879,1.0
02,23,0.0,1.0,60.0,52.0,0.8666666666666667,8.0,24.0,48.56666666666666,2.5674598797643586,19.666666666666668,0.27499999999999997,126.83426170832045,0.5086334621957916,1.0
02,23,0.1,1.0,60.0,50.666666666666664,0.8444444444444444,9.333333333333334,19.666666666666668,48.449999999999996,2.7339991543629867,20.666666666666668,0.18333333333333335,110.1512253333518,0.5712032156379451,1.0
02,23,0.3,1.0,60.0,53.0,0.8833333333333333,7.0,27.333333333333332,47.300000000000004,2.714895772034511,21.333333333333332,0.225,216.32264664998146,0.4961332833228273,1.0
02,24,0.0,1.0,60.0,60.0,1.0,0.0,60.0,42.605555555555554,1.6667529057359722,12.333333333333334,0.5583333333333333,1265.8084934457174,0.017034376945222543,1.0
02,24,0.1,1.0,60.0,60.0,1.0,0.0,60.0,41.43333333333334,1.6975955827065736,12.666666666666666,0.5499999999999999,1187.1431456280009,0.024064331181939635,1.0
02,24,0.3,1.0,60.0,60.0,1.0,0.0,60.0,37.833333333333336,1.6504229218950766,12.666666666666666,0.5416666666666666,1230.2700278376115,0.01926481719532599,1.0
02,25,0.0,1.0,60.0,58.0,0.9666666666666667,2.0,43.333333333333336,51.11666666666667,2.6094536398684323,19.666666666666668,0.25833333333333336,344.4767106382392,0.2886509408182327,1.0
02,25,0.1,1.0,60.0,55.0,0.9166666666666666,5.0,33.0,49.78333333333333,2.399403889540318,18.333333333333332,0.3333333333333333,1256.7915810708541,0.31673028896878663,1.0
02,25,0.3,1.0,60.0,56.333333333333336,0.9388888888888888,3.6666666666666665,39.333333333333336,48.86111111111111,2.2765961125286087,17.333333333333332,0.35000000000000003,900.1151131938451,0.30405014917210055,1.0
02,26,0.0,1.0,60.0,59.333333333333336,0.9888888888888889,0.6666666666666666,51.0,38.77777777777778,2.2837440222657683,15.333333333333334,0.2833333333333333,869.1229202315831,0.2321615324364934,1.0
02,26,0.1,1.0,60.0,58.333333333333336,0.9722222222222223,1.6666666666666667,48.666666666666664,40.083333333333336,1.6200112683539045,10.0,0.47500000000000003,1308.9429650630225,0.12752431286802338,1.0
02,26,0.3,1.0,60.0,58.666666666666664,0.9777777777777777,1.3333333333333333,43.666666666666664,42.27777777777778,1.905231774278609,13.666666666666666,0.44166666666666665,128.1094424897601,0.2547313754792632,1.0
02,27,0.0,1.0,60.0,48.333333333333336,0.8055555555555555,11.666666666666666,15.666666666666666,41.68333333333334,2.7679067266992163,20.666666666666668,0.15833333333333333,223.2413404464261,0.5163047883610511,1.0
02,27,0.1,1.0,60.0,50.666666666666664,0.8444444444444444,9.333333333333334,19.333333333333332,39.46666666666667,2.922541508446942,22.333333333333332,0.125,196.94012974548934,0.5249026772321567,1.0
02,27,0.3,1.0,60.0,49.333333333333336,0.8222222222222223,10.666666666666666,19.0,38.894444444444446,2.70878865218419,20.0,0.225,194.59638103735355,0.5183922363954884,1.0
02,28,0.0,1.0,60.0,60.0,1.0,0.0,60.0,28.438888888888886,1.8996224527130163,12.333333333333334,0.3833333333333333,1212.8892663846632,0.028380356519062077,1.0
02,28,0.1,1.0,60.0,59.666666666666664,0.9944444444444445,0.3333333333333333,52.333333333333336,26.155555555555555,1.9353263690731006,13.0,0.4166666666666667,1299.8140021047982,0.14836319334886092,1.0
02,28,0.3,1.0,60.0,60.0,1.0,0.0,60.0,27.938888888888886,1.9439566783980322,12.333333333333334,0.3833333333333333,721.373076926133,0.033297109407202034,1.0
02,29,0.0,1.0,60.0,59.666666666666664,0.9944444444444445,0.3333333333333333,54.0,29.13888888888889,2.457442604353492,18.333333333333332,0.26666666666666666,712.5548202589895,0.15667561970813337,1.0
02,29,0.1,1.0,60.0,56.333333333333336,0.9388888888888888,3.6666666666666665,34.666666666666664,29.677777777777777,2.384359284937514,17.0,0.2833333333333334,268.22733595485744,0.3184393366412419,1.0
02,29,0.3,1.0,60.0,59.333333333333336,0.9888888888888889,0.6666666666666666,50.333333333333336,28.23888888888889,2.168270202583271,15.666666666666666,0.3666666666666667,576.9408157756911,0.18864011995809904,1.0
