state_id,cohort,candidate,matrix_id,landmark,mass,q_all,q_half_A,q_half_B,prediction_prior,prediction_history,prediction_beta,prediction_full
CONF-c02-m008-g065,CONF,02,8,65,40,0.125,0.09375,0.15625,0.34825,0.07566794432367233,0.1685532846354332,0.15479508403181902
CONF-c02-m008-g080,CONF,02,8,80,40,0.328125,0.28125,0.375,0.34825,0.07142190371355518,0.1685532846354332,0.15453454102670772
CONF-c03-m008-g020,CONF,03,8,20,49,0.46875,0.59375,0.34375,0.38684375,0.5035415628083324,0.20143808256381454,0.5475556381244027
CONF-c03-m008-g035,CONF,03,8,35,43,0.625,0.6875,0.5625,0.38684375,0.28184893389151117,0.20143808256381454,0.5241558797001373
CONF-c03-m008-g050,CONF,03,8,50,36,0.484375,0.5,0.46875,0.38684375,0.35145056865006025,0.20143808256381454,0.5125236058938605
CONF-c03-m008-g065,CONF,03,8,65,36,0.390625,0.34375,0.4375,0.38684375,0.219708502483876,0.20143808256381454,0.1865465566163354
CONF-c03-m008-g080,CONF,03,8,80,31,0.140625,0.125,0.15625,0.38684375,0.21165577275805791,0.20143808256381454,0.2942944662729905
CONF-c02-m009-g020,CONF,02,9,20,40,0.078125,0.125,0.03125,0.34825,0.24834640899654228,0.38998806341811876,0.06087342272854269
CONF-c02-m009-g035,CONF,02,9,35,40,0.125,0.125,0.125,0.34825,0.15773933295994863,0.38998806341811876,0.06702447173298176
CONF-c02-m009-g050,CONF,02,9,50,40,0.03125,0.0625,0.0,0.34825,0.36081235636441117,0.38998806341811876,0.2411007593483141
CONF-c02-m009-g065,CONF,02,9,65,40,0.234375,0.1875,0.28125,0.34825,0.09749912923575667,0.38998806341811876,0.1818102731945904
CONF-c02-m009-g080,CONF,02,9,80,40,0.09375,0.125,0.0625,0.34825,0.05479344859553062,0.38998806341811876,0.06822977764123413
CONF-c03-m009-g020,CONF,03,9,20,45,0.046875,0.03125,0.0625,0.38684375,0.1602601048341734,0.4158348459393177,0.07043210340985308
CONF-c03-m009-g035,CONF,03,9,35,43,0.078125,0.09375,0.0625,0.38684375,0.21938695336994807,0.4158348459393177,0.01741389216967632
CONF-c03-m009-g050,CONF,03,9,50,39,0.171875,0.15625,0.1875,0.38684375,0.2606850648682234,0.4158348459393177,0.1395640661330984
CONF-c03-m009-g065,CONF,03,9,65,31,0.296875,0.28125,0.3125,0.38684375,0.18232180674578638,0.4158348459393177,0.3548344738517287
CONF-c03-m009-g080,CONF,03,9,80,38,0.375,0.375,0.375,0.38684375,0.6596491916516821,0.4158348459393177,0.5273112590342534
CONF-c02-m010-g020,CONF,02,10,20,40,0.75,0.75,0.75,0.34825,0.7288120111373051,0.4731134849730465,0.7352568601110724
CONF-c02-m010-g035,CONF,02,10,35,40,0.109375,0.15625,0.0625,0.34825,0.36072776203889845,0.4731134849730465,0.3537357910549594
CONF-c02-m010-g050,CONF,02,10,50,40,0.0625,0.0625,0.0625,0.34825,0.23670663868710975,0.4731134849730465,0.1966802793603002
CONF-c02-m010-g065,CONF,02,10,65,40,0.140625,0.21875,0.0625,0.34825,0.2538545621086366,0.4731134849730465,0.20255607802686848
CONF-c02-m010-g080,CONF,02,10,80,40,0.109375,0.09375,0.125,0.34825,0.1054377940630026,0.4731134849730465,0.10376842411366312
CONF-c03-m010-g020,CONF,03,10,20,40,0.765625,0.8125,0.71875,0.38684375,0.7958028116211724,0.48251152418477505,0.7635008898784339
CONF-c03-m010-g035,CONF,03,10,35,41,0.34375,0.34375,0.34375,0.38684375,0.6505795817087894,0.48251152418477505,0.6968888471821924
CONF-c03-m010-g050,CONF,03,10,50,43,0.046875,0.09375,0.0,0.38684375,0.45056209275406595,0.48251152418477505,0.27868997552997576
CONF-c03-m010-g065,CONF,03,10,65,36,0.140625,0.125,0.15625,0.38684375,0.3097638393647089,0.48251152418477505,0.30276421336646153
CONF-c03-m010-g080,CONF,03,10,80,33,0.359375,0.40625,0.3125,0.38684375,0.41241968878336943,0.48251152418477505,0.5351673695784572
CONF-c02-m011-g020,CONF,02,11,20,40,0.4375,0.4375,0.4375,0.34825,0.2727324553837357,0.41093828026651225,0.32481400547555805
CONF-c02-m011-g035,CONF,02,11,35,40,0.359375,0.375,0.34375,0.34825,0.2441924913314316,0.41093828026651225,0.16847443777082477
CONF-c02-m011-g050,CONF,02,11,50,40,0.453125,0.375,0.53125,0.34825,0.26715088802180703,0.41093828026651225,0.30429149503162073
CONF-c02-m011-g065,CONF,02,11,65,40,0.5625,0.5,0.625,0.34825,0.5298929466905777,0.41093828026651225,0.5159531915713186
CONF-c02-m011-g080,CONF,02,11,80,40,0.765625,0.78125,0.75,0.34825,0.49317876491258755,0.41093828026651225,0.6430922797461072
CONF-c03-m011-g020,CONF,03,11,20,43,0.484375,0.53125,0.4375,0.38684375,0.34263141882498305,0.4553737412179303,0.46779636528873947
CONF-c03-m011-g035,CONF,03,11,35,38,0.578125,0.625,0.53125,0.38684375,0.5499170831151396,0.4553737412179303,0.5425071788444543
CONF-c03-m011-g050,CONF,03,11,50,38,0.796875,0.8125,0.78125,0.38684375,0.5098376726858846,0.4553737412179303,0.6186838157219645
CONF-c03-m011-g065,CONF,03,11,65,46,0.46875,0.53125,0.40625,0.38684375,0.6251895250992926,0.4553737412179303,0.5968500429364539
CONF-c03-m011-g080,CONF,03,11,80,40,0.734375,0.78125,0.6875,0.38684375,0.5789558720803751,0.4553737412179303,0.6871140767701257
CONF-c02-m012-g020,CONF,02,12,20,40,0.171875,0.1875,0.15625,0.34825,0.36827380353647976,0.11715124567759903,0.43869866016286474
CONF-c02-m012-g035,CONF,02,12,35,40,0.125,0.125,0.125,0.34825,0.2197851431472545,0.11715124567759903,0.28817522399593665
CONF-c02-m012-g050,CONF,02,12,50,40,0.03125,0.0625,0.0,0.34825,0.16775434896406446,0.11715124567759903,0.11949088937995073
CONF-c02-m012-g065,CONF,02,12,65,40,0.125,0.09375,0.15625,0.34825,0.17884950039914105,0.11715124567759903,0.2348507103923304
CONF-c02-m012-g080,CONF,02,12,80,40,0.125,0.15625,0.09375,0.34825,0.12919291657617224,0.11715124567759903,0.22494317817221957
CONF-c03-m012-g020,CONF,03,12,20,33,0.234375,0.25,0.21875,0.38684375,0.4141554646595916,0.15990966668269774,0.3682838392644558
CONF-c03-m012-g035,CONF,03,12,35,38,0.59375,0.59375,0.59375,0.38684375,0.369448388729578,0.15990966668269774,0.4994836282184564
CONF-c03-m012-g050,CONF,03,12,50,35,0.046875,0.03125,0.0625,0.38684375,0.3876424165145699,0.15990966668269774,0.3702166537784772
CONF-c03-m012-g065,CONF,03,12,65,32,0.03125,0.03125,0.03125,0.38684375,0.2052473334360974,0.15990966668269774,0.11868280951910938
CONF-c03-m012-g080,CONF,03,12,80,40,0.046875,0.0,0.09375,0.38684375,0.1360774286910584,0.15990966668269774,0.07906948583760776
CONF-c02-m013-g020,CONF,02,13,20,40,0.4375,0.40625,0.46875,0.34825,0.2633452004755116,0.5824660435247057,0.2649806021668883
CONF-c02-m013-g035,CONF,02,13,35,40,0.40625,0.4375,0.375,0.34825,0.11329683490545032,0.5824660435247057,0.16577380575438735
CONF-c02-m013-g050,CONF,02,13,50,40,0.171875,0.21875,0.125,0.34825,0.08474781831997535,0.5824660435247057,0.039191082841626125
CONF-c02-m013-g065,CONF,02,13,65,40,0.46875,0.53125,0.40625,0.34825,0.07992085646117239,0.5824660435247057,0.21009834619242415
