source_state_id,candidate,matrix_id,landmark,eligible,reason,observed_fissions,break_time,broken_state_id,break_h,broken_state_digest,old_anchor_digest
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m128-g020,02,128,20,True,natural_break_observed,13,13,INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m128-g020-natural-break-f13,0.8994106693564526,30fc914a0b3302aa1f8cb696d7c08f2f7150de77b4255545af696b0de4feb86f,fd83e5c878d12f3866cdb4ef4a1838305463fe99f9f2c5cb56eb203a137c7af4
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m128-g035,02,128,35,True,natural_break_observed,26,26,INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m128-g035-natural-break-f26,0.8846850114009093,30c2d2156e1693484236bef35b89da97fe5910b4fb5f24bf40625d4f54b784a6,b59a338ab7a39ea353ac48932528e397a9a71b8cdc3cad15fa2a11772e707c14
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m128-g050,02,128,50,True,natural_break_observed,28,28,INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m128-g050-natural-break-f28,0.8892362240322897,5e39016860349d29be6169094cc2d010c7ca662379ddd6e3cfe907126e4818df,5a1cae579aa50902c61d6ef62c10c62a39d3fd9ded86371d126b97a3d170537f
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m128-g065,02,128,65,True,natural_break_observed,3,3,INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m128-g065-natural-break-f03,0.8840533850378601,1882b2a89c28302456a419bcedea42f9006f587b37184daec0587dbeb7df3b5c,b4a3565df565bc54f44385dffabbf7c8268c6ae5bb27a5a0b2b44415cda39dae
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m128-g080,02,128,80,True,natural_break_observed,37,37,INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m128-g080-natural-break-f37,0.8805412142053073,3f2cfc14094a59e4ca887b60582b2819b3ea6d697dbd52dffa6a8c2539125d02,3a0a78adc3f61d48a8e45acea1e9d51b30b2e818c7f4c636fbc10755c1e0246d
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m128-g020,03,128,20,True,natural_break_observed,5,5,INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m128-g020-natural-break-f05,0.8915663244811937,9edd5f11696ac9ccaf05327f850d11089667dda265152c09347a99068433bedc,91fa9803b3af5f714ba950974f7a37dad5fae0bbb5cdfceac693dfd4c151572e
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m128-g035,03,128,35,True,natural_break_observed,32,32,INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m128-g035-natural-break-f32,0.8874193807787716,ae311f0370e5c5ecab381fb61b62f400328ad4e233dfd847f71247832dacb064,004799d4559bfa05cbcd79ac8fcfda02a582e4bfd5aa4f9ed44f233f509c088f
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m128-g050,03,128,50,True,natural_break_observed,35,35,INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m128-g050-natural-break-f35,0.8965481975138521,ffc08f68713073b920e231a238c98a37d2eb95cd9b8a755679441edbc997d20c,9cc39b1dc2cf7e614ceb5abbf35ff49975cec97ff23bc66ecb74db4c81a947e7
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m128-g065,03,128,65,True,natural_break_observed,9,9,INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m128-g065-natural-break-f09,0.8618540950278651,a84bfe80cb03aedc69dff0db6c85c18c35bc72b2f2b0ee322df511841001b734,ab6f91cec6fe3f030c6989576b49ba8a1797619844f21f63d7ac2ce7164ffe6b
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m128-g080,03,128,80,True,natural_break_observed,3,3,INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m128-g080-natural-break-f03,0.8707528503058657,538ba06873b9a33650d5a2bf9c1de37e0f55f881ab7344860af18fa142abaa4a,02b04628282fa01e21912e6fb6302086abf534ea53f933fcc7d919d189533986
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m129-g020,02,129,20,True,natural_break_observed,3,3,INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m129-g020-natural-break-f03,0.8803245409275815,28988acd157dd296cd6edf9160e69bfbe55babe06898d1cf3e6041405b0349ea,7b9ce79bdd2e035e9d72d712c015a5167cce3d70be89960ce686f5b131a35d9d
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m129-g035,02,129,35,True,natural_break_observed,20,20,INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m129-g035-natural-break-f20,0.8521972068512543,e94634fe7dd67bacf14425e36ab50a84b330be6d4090a14eb3d5dc7add3cac11,34df18f52701cd467f006d99f31d3034e84d8c4ee7efd9601ff7149b6c02d107
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m129-g050,02,129,50,True,natural_break_observed,9,9,INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m129-g050-natural-break-f09,0.880056620300329,a8f438fe5e739617124abbbde658b28186395399538665f9152b61671c0bbd8c,88a7467aeaa5895255003aea8743925f9a236db5e383e72b7dfccf7260bbe357
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m129-g065,02,129,65,True,natural_break_observed,15,15,INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m129-g065-natural-break-f15,0.899578225840009,9808e0de8bee60f5f4b055e431f9576207e514034fed35cce0bf65ddeca9796b,7d83025e660e268a0fec3493c60dba2061c80e86aaec90018450c38c563a383b
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m129-g080,02,129,80,True,natural_break_observed,3,3,INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m129-g080-natural-break-f03,0.8231184426746729,c03a809e8f24b3dfa869f4817d5336c7c88452a266a938426cb060834fc9e679,a13db6accfec192548e749f8b77bf139015b501fe7b81c399a64b18bbece3d98
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m129-g020,03,129,20,True,natural_break_observed,4,4,INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m129-g020-natural-break-f04,0.8727071465730183,8263ccf502eb9a081be7aaa3cdc417060ddf8601879dfca41fe9532a595eac12,5ed8962373276eaf26b8c6c24751bf23f39a89340a40f87f47d64751284981d9
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m129-g035,03,129,35,True,natural_break_observed,4,4,INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m129-g035-natural-break-f04,0.8916554213024308,25790a270157821471092b89af6906d9b224e10fcf600413087d10165305e405,47f2ca938ceb5921f2ad8a9d4d37369bbed810b055e1139dc57b8cc641aaea8d
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m129-g050,03,129,50,True,natural_break_observed,1,1,INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m129-g050-natural-break-f01,0.8728715609439696,e22e15763f6a5f6480a762ddea3c1ad6b6669037d3dcbd2781e12de38faaa13a,f3b1fbe55ff54edea30cdc5597d0bb9b240f08e19d16ecd912b0f6797d087fc5
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m129-g065,03,129,65,True,natural_break_observed,9,9,INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m129-g065-natural-break-f09,0.8729581510499257,79c8921795af425348c2cbc81f83d33db674579877ce103fc2af0248bad7bf41,850fd532881a8d1a2edcc10c5477bc8f6582de5a3307fd534c0acf945b76fc64
