candidate,matrix_id,launch,convention,pulse_length,persistence,pulse_completed,release_completed,edits_applied,release_interventions_applied,release_inherited_fixed_fraction,final_similarity,minimum_similarity,launch_risk,launch_entropy,launch_top1_share,launch_occupied_types,launch_throughput,anchor_risk,anchor_entropy,anchor_top1_share,anchor_occupied_types,anchor_throughput,risk_reduction,entropy_reduction,top1_increase,occupied_reduction,log_throughput_ratio
02,1,NASCENT,POST_EDIT,2,3.3333333333333335,1.0,1.0,2.0,0.0,0.9611111111111111,0.33076894315669075,0.04254872483496052,0.996432936315614,3.688879454113938,0.025000000000000005,40.0,44.921774385688046,0.24785905878774547,2.512531263688176,0.26666666666666666,18.666666666666668,1080.6069769781254,0.7485738775278685,1.1763481904257624,0.24166666666666667,21.333333333333332,3.1518161781857033
02,1,NASCENT,POST_EDIT,4,3.6666666666666665,1.0,1.0,4.0,0.0,0.9388888888888888,0.30883312791417067,0.06174229427435904,0.996432936315614,3.688879454113938,0.025000000000000005,40.0,44.921774385688046,0.14358851326661667,2.1265560177245835,0.2916666666666667,12.666666666666666,1007.246313016912,0.8528444230489973,1.5623234363893548,0.26666666666666666,27.333333333333332,3.0611683868650394
02,1,NASCENT,POST_EDIT,8,3.6666666666666665,1.0,1.0,8.0,0.0,0.9611111111111111,0.4494078266770702,0.044180256862845886,0.996432936315614,3.688879454113938,0.025000000000000005,40.0,44.921774385688046,0.11028000551802646,2.0411412814062593,0.2833333333333334,11.666666666666666,1335.545774082357,0.8861529307975875,1.647738172707679,0.25833333333333336,28.333333333333332,3.2453245592320834
02,1,NASCENT,POST_EDIT,16,4.333333333333333,1.0,1.0,16.0,0.0,0.9499999999999998,0.34364022742141426,0.00902815886178235,0.996432936315614,3.688879454113938,0.025000000000000005,40.0,44.921774385688046,0.09811876103614033,1.8975440353969102,0.39999999999999997,11.666666666666666,1239.4422270009015,0.8983141752794737,1.791335418717028,0.375,28.333333333333332,3.2684711517734653
02,1,NASCENT,POST_EDIT,32,4.0,1.0,1.0,32.0,0.0,0.9611111111111111,0.3615902773165745,0.06933366032311648,0.996432936315614,3.688879454113938,0.025000000000000005,40.0,44.921774385688046,0.055249335920114266,2.0574671502248947,0.3,12.0,1604.4277958139917,0.9411836003954998,1.6314123038890436,0.27499999999999997,28.0,3.5240568287912537
02,1,NASCENT,POST_EDIT,60,3.3333333333333335,1.0,1.0,60.0,0.0,0.9666666666666667,0.5955827120997648,0.04901721444233431,0.996432936315614,3.688879454113938,0.025000000000000005,40.0,44.921774385688046,0.11551415866679286,2.1793889184866626,0.2416666666666667,12.0,794.100506651013,0.8809187776488212,1.5094905356272754,0.21666666666666667,28.0,2.7816421412967713
02,1,NASCENT,RELAXED,1,3.0,1.0,1.0,0.0,0.0,0.9666666666666667,0.500051840650555,0.045410713352758425,0.996432936315614,3.688879454113938,0.025000000000000005,40.0,44.921774385688046,0.5873823196239994,3.0325677959413677,0.19999999999999998,27.333333333333332,322.6366190189431,0.4090506166916145,0.6563116581725706,0.17500000000000002,12.666666666666666,0.9860815692404593
02,1,NASCENT,RELAXED,2,4.333333333333333,1.0,1.0,1.0,0.0,0.9611111111111111,0.0729199245629127,0.04035091956838414,0.996432936315614,3.688879454113938,0.025000000000000005,40.0,44.921774385688046,0.3169356428342746,2.512531263688176,0.26666666666666666,18.666666666666668,811.0733804366827,0.6794972934813394,1.176348190425762,0.24166666666666667,21.333333333333332,2.5610512749988
02,1,NASCENT,RELAXED,4,3.3333333333333335,1.0,1.0,3.0,0.0,0.9500000000000001,0.45043349766985746,0.048624266429840635,0.996432936315614,3.688879454113938,0.025000000000000005,40.0,44.921774385688046,0.2235949868352239,2.1381084707339157,0.2916666666666667,13.0,578.3678676927194,0.7728379494803902,1.550770983380022,0.26666666666666666,27.0,1.8640202776731376
02,1,NASCENT,RELAXED,8,4.333333333333333,1.0,1.0,7.0,0.0,0.9277777777777777,0.46908774843468,0.024451229461750722,0.996432936315614,3.688879454113938,0.025000000000000005,40.0,44.921774385688046,0.1676428672769232,2.0598857862268862,0.2833333333333334,12.0,909.7066403442395,0.8287900690386909,1.6289936678870518,0.25833333333333336,28.0,2.419923461765317
02,1,NASCENT,RELAXED,16,4.0,1.0,1.0,15.0,0.0,0.9777777777777777,0.21956188357425024,0.02573305136857754,0.996432936315614,3.688879454113938,0.025000000000000005,40.0,44.921774385688046,0.16616792780667206,1.9250093426136126,0.39999999999999997,12.333333333333334,671.7683992834499,0.8302650085089419,1.7638701115003252,0.375,27.666666666666668,1.3431082652927469
02,1,NASCENT,RELAXED,32,3.3333333333333335,1.0,1.0,31.0,0.0,0.9388888888888888,0.3837244936983771,0.031762921388161926,0.996432936315614,3.688879454113938,0.025000000000000005,40.0,44.921774385688046,0.08178529803430151,2.073380004432265,0.3,12.333333333333334,1068.6193801701338,0.9146476382813126,1.615499449681673,0.27499999999999997,27.666666666666668,3.0887857881013674
02,1,NASCENT,RELAXED,60,4.666666666666667,1.0,1.0,59.0,0.0,0.9444444444444443,0.3045456080084661,0.05760237441830766,0.996432936315614,3.688879454113938,0.025000000000000005,40.0,44.921774385688046,0.18982340523813335,2.1793889184866626,0.2416666666666667,12.0,481.3201976424529,0.8066095310774807,1.5094905356272754,0.21666666666666667,28.0,1.9750866272575347
02,2,MATURE,POST_EDIT,1,11.666666666666666,1.0,1.0,1.0,0.0,0.9888888888888889,0.7927584798555486,0.5775652387249253,0.34258615217624927,2.524857235627916,0.275,18.0,372.4215549802322,0.2710521785968999,2.4531746945838204,0.225,16.666666666666668,435.8298798928922,0.07153397357934939,0.07168254104409592,-0.05000000000000002,1.3333333333333333,0.15091964155265766
02,2,MATURE,POST_EDIT,2,44.0,1.0,1.0,2.0,0.0,1.0,0.8226114688817988,0.6604481706071871,0.34258615217624927,2.524857235627916,0.275,18.0,372.4215549802322,0.1925034378085797,2.1627320636503313,0.2833333333333334,15.0,754.8751976300613,0.1500827143676696,0.3621251719775848,0.008333333333333323,3.0,0.6317763204985601
02,2,MATURE,POST_EDIT,4,42.666666666666664,1.0,1.0,4.0,0.0,1.0,0.878437635460792,0.6886944679956445,0.34258615217624927,2.524857235627916,0.275,18.0,372.4215549802322,0.14218067786321353,1.9185830185317496,0.3833333333333333,12.666666666666666,902.3000762313363,0.20040547431303576,0.6062742170961665,0.10833333333333332,5.333333333333333,0.7946122291168797
02,2,MATURE,POST_EDIT,8,20.0,1.0,1.0,8.0,0.0,0.9944444444444445,0.7064968958857375,0.5279491628732877,0.34258615217624927,2.524857235627916,0.275,18.0,372.4215549802322,0.09535575648439103,1.9545263830158603,0.31666666666666665,10.666666666666666,925.8857538981259,0.24723039569185823,0.570330852612056,0.04166666666666665,7.333333333333333,0.825135535495016
02,2,MATURE,POST_EDIT,16,4.666666666666667,1.0,1.0,16.0,0.0,0.9888888888888889,0.4446674261224848,0.31517283409007335,0.34258615217624927,2.524857235627916,0.275,18.0,372.4215549802322,0.16518546700084738,2.1760153855621094,0.27499999999999997,12.666666666666666,675.0148272686317,0.1774006851754019,0.3488418500658068,-1.850371707708594e-17,5.333333333333333,0.5519716746414175
02,2,MATURE,POST_EDIT,32,4.666666666666667,1.0,1.0,32.0,0.0,1.0,0.4630588888972344,0.38179304823278803,0.34258615217624927,2.524857235627916,0.275,18.0,372.4215549802322,0.07813396148427093,1.8193642120521645,0.39166666666666666,10.666666666666666,976.4468208990879,0.26445219069197834,0.7054930235757518,0.11666666666666664,7.333333333333333,0.8779162451772148
02,2,MATURE,POST_EDIT,60,7.0,1.0,1.0,60.0,0.0,0.9944444444444445,0.5170685711562611,0.37234994127756393,0.34258615217624927,2.524857235627916,0.275,18.0,372.4215549802322,0.03860270674054523,1.7886344706509612,0.39999999999999997,10.666666666666666,1512.0731826134943,0.30398344543570405,0.7362227649769549,0.12499999999999999,7.333333333333333,1.3852495342105786
02,2,MATURE,RELAXED,1,18.333333333333332,1.0,1.0,0.0,0.0,1.0,0.786378037938542,0.4387367170416831,0.34258615217624927,2.524857235627916,0.275,18.0,372.4215549802322,0.3097793404842932,2.493011000691348,0.225,17.333333333333332,401.7078110346121,0.032806811691956074,0.03184623493656824,-0.05000000000000002,0.6666666666666666,0.06239138741025465
02,2,MATURE,RELAXED,2,40.0,1.0,1.0,1.0,0.0,0.9888888888888889,0.861029098064883,0.5989007390711114,0.34258615217624927,2.524857235627916,0.275,18.0,372.4215549802322,0.21852637586503587,2.1786449178577016,0.2833333333333334,15.333333333333334,718.2596485171416,0.1240597763112134,0.3462123177702145,0.008333333333333323,2.6666666666666665,0.5842491243107145
02,2,MATURE,RELAXED,4,35.666666666666664,1.0,1.0,3.0,0.0,1.0,0.8160775446922024,0.6849990688144915,0.34258615217624927,2.524857235627916,0.275,18.0,372.4215549802322,0.16971778325284767,1.9411110789750652,0.3833333333333333,13.0,871.1000192065588,0.17286836892340163,0.583746156652851,0.10833333333333332,5.0,0.738110820382464
02,2,MATURE,RELAXED,8,23.333333333333332,1.0,1.0,7.0,0.0,1.0,0.7035409968920842,0.589039532438684,0.34258615217624927,2.524857235627916,0.275,18.0,372.4215549802322,0.12259507621764038,1.9848233408458196,0.31666666666666665,11.333333333333334,769.3630007025143,0.2199910759586089,0.5400338947820965,0.04166666666666665,6.666666666666667,0.6362790384739714
02,2,MATURE,RELAXED,16,3.0,1.0,1.0,15.0,0.0,0.9500000000000001,0.4605939679919457,0.21971618190658312,0.34258615217624927,2.524857235627916,0.275,18.0,372.4215549802322,0.20537866868596277,2.2106727445901067,0.27499999999999997,13.666666666666666,449.0679638691786,0.13720748349028647,0.31418449103780954,-1.850371707708594e-17,4.333333333333333,0.14389877292936012
02,2,MATURE,RELAXED,32,4.666666666666667,1.0,1.0,31.0,0.0,1.0,0.5266494139582883,0.39442996122910084,0.34258615217624927,2.524857235627916,0.275,18.0,372.4215549802322,0.11274672227231082,1.851189920466905,0.39166666666666666,11.333333333333334,633.3269252211184,0.22983942990393846,0.6736673151610112,0.11666666666666664,6.666666666666667,0.26686897141044763
