candidate,matrix_id,pulse_length,row_index,landmark,replicate,pulse_completed,pulse_observed_fissions,release_completed,release_observed_fissions,edits_applied,release_interventions_applied,persistence,first_departure_time,release_inherited_fixed_fraction,release_break_count,final_similarity,minimum_similarity,final_risk,final_entropy,final_top1_share,final_occupied_types,final_throughput
03,1,1,143.5,60.0,2.5,1.0,1.0,1.0,60.0,1.0,0.0,4.666666666666667,4.666666666666667,0.8472222222222222,9.166666666666666,0.14297656760446584,0.00971420645773611,0.48823669545762743,2.5089511910304156,0.31511062381760274,20.5,1445.9493780416935
03,1,2,144.5,60.0,2.5,1.0,2.0,1.0,60.0,2.0,0.0,4.666666666666667,4.666666666666667,0.8722222222222222,7.666666666666667,0.3529722117008724,0.0015467559883424822,0.4950503845023246,2.1105798082091134,0.4025223531802479,15.166666666666666,28.030515126489757
03,1,4,145.5,60.0,2.5,1.0,4.0,1.0,60.0,4.0,0.0,4.0,4.0,0.8805555555555555,7.166666666666667,0.30986161462422,0.002533993473941339,0.584785996786476,2.649022986906086,0.24445476543754882,21.0,51.45008988458597
03,1,8,146.5,60.0,2.5,1.0,8.0,1.0,60.0,8.0,0.0,5.333333333333333,5.333333333333333,0.8583333333333334,8.5,0.006021275084765856,0.0,0.49716777116702837,2.6281324635815806,0.2613357820251649,20.5,1035.2241443095072
03,1,16,147.5,60.0,2.5,1.0,16.0,1.0,60.0,16.0,0.0,7.166666666666667,7.166666666666667,0.9055555555555556,5.666666666666667,0.071417548764788,0.0,0.5597586764610175,2.6605132649878422,0.22475234495452723,19.666666666666668,88.46627383107777
03,1,32,148.5,60.0,2.5,1.0,32.0,1.0,60.0,32.0,0.0,5.333333333333333,5.333333333333333,0.9027777777777778,5.833333333333333,0.18235111500256132,0.0,0.4541510489981067,2.254179654903139,0.37529603046477694,17.833333333333332,584.1309458925538
03,1,60,149.5,60.0,2.5,1.0,60.0,1.0,60.0,60.0,0.0,5.166666666666667,5.166666666666667,0.8833333333333333,7.0,0.21916402970744522,0.0,0.49291178367137256,2.4637210793910858,0.2744273454639308,19.666666666666668,1599.3390161866957
03,2,1,227.5,60.0,2.5,1.0,1.0,1.0,60.0,1.0,0.0,2.0,2.0,0.7999999999999999,12.0,0.571857623713363,0.19191971998241544,0.5138836120894751,2.4575335120301913,0.2789022658137803,18.166666666666668,481.8658134627811
03,2,2,228.5,60.0,2.5,1.0,2.0,1.0,60.0,2.0,0.0,4.666666666666667,4.666666666666667,0.8555555555555555,8.666666666666666,0.47833806716504124,0.09063264898113164,0.6011683205357516,2.7222626839463824,0.19851961804226184,20.5,213.2593475825371
03,2,4,229.5,60.0,2.5,1.0,4.0,1.0,60.0,4.0,0.0,4.5,4.5,0.8611111111111112,8.333333333333334,0.25739984902607066,0.05868402731875918,0.5147171340710303,2.638007049889196,0.2088840515669784,19.666666666666668,245.74087034342787
03,2,8,230.5,60.0,2.5,1.0,8.0,1.0,60.0,8.0,0.0,5.5,5.5,0.8305555555555556,10.166666666666666,0.43517417880578607,0.03784137609639451,0.5584112349643825,2.7131484452413646,0.18653157844334314,20.0,352.62208599760055
03,2,16,231.5,60.0,2.5,1.0,16.0,1.0,60.0,16.0,0.0,5.333333333333333,5.333333333333333,0.8638888888888889,8.166666666666666,0.27687006101494327,0.014661116727419238,0.600180379378097,2.8235279547959977,0.15943992773261065,21.166666666666668,149.8172045148253
03,2,32,232.5,60.0,2.5,1.0,32.0,1.0,60.0,32.0,0.0,5.166666666666667,5.166666666666667,0.8472222222222222,9.166666666666666,0.18362722977225934,0.033239746930961836,0.6221619698075043,2.8010807254127346,0.15756890611541774,20.5,122.24716188289501
03,2,60,233.5,60.0,2.5,1.0,60.0,1.0,60.0,60.0,0.0,3.6666666666666665,3.6666666666666665,0.8666666666666667,8.0,0.2195581144168468,0.032568203678208264,0.551080463276286,2.63663954012328,0.21453235040786342,19.666666666666668,268.67855193259055
03,3,1,311.5,60.0,2.5,1.0,1.0,1.0,60.0,1.0,0.0,5.333333333333333,5.333333333333333,0.936111111111111,3.8333333333333335,0.4500337904957952,0.020290331954829016,0.38086928425239686,2.435373929588304,0.2913806357291077,18.5,365.4955726836966
03,3,2,312.5,60.0,2.5,1.0,2.0,1.0,60.0,2.0,0.0,6.0,6.0,0.9138888888888889,5.166666666666667,0.3997670674887737,0.02576871198733417,0.4708833082918485,2.5999404138179245,0.23215438847540046,19.5,286.63244430221806
03,3,4,313.5,60.0,2.5,1.0,4.0,1.0,60.0,4.0,0.0,4.833333333333333,4.833333333333333,0.9638888888888889,2.1666666666666665,0.47405854029374633,0.08424449558520286,0.5004563960359688,2.575890905182446,0.2556588734180198,19.833333333333332,130.7152316381969
