candidate,matrix_id,policy,row_index,landmark,replicate,completed_horizon,observed_fissions,inherited_observed_fraction,inherited_fixed_horizon_fraction,inherited_boundary_count,total_breaks,episode_count,longest_inherited_run,edits_applied,edits_per_inherited_boundary,threshold_excursions,residual_excursions,mean_risk_before,mean_risk_after,final_entropy,final_top1_share,final_occupied_types,final_throughput,mean_growth_updates,noop_plain_bitwise_exact
02,47,MODEL_EVERY_8,6234.5,60.0,2.5,1.0,60.0,0.9055555555555556,0.9055555555555556,54.333333333333336,5.666666666666667,3.3333333333333335,22.333333333333332,7.0,0.12898541633631636,0.0,0.0,0.3807430562421565,0.36880274737470536,2.33219413833135,0.325,17.166666666666668,296.78550428361706,45.775,1.0
02,47,NOOP,6241.5,60.0,2.5,1.0,60.0,0.8694444444444445,0.8694444444444445,52.166666666666664,7.833333333333333,3.0,20.666666666666668,0.0,0.0,0.0,0.0,0.42754210298998707,0.42754210298998707,2.6917205135005102,0.23750000000000002,21.0,205.5279993360134,48.82777777777778,1.0
02,47,RANDOM_EVERY_1,6236.5,60.0,2.5,1.0,60.0,0.8305555555555556,0.8305555555555556,49.833333333333336,10.166666666666666,3.5,20.833333333333332,60.0,1.2078783650212221,0.0,0.0,0.44079711959119444,0.4448201035178733,2.8965745558506746,0.17500000000000002,23.0,106.18894051915765,47.85277777777778,1.0
02,47,RANDOM_EVERY_16,6240.5,60.0,2.5,1.0,60.0,0.8361111111111111,0.8361111111111111,50.166666666666664,9.833333333333334,3.5,25.666666666666668,3.0,0.06034968040106042,0.0,0.0,0.4261352103265886,0.4265657510713507,2.8032613046882857,0.17916666666666667,21.5,260.03450473001584,50.16111111111112,1.0
02,47,RANDOM_EVERY_2,6237.5,60.0,2.5,1.0,60.0,0.875,0.875,52.5,7.5,4.0,20.833333333333332,30.0,0.5732749910473928,0.0,0.0,0.43045141173336415,0.43400019690728536,2.5334450629913605,0.2833333333333333,19.0,319.30590346744265,48.50555555555555,1.0
02,47,RANDOM_EVERY_4,6238.5,60.0,2.5,1.0,60.0,0.8527777777777779,0.8527777777777779,51.166666666666664,8.833333333333334,4.5,15.5,15.0,0.29402376566845123,0.0,0.0,0.44226479819160147,0.44383660093660154,2.4231580007024554,0.3125,18.333333333333332,262.8803028379943,48.458333333333336,1.0
02,47,RANDOM_EVERY_8,6239.5,60.0,2.5,1.0,60.0,0.8805555555555555,0.8805555555555555,52.833333333333336,7.166666666666667,2.8333333333333335,24.666666666666668,7.0,0.13318540824756184,0.0,0.0,0.4085418230234965,0.40911709026494725,2.5411146606329815,0.2833333333333333,19.833333333333332,289.9899947617735,47.87777777777777,1.0
03,0,MODEL_EVERY_1,93.5,60.0,2.5,1.0,60.0,1.0,1.0,60.0,0.0,0.0,60.0,60.0,1.0,0.0,0.0,0.028347801727179794,0.017573604671278963,1.61952369638224,0.4487083146548783,9.833333333333334,1595.5884915019085,21.719444444444445,1.0
03,0,MODEL_EVERY_16,97.5,60.0,2.5,1.0,60.0,1.0,1.0,60.0,0.0,0.0,60.0,3.0,0.05000000000000001,0.0,0.0,0.0458884379210403,0.045349058001983265,1.5581370061669002,0.5729338396062063,11.833333333333334,1581.6766594022174,32.788888888888884,1.0
03,0,MODEL_EVERY_2,94.5,60.0,2.5,1.0,60.0,1.0,1.0,60.0,0.0,0.0,60.0,30.0,0.5,0.0,0.0,0.03510482760742901,0.028004066997540402,1.7012796870170954,0.48623255755797473,11.5,1371.6464925931439,26.302777777777777,1.0
03,0,MODEL_EVERY_4,95.5,60.0,2.5,1.0,60.0,1.0,1.0,60.0,0.0,0.0,60.0,15.0,0.25,0.0,0.0,0.0451903829225217,0.04171314962963197,1.549759106305802,0.5646198530760186,11.0,1668.2498134251298,29.027777777777775,1.0
03,0,MODEL_EVERY_8,96.5,60.0,2.5,1.0,60.0,1.0,1.0,60.0,0.0,0.0,60.0,7.0,0.11666666666666665,0.0,0.0,0.040575791612962465,0.03946414229161472,1.8031009864884642,0.5449972813344907,14.166666666666666,1375.6308546134999,31.769444444444446,1.0
03,0,NOOP,103.5,60.0,2.5,1.0,60.0,1.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.044513050365290546,0.044513050365290546,1.4166252356348192,0.6536493477282951,11.666666666666666,1899.1547578111574,34.40555555555556,1.0
03,0,RANDOM_EVERY_1,98.5,60.0,2.5,1.0,60.0,0.9972222222222222,0.9972222222222222,59.833333333333336,0.16666666666666666,0.16666666666666666,59.333333333333336,60.0,1.002824858757062,0.0,0.0,0.04701456812846991,0.04839293832304146,1.6104672263896014,0.5507749351734313,12.333333333333334,1408.0227813003073,32.62777777777777,1.0
03,0,RANDOM_EVERY_16,102.5,60.0,2.5,1.0,60.0,1.0,1.0,60.0,0.0,0.0,60.0,3.0,0.05000000000000001,0.0,0.0,0.04384209556647497,0.04390779551337365,1.6881527085282537,0.5548634399950189,12.5,1408.1765092702526,32.891666666666666,1.0
03,0,RANDOM_EVERY_2,99.5,60.0,2.5,1.0,60.0,1.0,1.0,60.0,0.0,0.0,60.0,30.0,0.5,0.0,0.0,0.05140190382381796,0.05217784344846566,1.4635896408267006,0.6309894699078805,11.5,1781.337017757447,32.55555555555556,1.0
03,0,RANDOM_EVERY_4,100.5,60.0,2.5,1.0,60.0,0.9972222222222222,0.9972222222222222,59.833333333333336,0.16666666666666666,0.0,59.833333333333336,15.0,0.2507062146892655,0.0,0.0,0.04955608696043853,0.049807826670063664,1.8030606618687688,0.5180633196590644,14.0,1321.8682550634148,33.025,1.0
03,0,RANDOM_EVERY_8,101.5,60.0,2.5,1.0,60.0,1.0,1.0,60.0,0.0,0.0,60.0,7.0,0.11666666666666665,0.0,0.0,0.04572807344540314,0.04593817416187124,1.5368291418157216,0.5993782404404997,11.333333333333334,1594.7524082364027,34.455555555555556,1.0
03,1,MODEL_EVERY_1,225.5,60.0,2.5,1.0,60.0,1.0,1.0,60.0,0.0,0.0,60.0,60.0,1.0,0.0,0.0,0.022481826700807398,0.0027425945345698525,0.2795067591208126,0.9285169316491525,2.5,81860.49319510991,9.888888888888888,1.0
03,1,MODEL_EVERY_16,229.5,60.0,2.5,1.0,60.0,0.8944444444444445,0.8944444444444445,53.666666666666664,6.333333333333333,3.8333333333333335,24.666666666666668,3.0,0.055969013786351246,0.0,0.0,0.38419976653384486,0.37256913795376195,1.9988755480855496,0.4184381750171224,14.333333333333334,2856.2901754828376,36.85277777777778,1.0
03,1,MODEL_EVERY_2,226.5,60.0,2.5,1.0,60.0,1.0,1.0,60.0,0.0,0.0,60.0,30.0,0.5,0.0,0.0,0.11893212501147843,0.05242268052362354,1.063113437553999,0.7204089344333248,8.166666666666666,53562.49380915393,22.108333333333334,1.0
03,1,MODEL_EVERY_4,227.5,60.0,2.5,1.0,60.0,0.9583333333333334,0.9583333333333334,57.5,2.5,1.6666666666666667,41.5,15.0,0.26112155388471175,0.0,0.0,0.2550420878390516,0.19575725611087755,2.146465050776253,0.386375738852519,15.666666666666666,16177.851755478245,30.447222222222223,1.0
03,1,MODEL_EVERY_8,228.5,60.0,2.5,1.0,60.0,0.9027777777777778,0.9027777777777778,54.166666666666664,5.833333333333333,3.6666666666666665,23.833333333333332,7.0,0.1293398425473897,0.0,0.0,0.36361394329339264,0.3404288636413078,1.7648754721760405,0.48804258804258804,12.833333333333334,13863.722689398768,36.24722222222223,1.0
