source_state_id,broken_state_id,candidate,matrix_id,landmark,eligible,reason,observed_fissions,break_time,break_h,broken_state_digest,old_anchor_digest
VALI-c03-m160-g035,VALI-c03-m160-g035-natural-break-f03,03,160,35,True,natural_break_observed,3,3,0.7991784102357002,6a466861eec8ce663115ce290c8d69b00c06eec3d816f1dce1320260084ba553,c627947644652276e86119ba49a9168944498c7a247e3b5ca34e551bed7077c5
VALI-c03-m160-g050,VALI-c03-m160-g050-natural-break-f01,03,160,50,True,natural_break_observed,1,1,0.8957607202286275,121dab46fda26b43bb65ab8f9a289be2d918e76462633ce482a3af0104c13e14,3b75bc54ed230101267b9b9b26e5fb2395f212f9dc45e2fa7db08c03470f43a2
VALI-c03-m160-g065,VALI-c03-m160-g065-natural-break-f06,03,160,65,True,natural_break_observed,6,6,0.8896899480550509,dd0d1efaecb628f8e994b232bcbc25b3d7337680f7f24f923ff2985c0f44168b,def0dd30257f3ef7e0ae32410363d3087816a8037f92a26f4ae9657b02a7b389
VALI-c03-m160-g080,VALI-c03-m160-g080-natural-break-f01,03,160,80,True,natural_break_observed,1,1,0.7861995949239877,ed0729e55ec9526943de5c2d0b68248f4a59c1844340b28be7b13099dd9ad69b,a11818c7f65d030c7ce542e2ef968a2131bb2e90078f41ee0b8fed62b88bc6f0
VALI-c02-m161-g020,VALI-c02-m161-g020-natural-break-f20,02,161,20,True,natural_break_observed,20,20,0.8575027925287091,aba604fa7a9c29f5a6c4eba075c8219f47808b52f2cf092bae9f23520741700d,1b779a659c0d35ab4bcab47b388329233928e14a6dbd321f16ab5a6c944f718b
VALI-c02-m161-g035,VALI-c02-m161-g035-natural-break-f08,02,161,35,True,natural_break_observed,8,8,0.8675921653712266,b958de915f015c6f4ff2f779ad8919a59d66190e447de52e441a779d8d0035fd,3f75c74a4d034620488e96febc958f82cf2ae287acb171a012b525ee9f88d5cc
VALI-c02-m161-g050,VALI-c02-m161-g050-natural-break-f02,02,161,50,True,natural_break_observed,2,2,0.8907986681660888,14f38eae145e2bb1c800c1140da03b2ea0162211ac0bcfeddc5649da2c415cfa,84db0ed1f993ef662c0db107577d396b7ca03b4c1f9972776e1bf0221e2e8593
VALI-c02-m161-g065,,02,161,65,False,no_natural_break_within_registered_limit,60,-1,,,
VALI-c02-m161-g080,,02,161,80,False,no_natural_break_within_registered_limit,60,-1,,,
VALI-c03-m161-g020,,03,161,20,False,no_natural_break_within_registered_limit,60,-1,,,
VALI-c03-m161-g035,VALI-c03-m161-g035-natural-break-f31,03,161,35,True,natural_break_observed,31,31,0.8714966973583396,4c4cb312997bffe3fe6d09bb2661542c909233564e05cc5b7c317bde95029c33,67f66fac9b47bee36f8d78cf51332f471c9e63ad866b3fdfcbc21374d1212bd5
VALI-c03-m161-g050,VALI-c03-m161-g050-natural-break-f51,03,161,50,True,natural_break_observed,51,51,0.8698608212378087,3fd12a13d8f79aaa94f41c5326d7dbddf11f57db26a1174abdb2d6321a667ad7,320fffd2f1279b416d69af7434f5adb117b5b58cc5c42ab0a5cd9d8e05b582ff
VALI-c03-m161-g065,VALI-c03-m161-g065-natural-break-f06,03,161,65,True,natural_break_observed,6,6,0.8770927261003119,d386a0a4b9546d9d708c4ccf5f693766eee02ef7edd0d1aa288c21217c62c7ae,1f02c3e441fe68327f2436d6c8c8902193c7ed293da6d31c9641a9ffef40167f
VALI-c03-m161-g080,VALI-c03-m161-g080-natural-break-f22,03,161,80,True,natural_break_observed,22,22,0.8898076999437807,a9a99c5b6dcb611f75e058345b6ec4e572dcc80dd7e232cd3ba3e4b53115df9b,7e89d023e025fb3970fd84cfc29da9f9dbeaa993ba6af084df90dc99ac7451dd
VALI-c02-m162-g020,VALI-c02-m162-g020-natural-break-f12,02,162,20,True,natural_break_observed,12,12,0.8813624039014567,62c13ecdbc5a4eca3796dfae7a38348874b111833fd35541bdbf1da4acc39404,594d31c2a02f7fe9ef1d6dbc20af4ed7fed8b49cfd3d6af4b26e965077137401
