state_id,candidate,matrix_id,landmark,generation,mass,occupied_types,state_digest
VALI-c02-m117-g050,02,117,50,50,40,22,90fe24907ace21d52ed755e405c3b56bc40d5549d12d379aa96a48c34b24dd48
VALI-c02-m117-g065,02,117,65,65,40,22,3155e1ab8c620e25e76798f20fa9ce488350d35e1e54d39d8fa4d32503b9dbc6
VALI-c02-m117-g080,02,117,80,80,40,23,983dfc7636ba6b5bee9f9968cdc349ef582220f4123c5879b95fb89b5f129a53
VALI-c03-m117-g020,03,117,20,20,42,22,4dcb829f2428cd74d335619da9d49d78fdda0f904d275b7a9333f321bcbb18a7
VALI-c03-m117-g035,03,117,35,35,32,19,1dfbb2f5d2e43fcee460f14c7e534c791b53ba441d8c75fb834eff8dfe53175e
VALI-c03-m117-g050,03,117,50,50,43,24,a53557b9489d03bed0ea00dce64b942f5b6672a6ccb64fbc22f4625e6ce1224b
VALI-c03-m117-g065,03,117,65,65,42,25,aaecdda9a0e9d546e9a4effb982bad72e054954d63e9e312ae832452bcb676c7
VALI-c03-m117-g080,03,117,80,80,44,21,0631b5d9937ff3a7f7b1b63abf1dc7f5d4fb247978b7789937427fdf3e8dc327
VALI-c02-m118-g020,02,118,20,20,40,13,33cca44c1018932a308b4444b98dfe1c89bc637bd56962a6e3b4ed61044f9a77
VALI-c02-m118-g035,02,118,35,35,40,10,fe7392847069a8ccd57d94624b0876202155c75b2b54cbcc52023a6d634b2f41
VALI-c02-m118-g050,02,118,50,50,40,6,7a35e79e0506d766759c244ce558e1ed865f6dd828c374754c7d60ee321d63da
VALI-c02-m118-g065,02,118,65,65,40,7,3fabcb197115c441d08e428d0270948e587650c333053c66a7609ff9f375bf2b
VALI-c02-m118-g080,02,118,80,80,40,10,50d79dec18da71a9ea826e72e7c665164fcf3c4e4f349788a6a810efecbc4515
VALI-c03-m118-g020,03,118,20,20,33,12,00b26ba60a7a80037fb79be93360e86c3c480246f81536fcb7385db17ec26e3c
VALI-c03-m118-g035,03,118,35,35,36,8,26f0effc1fbb633092132ae28b5e5252cc67c57321ef93318de3de3621c1c624
VALI-c03-m118-g050,03,118,50,50,34,10,84a8c750d891bcf8bb2f3d0d0d6d4269ec4f24d6e8d38f6d995cb5eee3dfa177
VALI-c03-m118-g065,03,118,65,65,45,11,72d765c699b3cfd39be088ed81d90940a08de29e3f462c09eff6e2cf840bf4de
VALI-c03-m118-g080,03,118,80,80,47,10,5aad3cb81bde45c2eeecf1f02455a7f6c36cd0c11fb0677762caca6b0f367ff6
VALI-c02-m119-g020,02,119,20,20,40,21,43909a13fadac8d718b1d5309e8bf2f7bc16496baea82741832e4b4bf967ce56
