substrate,rule,donor_id,arm,donor_kind,depths,final_leaves,final_success_count,final_success_rate
eca,11,eca-11-4-4,complementary_half,switcher,"[{""depth"": 1, ""identity_rate"": 0.0, ""nodes"": 2, ""sibling_concordance"": 1.0, ""survivors"": 2}, {""depth"": 2, ""identity_rate"": 0.0, ""nodes"": 4, ""sibling_concordance"": 1.0, ""survivors"": 4}, {""depth"": 3, ""identity_rate"": 0.0, ""nodes"": 8, ""sibling_concordance"": 1.0, ""survivors"": 8}, {""depth"": 4, ""identity_rate"": 0.0, ""nodes"": 16, ""sibling_concordance"": 1.0, ""survivors"": 16}, {""depth"": 5, ""identity_rate"": 0.0, ""nodes"": 32, ""sibling_concordance"": 1.0, ""survivors"": 32}]",32,0,0.0
eca,11,eca-11-4-4,shuffled_half,switcher,"[{""depth"": 1, ""identity_rate"": 0.5, ""nodes"": 2, ""sibling_concordance"": 0.0, ""survivors"": 2}, {""depth"": 2, ""identity_rate"": 0.0, ""nodes"": 4, ""sibling_concordance"": 1.0, ""survivors"": 4}, {""depth"": 3, ""identity_rate"": 0.25, ""nodes"": 8, ""sibling_concordance"": 1.0, ""survivors"": 8}, {""depth"": 4, ""identity_rate"": 0.25, ""nodes"": 16, ""sibling_concordance"": 0.75, ""survivors"": 16}, {""depth"": 5, ""identity_rate"": 0.1875, ""nodes"": 32, ""sibling_concordance"": 0.625, ""survivors"": 32}]",32,7,0.21875
eca,11,eca-11-0-16,intact,switcher,"[{""depth"": 1, ""identity_rate"": 1.0, ""nodes"": 2, ""sibling_concordance"": 1.0, ""survivors"": 2}, {""depth"": 2, ""identity_rate"": 1.0, ""nodes"": 4, ""sibling_concordance"": 1.0, ""survivors"": 4}, {""depth"": 3, ""identity_rate"": 1.0, ""nodes"": 8, ""sibling_concordance"": 1.0, ""survivors"": 8}, {""depth"": 4, ""identity_rate"": 1.0, ""nodes"": 16, ""sibling_concordance"": 1.0, ""survivors"": 16}, {""depth"": 5, ""identity_rate"": 1.0, ""nodes"": 32, ""sibling_concordance"": 1.0, ""survivors"": 32}]",32,18,0.5625
eca,11,eca-11-0-16,complementary_half,switcher,"[{""depth"": 1, ""identity_rate"": 0.0, ""nodes"": 2, ""sibling_concordance"": 1.0, ""survivors"": 2}, {""depth"": 2, ""identity_rate"": 0.0, ""nodes"": 4, ""sibling_concordance"": 1.0, ""survivors"": 4}, {""depth"": 3, ""identity_rate"": 0.0, ""nodes"": 8, ""sibling_concordance"": 1.0, ""survivors"": 8}, {""depth"": 4, ""identity_rate"": 0.0, ""nodes"": 16, ""sibling_concordance"": 1.0, ""survivors"": 16}, {""depth"": 5, ""identity_rate"": 0.0, ""nodes"": 32, ""sibling_concordance"": 1.0, ""survivors"": 32}]",32,0,0.0
eca,11,eca-11-0-16,shuffled_half,switcher,"[{""depth"": 1, ""identity_rate"": 0.0, ""nodes"": 2, ""sibling_concordance"": 1.0, ""survivors"": 2}, {""depth"": 2, ""identity_rate"": 0.0, ""nodes"": 4, ""sibling_concordance"": 1.0, ""survivors"": 4}, {""depth"": 3, ""identity_rate"": 0.125, ""nodes"": 8, ""sibling_concordance"": 0.75, ""survivors"": 8}, {""depth"": 4, ""identity_rate"": 0.4375, ""nodes"": 16, ""sibling_concordance"": 0.625, ""survivors"": 16}, {""depth"": 5, ""identity_rate"": 0.25, ""nodes"": 32, ""sibling_concordance"": 0.625, ""survivors"": 32}]",32,7,0.21875
eca,11,eca-11-1-17,intact,switcher,"[{""depth"": 1, ""identity_rate"": 1.0, ""nodes"": 2, ""sibling_concordance"": 1.0, ""survivors"": 2}, {""depth"": 2, ""identity_rate"": 1.0, ""nodes"": 4, ""sibling_concordance"": 1.0, ""survivors"": 4}, {""depth"": 3, ""identity_rate"": 1.0, ""nodes"": 8, ""sibling_concordance"": 1.0, ""survivors"": 8}, {""depth"": 4, ""identity_rate"": 0.9375, ""nodes"": 16, ""sibling_concordance"": 0.875, ""survivors"": 16}, {""depth"": 5, ""identity_rate"": 0.96875, ""nodes"": 32, ""sibling_concordance"": 0.9375, ""survivors"": 32}]",32,20,0.625
eca,11,eca-11-1-17,complementary_half,switcher,"[{""depth"": 1, ""identity_rate"": 0.0, ""nodes"": 2, ""sibling_concordance"": 1.0, ""survivors"": 2}, {""depth"": 2, ""identity_rate"": 0.0, ""nodes"": 4, ""sibling_concordance"": 1.0, ""survivors"": 4}, {""depth"": 3, ""identity_rate"": 0.0, ""nodes"": 8, ""sibling_concordance"": 1.0, ""survivors"": 8}, {""depth"": 4, ""identity_rate"": 0.0, ""nodes"": 16, ""sibling_concordance"": 1.0, ""survivors"": 16}, {""depth"": 5, ""identity_rate"": 0.0, ""nodes"": 32, ""sibling_concordance"": 1.0, ""survivors"": 32}]",32,0,0.0
eca,11,eca-11-1-17,shuffled_half,switcher,"[{""depth"": 1, ""identity_rate"": 0.0, ""nodes"": 2, ""sibling_concordance"": 1.0, ""survivors"": 2}, {""depth"": 2, ""identity_rate"": 0.0, ""nodes"": 4, ""sibling_concordance"": 1.0, ""survivors"": 4}, {""depth"": 3, ""identity_rate"": 0.0, ""nodes"": 8, ""sibling_concordance"": 1.0, ""survivors"": 8}, {""depth"": 4, ""identity_rate"": 0.0, ""nodes"": 16, ""sibling_concordance"": 1.0, ""survivors"": 16}, {""depth"": 5, ""identity_rate"": 0.125, ""nodes"": 32, ""sibling_concordance"": 0.875, ""survivors"": 32}]",32,1,0.03125
eca,11,eca-11-2-18,intact,switcher,"[{""depth"": 1, ""identity_rate"": 1.0, ""nodes"": 2, ""sibling_concordance"": 1.0, ""survivors"": 2}, {""depth"": 2, ""identity_rate"": 1.0, ""nodes"": 4, ""sibling_concordance"": 1.0, ""survivors"": 4}, {""depth"": 3, ""identity_rate"": 1.0, ""nodes"": 8, ""sibling_concordance"": 1.0, ""survivors"": 8}, {""depth"": 4, ""identity_rate"": 1.0, ""nodes"": 16, ""sibling_concordance"": 1.0, ""survivors"": 16}, {""depth"": 5, ""identity_rate"": 1.0, ""nodes"": 32, ""sibling_concordance"": 1.0, ""survivors"": 32}]",32,15,0.46875
eca,11,eca-11-2-18,complementary_half,switcher,"[{""depth"": 1, ""identity_rate"": 0.0, ""nodes"": 2, ""sibling_concordance"": 1.0, ""survivors"": 2}, {""depth"": 2, ""identity_rate"": 0.0, ""nodes"": 4, ""sibling_concordance"": 1.0, ""survivors"": 4}, {""depth"": 3, ""identity_rate"": 0.125, ""nodes"": 8, ""sibling_concordance"": 0.75, ""survivors"": 8}, {""depth"": 4, ""identity_rate"": 0.0, ""nodes"": 16, ""sibling_concordance"": 1.0, ""survivors"": 16}, {""depth"": 5, ""identity_rate"": 0.0, ""nodes"": 32, ""sibling_concordance"": 1.0, ""survivors"": 32}]",32,0,0.0
eca,11,eca-11-2-18,shuffled_half,switcher,"[{""depth"": 1, ""identity_rate"": 0.0, ""nodes"": 2, ""sibling_concordance"": 1.0, ""survivors"": 2}, {""depth"": 2, ""identity_rate"": 0.25, ""nodes"": 4, ""sibling_concordance"": 0.5, ""survivors"": 4}, {""depth"": 3, ""identity_rate"": 0.125, ""nodes"": 8, ""sibling_concordance"": 0.75, ""survivors"": 8}, {""depth"": 4, ""identity_rate"": 0.125, ""nodes"": 16, ""sibling_concordance"": 0.75, ""survivors"": 16}, {""depth"": 5, ""identity_rate"": 0.21875, ""nodes"": 32, ""sibling_concordance"": 0.6875, ""survivors"": 32}]",32,7,0.21875
eca,11,eca-11-3-19,intact,switcher,"[{""depth"": 1, ""identity_rate"": 1.0, ""nodes"": 2, ""sibling_concordance"": 1.0, ""survivors"": 2}, {""depth"": 2, ""identity_rate"": 1.0, ""nodes"": 4, ""sibling_concordance"": 1.0, ""survivors"": 4}, {""depth"": 3, ""identity_rate"": 1.0, ""nodes"": 8, ""sibling_concordance"": 1.0, ""survivors"": 8}, {""depth"": 4, ""identity_rate"": 1.0, ""nodes"": 16, ""sibling_concordance"": 1.0, ""survivors"": 16}, {""depth"": 5, ""identity_rate"": 0.96875, ""nodes"": 32, ""sibling_concordance"": 0.9375, ""survivors"": 32}]",32,23,0.71875
eca,11,eca-11-3-19,complementary_half,switcher,"[{""depth"": 1, ""identity_rate"": 0.0, ""nodes"": 2, ""sibling_concordance"": 1.0, ""survivors"": 2}, {""depth"": 2, ""identity_rate"": 0.0, ""nodes"": 4, ""sibling_concordance"": 1.0, ""survivors"": 4}, {""depth"": 3, ""identity_rate"": 0.0, ""nodes"": 8, ""sibling_concordance"": 1.0, ""survivors"": 8}, {""depth"": 4, ""identity_rate"": 0.0, ""nodes"": 16, ""sibling_concordance"": 1.0, ""survivors"": 16}, {""depth"": 5, ""identity_rate"": 0.0, ""nodes"": 32, ""sibling_concordance"": 1.0, ""survivors"": 32}]",32,0,0.0
