state_id,candidate,matrix_id,landmark,mass,occupied_types,previous_growth_steps,cumulative_growth_steps,prediction_RENEWAL_UP,q_all_RENEWAL_UP,q_half_A_RENEWAL_UP,q_half_B_RENEWAL_UP,prediction_RENEWAL_DOWN,q_all_RENEWAL_DOWN,q_half_A_RENEWAL_DOWN,q_half_B_RENEWAL_DOWN,prediction_RANDOM,q_all_RANDOM,q_half_A_RANDOM,q_half_B_RANDOM,prediction_NOOP,q_all_NOOP,q_half_A_NOOP,q_half_B_NOOP
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m003-g050-natural-break-f33,03,3,50,28,20,36,2575,0.9972065404031258,1.0,1.0,1.0,0.9732495406148217,1.0,1.0,1.0,0.9783821286909135,1.0,1.0,1.0,0.978097627893412,1.0,1.0,1.0
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m003-g065-natural-break-f12,03,3,65,36,25,57,2431,0.9804096748383994,1.0,1.0,1.0,0.9236534824835347,0.953125,0.9375,0.96875,0.9510160103839357,1.0,1.0,1.0,0.9510465579295609,0.96875,0.9375,1.0
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m004-g020-natural-break-f06,02,4,20,40,22,73,1463,0.9809941929759374,0.953125,0.9375,0.96875,0.8494704758303262,0.953125,0.9375,0.96875,0.8792702481157114,0.953125,0.96875,0.9375,0.8805907350335479,0.953125,0.96875,0.9375
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m004-g035-natural-break-f06,02,4,35,40,28,76,2173,0.998350143665781,0.96875,0.9375,1.0,0.8951645643218207,0.796875,0.75,0.84375,0.9515716814802143,0.875,0.90625,0.84375,0.9505404594585384,0.84375,0.8125,0.875
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m004-g050-natural-break-f02,02,4,50,40,22,48,2817,0.9996980562365614,0.96875,0.96875,0.96875,0.9501109968198438,0.90625,0.90625,0.90625,0.9628948350213238,0.859375,0.84375,0.875,0.9623110184662735,0.859375,0.78125,0.9375
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m004-g065-natural-break-f10,02,4,65,40,26,64,4112,0.9993169776761008,0.984375,0.96875,1.0,0.9570470980919924,0.859375,0.78125,0.9375,0.9652843444458264,0.828125,0.78125,0.875,0.967958822471522,0.84375,0.9375,0.75
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m004-g080-natural-break-f05,02,4,80,40,21,68,4354,0.9999663056671705,0.984375,0.96875,1.0,0.9794065674485303,0.828125,0.875,0.78125,0.984621307420167,0.859375,0.84375,0.875,0.9862526588875462,0.890625,0.875,0.90625
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m004-g020-natural-break-f04,03,4,20,36,20,64,974,0.9884410253981848,0.96875,1.0,0.9375,0.9379706768153271,0.890625,0.90625,0.875,0.9511999286978424,0.96875,0.9375,1.0,0.9501142996419293,0.921875,0.9375,0.90625
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m004-g035-natural-break-f08,03,4,35,37,27,67,1867,0.999419312539783,0.9375,0.96875,0.90625,0.9528576429564579,0.90625,0.9375,0.875,0.9594833481017444,0.875,0.9375,0.8125,0.9595368103001995,0.859375,0.875,0.84375
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m004-g050-natural-break-f07,03,4,50,38,21,45,2596,0.9992472513449701,0.9375,0.9375,0.9375,0.9631008682638328,0.875,0.9375,0.8125,0.971642620214834,0.890625,0.875,0.90625,0.9697965202908422,0.90625,0.96875,0.84375
