source_state_id,broken_state_id,candidate,matrix_id,landmark,eligible,reason,observed_fissions,break_time,break_h,broken_state_digest,old_anchor_digest
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m032-g065,INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m032-g065-natural-break-f05,03,32,65,True,natural_break_observed,5,5,0.8992339549961219,9bbae619ec2f9877e5d75e1b6609c8111ca22b9ad5f6abe9d8e1ba7037d373d3,b19fc5066c74a5102f32627253ad99de359949e367f071a6f01572f146d59494
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m032-g080,INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m032-g080-natural-break-f16,03,32,80,True,natural_break_observed,16,16,0.8453639444116163,9c0ad9c1fd101ceeeb983c628d51de47604caa5df7518f0ad08a746aa5203ac8,ae304db5bc37ff7c361b8b815da781b5483886991abc838176ee6a46413609a3
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m033-g020,INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m033-g020-natural-break-f35,02,33,20,True,natural_break_observed,35,35,0.8982270520100086,b24729e75c138219801d52105ee7e7bd4dd3cfb73353b556bc29c32cac6208a9,eb6e1d021b6704c338dbce1ae56e2b62884a8a6bfbd8e2781d905677e5b31d13
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m033-g035,INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m033-g035-natural-break-f06,02,33,35,True,natural_break_observed,6,6,0.8924777686556707,5501884b14fb53c92e170ac30f897112b5e13f75d6ae21bb36886d26e7172945,a5fcdc9b397abeeba9003a1d1fdcfcdd65d08df9e9337dda3cacb0694d8ed0c6
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m033-g050,INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m033-g050-natural-break-f01,02,33,50,True,natural_break_observed,1,1,0.8938959977561878,c7bd808db3892a77305fb99480ec42202a53fe56afbd64a4c03519975ee93ff8,f10c680c965c8b57d21e0c870221d5ea278fac49e90efcf472f35d2327294745
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m033-g065,INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m033-g065-natural-break-f27,02,33,65,True,natural_break_observed,27,27,0.8993444669022551,227073c630f2054faf0e33b9ed94b2640500cad73c6569884c72649a488b0f7b,6f0525231a8555a30308b9557130e569611d7a0199c303a32da308be7d3f8529
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m033-g080,INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m033-g080-natural-break-f07,02,33,80,True,natural_break_observed,7,7,0.8885079441299367,b80a07979e9a4cf3467ecf1f7fa4f073e8059ca1a0dce03d13fa89bc6ae7a660,175f99a56c09c272401dd8e2974e52b8f0a97c9dd5e60356b487615b6ff547fc
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m033-g020,INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m033-g020-natural-break-f22,03,33,20,True,natural_break_observed,22,22,0.8439319257704886,3e6f965b8e64ec3902d10296ccbf74b15e7dec0fd5d52ef1e36b27886f160221,9586954aae00ac228091b180569b7d90faf20e42f796cfc6e6b475561294c7a3
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m033-g035,,03,33,35,False,no_natural_break_within_registered_limit,60,-1,,,
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m033-g050,INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m033-g050-natural-break-f08,03,33,50,True,natural_break_observed,8,8,0.8793469632032208,519acaceb81d9d45222fc33955f1cfbeebedf1d82eff2494610a7261a3c063c4,d7f48a3e60b4c49b406ed8f8114b67b05c4b49d4392a79a84df2eb27001efa9d
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m033-g065,INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m033-g065-natural-break-f15,03,33,65,True,natural_break_observed,15,15,0.8959353140606878,a2eb42ca640473fed548734822aae4dd2424c0fb0eb1596b3c254547546c8e0e,0fe775e0582f8eb382f8c366ebb5a75d44a43cfbc678e26abeed20adcb542ae2
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m033-g080,INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m033-g080-natural-break-f06,03,33,80,True,natural_break_observed,6,6,0.8853621427241484,231c9174de59ca9c9ec8cb8194894f9558b5bde00ff61b530833e94c6a3cb4f9,fb5b48de5cb3ded293c7eedab0a45873fdfcde9bec615625298799bac8c774e5
