candidate,matrix_id,arm,original_capture_f16,original_capture_f32,original_arrival_f8,original_reentered,original_coherent8,designated_capture_f16,designated_capture_f32,designated_arrival_f8,designated_reentered,launch_capture_f16,launch_capture_f32,medoid_capture_f16,medoid_capture_f32,first_break_by_f8,designated_capture_f32_cosine_0.85,designated_capture_f32_bray_0.85,designated_capture_f32_cosine_0.90,designated_capture_f32_bray_0.90,designated_capture_f32_cosine_0.95,designated_capture_f32_bray_0.95,original_occupancy,original_maximum_residence,designated_occupancy,designated_maximum_residence,original_completed
03,28,state_only,0.005208333333333333,0.013020833333333334,0.2708333333333333,0.013020833333333334,0.015625,0.005208333333333333,0.013020833333333334,0.2708333333333333,0.013020833333333334,0.0,0.0,0.005208333333333333,0.015625,0.7421875,0.052083333333333336,0.005208333333333333,0.013020833333333334,0.0,0.0,0.0,0.1328125,2.6171875,0.1328125,2.6171875,1.0
03,32,joint,0.0,0.0,0.0,0.0,0.013020833333333334,0.0026041666666666665,0.0078125,0.8984375,0.0078125,0.0026041666666666665,0.0078125,0.0026041666666666665,0.010416666666666666,0.14322916666666666,0.11979166666666667,0.203125,0.0078125,0.033854166666666664,0.0,0.0026041666666666665,0.0,0.0,0.2740885416666667,4.033854166666667,1.0
03,32,native,0.0026041666666666665,0.0026041666666666665,0.8671875,0.0,0.0078125,0.0026041666666666665,0.0026041666666666665,0.8671875,0.0,0.0026041666666666665,0.0026041666666666665,0.0026041666666666665,0.0078125,0.1796875,0.10416666666666667,0.19270833333333334,0.0026041666666666665,0.041666666666666664,0.0,0.0,0.2679036458333333,3.8229166666666665,0.2679036458333333,3.8229166666666665,1.0
03,32,rule_only,0.0,0.0,0.010416666666666666,0.0,0.0026041666666666665,0.0,0.0026041666666666665,0.23958333333333334,0.0026041666666666665,0.0,0.0,0.0,0.0026041666666666665,0.23177083333333334,0.07552083333333333,0.125,0.0026041666666666665,0.020833333333333332,0.0,0.0,0.0003255208333333333,0.010416666666666666,0.177490234375,3.1302083333333335,1.0
03,32,state_only,0.0,0.0026041666666666665,0.4348958333333333,0.0026041666666666665,0.010416666666666666,0.0,0.0026041666666666665,0.4348958333333333,0.0026041666666666665,0.0,0.0,0.0,0.005208333333333333,0.3671875,0.08072916666666667,0.13541666666666666,0.0026041666666666665,0.018229166666666668,0.0,0.0,0.19832356770833334,3.4947916666666665,0.19832356770833334,3.4947916666666665,1.0
03,38,joint,0.0,0.0,0.0,0.0,0.0859375,0.028645833333333332,0.0859375,0.765625,0.078125,0.028645833333333332,0.0859375,0.028645833333333332,0.08333333333333333,0.5364583333333334,0.125,0.044270833333333336,0.0859375,0.020833333333333332,0.041666666666666664,0.0078125,0.0,0.0,0.240966796875,4.255208333333333,1.0
03,38,native,0.0390625,0.0703125,0.7942708333333334,0.059895833333333336,0.078125,0.0390625,0.0703125,0.7942708333333334,0.059895833333333336,0.0390625,0.0703125,0.041666666666666664,0.07552083333333333,0.484375,0.11979166666666667,0.028645833333333332,0.0703125,0.018229166666666668,0.026041666666666668,0.013020833333333334,0.23819986979166666,4.088541666666667,0.23819986979166666,4.088541666666667,1.0
03,38,rule_only,0.0,0.0,0.22135416666666666,0.0,0.09635416666666667,0.0234375,0.0859375,0.6171875,0.0859375,0.0,0.0,0.0234375,0.09114583333333333,0.4010416666666667,0.13541666666666666,0.041666666666666664,0.0859375,0.018229166666666668,0.020833333333333332,0.005208333333333333,0.006917317708333333,0.22135416666666666,0.223388671875,4.09375,1.0
03,38,state_only,0.0234375,0.059895833333333336,0.546875,0.059895833333333336,0.06770833333333333,0.0234375,0.059895833333333336,0.546875,0.059895833333333336,0.0,0.0,0.026041666666666668,0.06510416666666667,0.5208333333333334,0.109375,0.0234375,0.059895833333333336,0.0078125,0.015625,0.005208333333333333,0.21183268229166666,3.9869791666666665,0.21183268229166666,3.9869791666666665,1.0
03,43,joint,0.0,0.0,0.0,0.0,0.0234375,0.010416666666666666,0.018229166666666668,0.7838541666666666,0.010416666666666666,0.010416666666666666,0.018229166666666668,0.0078125,0.013020833333333334,0.5911458333333334,0.049479166666666664,0.005208333333333333,0.018229166666666668,0.0,0.0,0.0,0.0,0.0,0.158935546875,2.9270833333333335,1.0
03,43,native,0.0026041666666666665,0.005208333333333333,0.8020833333333334,0.005208333333333333,0.005208333333333333,0.0026041666666666665,0.005208333333333333,0.8020833333333334,0.005208333333333333,0.0026041666666666665,0.005208333333333333,0.0026041666666666665,0.005208333333333333,0.6510416666666666,0.028645833333333332,0.0,0.005208333333333333,0.0,0.0,0.0,0.15022786458333334,2.7447916666666665,0.15022786458333334,2.7447916666666665,1.0
03,43,rule_only,0.0,0.0,0.1328125,0.0,0.005208333333333333,0.0,0.0,0.24739583333333334,0.0,0.0,0.0,0.0,0.0,0.7708333333333334,0.020833333333333332,0.0026041666666666665,0.0,0.0,0.0,0.0,0.004150390625,0.1328125,0.092041015625,2.0390625,1.0
