candidate,matrix_id,origin,row_index,replicate,completed_horizon,observed_fissions,final_six_inherited_fraction,first_departure_time,ever_departed,final_similarity_to_anchor,final_similarity_to_matched_noop,final_risk,final_entropy,final_occupied_types,final_top1_share,final_throughput,interventions_applied
02,30,RULE_DOWN,1088.5,2.5,1.0,60.0,1.0,9.666666666666666,0.5,0.8025490991749847,0.9483540201774607,0.002296420748707395,1.1028717078900658,8.5,0.7208333333333333,5843.932565455102,0.0
02,31,MODEL_DOWN,1123.5,2.5,1.0,60.0,0.8333333333333334,7.166666666666667,1.0,0.1399698381452792,0.5236862158853787,0.5296325265844106,2.7273960227206744,21.333333333333332,0.2125,134.74362101743102,0.0
02,31,NOOP,1125.5,2.5,1.0,60.0,0.8333333333333334,2.3333333333333335,1.0,0.3192102739768074,1.0,0.5099349139775046,2.471383976591151,17.5,0.25416666666666665,159.98225223224009,0.0
02,31,RULE_DOWN,1124.5,2.5,1.0,60.0,0.9444444444444445,4.0,1.0,0.43005756171236875,0.44729269618219925,0.5240949930684554,2.4566945131921734,18.0,0.26666666666666666,57.16757014319362,0.0
02,32,MODEL_DOWN,1159.5,2.5,1.0,60.0,1.0,18.5,1.0,0.668916646828604,0.7444304444097819,0.2504509207589633,2.1171752266075874,15.666666666666666,0.40416666666666673,1124.3360778053393,0.0
02,32,NOOP,1161.5,2.5,1.0,60.0,0.9722222222222223,9.5,1.0,0.7629033308089332,1.0,0.3257325521062515,2.1539232570260918,16.166666666666668,0.3958333333333333,324.7510595504546,0.0
02,32,RULE_DOWN,1160.5,2.5,1.0,60.0,1.0,15.166666666666666,1.0,0.5243475082326706,0.699660959183721,0.11627592081763531,2.2400719679997363,15.333333333333334,0.30833333333333335,561.9338877125041,0.0
02,33,MODEL_DOWN,1195.5,2.5,1.0,60.0,1.0,7.333333333333333,1.0,0.5615221075675054,0.5749000875308371,0.2357665649630826,2.2062441467325766,15.166666666666666,0.32083333333333336,642.4085187969798,0.0
02,33,NOOP,1197.5,2.5,1.0,60.0,1.0,3.1666666666666665,1.0,0.5601733316397938,1.0,0.30582586962592595,2.4970490762741977,18.0,0.25833333333333336,271.2962260052094,0.0
02,33,RULE_DOWN,1196.5,2.5,1.0,60.0,0.9444444444444443,3.8333333333333335,1.0,0.7012653888590457,0.4606942034002081,0.2548484196148553,2.174182106493507,14.666666666666666,0.35000000000000003,684.0976574507739,0.0
02,34,MODEL_DOWN,1231.5,2.5,1.0,60.0,0.8055555555555555,5.5,1.0,0.4394536517281835,0.43030327178198696,0.5529960245874236,2.6332888701506953,21.333333333333332,0.2625,481.39848208622243,0.0
02,34,NOOP,1233.5,2.5,1.0,60.0,0.75,2.5,1.0,0.3288672005522627,1.0,0.6251989977853694,2.6956594057729752,21.5,0.22916666666666666,54.31827496017953,0.0
02,34,RULE_DOWN,1232.5,2.5,1.0,60.0,0.7222222222222222,5.0,1.0,0.5238558907716993,0.3709823972905264,0.44887939610176436,2.4985150885394116,18.833333333333332,0.28750000000000003,816.5902415367465,0.0
02,35,MODEL_DOWN,1267.5,2.5,1.0,60.0,0.9444444444444445,6.0,1.0,0.5523640602049996,0.4476354312067173,0.449924774413216,2.627542646528578,19.5,0.22083333333333333,163.20352821615555,0.0
02,35,NOOP,1269.5,2.5,1.0,60.0,0.8333333333333334,5.333333333333333,1.0,0.4056541171320014,1.0,0.43699926165414626,2.541082749401195,18.833333333333332,0.25,230.58333531626002,0.0
02,35,RULE_DOWN,1268.5,2.5,1.0,60.0,0.8888888888888888,4.833333333333333,1.0,0.5250497943759478,0.5157466813400337,0.3843973754138681,2.5303607964227033,17.5,0.225,163.7774647704519,0.0
02,36,MODEL_DOWN,1303.5,2.5,1.0,60.0,0.6666666666666666,7.0,1.0,0.47413615675490167,0.46213208051527704,0.5526453770344132,2.8229849737285186,23.166666666666668,0.2041666666666667,616.11104460869,0.0
02,36,NOOP,1305.5,2.5,1.0,60.0,0.6388888888888888,2.1666666666666665,1.0,0.47610467748329094,1.0,0.5071376238512241,2.441646216616316,20.0,0.3416666666666666,664.7247120287839,0.0
02,36,RULE_DOWN,1304.5,2.5,1.0,60.0,0.75,7.166666666666667,1.0,0.6415012958338818,0.41843474053034346,0.3917427531831034,2.5480003241698914,20.166666666666668,0.2875,1590.3342342286849,0.0
02,37,MODEL_DOWN,1339.5,2.5,1.0,60.0,0.8055555555555555,3.3333333333333335,1.0,0.34625339377372694,0.408835390897935,0.6305634994936804,2.8855274030974054,22.666666666666668,0.16666666666666666,107.09553477940278,0.0
02,37,NOOP,1341.5,2.5,1.0,60.0,0.6388888888888888,2.0,1.0,0.35790889602476667,1.0,0.6880634632653181,2.941568415185087,24.166666666666668,0.15833333333333333,103.97031448957694,0.0
02,37,RULE_DOWN,1340.5,2.5,1.0,60.0,0.6944444444444445,2.6666666666666665,1.0,0.2521514624885275,0.5267690452773661,0.6782944718145445,2.8223225910212926,22.0,0.18333333333333335,71.20660322994146,0.0
02,38,MODEL_DOWN,1375.5,2.5,1.0,60.0,0.8055555555555555,3.3333333333333335,1.0,0.4535938053042286,0.36941417086252376,0.6590665046919569,2.924210494821583,23.5,0.1625,56.51601993313863,0.0
02,38,NOOP,1377.5,2.5,1.0,60.0,0.7222222222222222,3.6666666666666665,1.0,0.48681598166754075,1.0,0.704007785350755,2.853847844440839,21.5,0.14583333333333334,103.36912718008512,0.0
