candidate,matrix_id,origin,arm,row_index,replicate,registered_dose,branch,completed_horizon,observed_fissions,held,returned,held_or_returned,mode_recovered,lost,departed,first_departure_time,return_certification_time,inherited_final_six,final_top1_share,final_similarity,minimum_similarity
02,19,RULE_DOWN,NONE,132975.5,2.5,0.0,15.5,1.0,24.0,0.9947916666666666,0.0,0.9947916666666666,0.0,0.005208333333333333,0.005208333333333333,-0.890625,-1.0,6.0,0.4623697916666667,0.9418330704958727,0.8653456966102437
02,19,RULE_DOWN,RANDOM_K16,133103.5,2.5,16.0,15.5,1.0,24.0,0.9427083333333334,0.057291666666666664,1.0,0.0,0.0,0.057291666666666664,-0.734375,-0.3229166666666667,6.0,0.466015625,0.9467322055711023,0.835298615247233
02,19,RULE_DOWN,RANDOM_K2,133007.5,2.5,2.0,15.5,1.0,24.0,0.984375,0.015625,1.0,0.0,0.0,0.015625,-0.796875,-0.7447916666666666,6.0,0.4669270833333334,0.9404555336299683,0.8601957875061728
02,19,RULE_DOWN,RANDOM_K4,133039.5,2.5,4.0,15.5,1.0,24.0,0.96875,0.020833333333333332,0.9895833333333334,0.0,0.010416666666666666,0.03125,-0.3958333333333333,-0.5572916666666666,6.0,0.4510416666666666,0.9410285908773961,0.8600965290222184
02,19,RULE_DOWN,RANDOM_K8,133071.5,2.5,8.0,15.5,1.0,24.0,0.9791666666666666,0.015625,0.9947916666666666,0.0,0.005208333333333333,0.020833333333333332,-0.78125,-0.7916666666666666,6.0,0.471484375,0.9485719886141922,0.8561661912003147
02,20,MODEL_DOWN,ADVERSARIAL,139855.5,2.5,1.0,15.5,1.0,24.0,0.0,0.07291666666666667,0.07291666666666667,0.11458333333333333,0.8125,1.0,4.880208333333333,0.057291666666666664,5.786458333333333,0.30078125,0.5252095504316573,0.221097350757944
02,20,MODEL_DOWN,NONE,139695.5,2.5,0.0,15.5,1.0,24.0,0.0,0.08854166666666667,0.08854166666666667,0.140625,0.7708333333333334,1.0,5.036458333333333,0.5885416666666666,5.765625,0.3046875,0.5123798992310196,0.22864381492340868
02,20,MODEL_DOWN,RANDOM_K16,139823.5,2.5,16.0,15.5,1.0,24.0,0.0,0.057291666666666664,0.057291666666666664,0.125,0.8177083333333334,1.0,2.0416666666666665,0.0,5.776041666666667,0.3006510416666667,0.5041580962133364,0.1920297907456692
02,20,MODEL_DOWN,RANDOM_K2,139727.5,2.5,2.0,15.5,1.0,24.0,0.0,0.046875,0.046875,0.06770833333333333,0.8854166666666666,1.0,5.151041666666667,-0.21875,5.770833333333333,0.283203125,0.5235163270980837,0.24502743411410255
02,20,MODEL_DOWN,RANDOM_K4,139759.5,2.5,4.0,15.5,1.0,24.0,0.010416666666666666,0.08333333333333333,0.09375,0.09375,0.8125,0.9895833333333334,4.692708333333333,0.4739583333333333,5.807291666666667,0.29583333333333334,0.5613993580333468,0.25079917499518295
02,20,MODEL_DOWN,RANDOM_K8,139791.5,2.5,8.0,15.5,1.0,24.0,0.005208333333333333,0.07291666666666667,0.078125,0.125,0.796875,0.9947916666666666,4.052083333333333,0.546875,5.765625,0.31015624999999997,0.5438029612794548,0.25061966624203164
02,20,NOOP,ADVERSARIAL,140239.5,2.5,1.0,15.5,1.0,24.0,0.0,0.03125,0.03125,0.140625,0.828125,1.0,3.0677083333333335,-0.4791666666666667,5.770833333333333,0.301953125,0.41323816765750804,0.18578909604412552
02,20,NOOP,NONE,140079.5,2.5,0.0,15.5,1.0,24.0,0.0,0.015625,0.015625,0.10416666666666667,0.8802083333333334,1.0,3.3229166666666665,-0.734375,5.822916666666667,0.3033854166666667,0.44459055518632845,0.180690253019672
02,20,NOOP,RANDOM_K16,140207.5,2.5,16.0,15.5,1.0,24.0,0.0,0.015625,0.015625,0.15104166666666666,0.8333333333333334,1.0,1.453125,-0.7916666666666666,5.848958333333333,0.30950520833333334,0.4520761039332814,0.1742811023656673
02,20,NOOP,RANDOM_K2,140111.5,2.5,2.0,15.5,1.0,24.0,0.0,0.015625,0.015625,0.13020833333333334,0.8541666666666666,1.0,3.015625,-0.7239583333333334,5.822916666666667,0.3079427083333333,0.40538522092098983,0.1938921264001613
02,20,NOOP,RANDOM_K4,140143.5,2.5,4.0,15.5,1.0,24.0,0.0,0.03125,0.03125,0.15104166666666666,0.8177083333333334,1.0,2.890625,-0.4583333333333333,5.791666666666667,0.30507812500000003,0.40494846807971846,0.1867713926262213
02,20,NOOP,RANDOM_K8,140175.5,2.5,8.0,15.5,1.0,24.0,0.0,0.026041666666666668,0.026041666666666668,0.11458333333333333,0.859375,1.0,2.2395833333333335,-0.5572916666666666,5.770833333333333,0.29648437499999997,0.4174657263181017,0.18421381812907467
02,20,RULE_DOWN,ADVERSARIAL,140047.5,2.5,1.0,15.5,1.0,24.0,0.0,0.036458333333333336,0.036458333333333336,0.140625,0.8229166666666666,1.0,3.53125,-0.421875,5.755208333333333,0.3072916666666667,0.5331007879898703,0.2300954435877172
02,20,RULE_DOWN,NONE,139887.5,2.5,0.0,15.5,1.0,24.0,0.005208333333333333,0.026041666666666668,0.03125,0.125,0.84375,0.9947916666666666,4.546875,-0.53125,5.8125,0.30572916666666666,0.516862145479556,0.24640307933888786
02,20,RULE_DOWN,RANDOM_K16,140015.5,2.5,16.0,15.5,1.0,24.0,0.005208333333333333,0.026041666666666668,0.03125,0.11458333333333333,0.8541666666666666,0.9947916666666666,3.0677083333333335,-0.5364583333333334,5.796875,0.3059895833333333,0.5467173547516969,0.23111532565607196
02,20,RULE_DOWN,RANDOM_K2,139919.5,2.5,2.0,15.5,1.0,24.0,0.005208333333333333,0.057291666666666664,0.0625,0.11979166666666667,0.8177083333333334,0.9947916666666666,3.9479166666666665,-0.06770833333333333,5.817708333333333,0.30429687499999997,0.5042714521988337,0.23166972588477067
02,20,RULE_DOWN,RANDOM_K4,139951.5,2.5,4.0,15.5,1.0,24.0,0.0,0.052083333333333336,0.052083333333333336,0.09375,0.8541666666666666,1.0,4.151041666666667,-0.13541666666666666,5.8125,0.3,0.5062617952444044,0.23485586673353806
02,20,RULE_DOWN,RANDOM_K8,139983.5,2.5,8.0,15.5,1.0,24.0,0.0,0.057291666666666664,0.057291666666666664,0.11979166666666667,0.8229166666666666,1.0,4.244791666666667,-0.078125,5.786458333333333,0.3001302083333333,0.5179307570139041,0.21063609157266994
02,21,MODEL_DOWN,ADVERSARIAL,146767.5,2.5,1.0,15.5,1.0,24.0,0.0,0.359375,0.359375,0.234375,0.40625,1.0,4.640625,4.473958333333333,5.15625,0.39739583333333334,0.665488356761614,0.23842559388099904
02,21,MODEL_DOWN,NONE,146607.5,2.5,0.0,15.5,1.0,24.0,0.010416666666666666,0.3177083333333333,0.328125,0.22395833333333334,0.4479166666666667,0.9895833333333334,4.869791666666667,3.96875,5.28125,0.39218749999999997,0.6574735249737592,0.24037908489944995
02,21,MODEL_DOWN,RANDOM_K16,146735.5,2.5,16.0,15.5,1.0,24.0,0.005208333333333333,0.3229166666666667,0.328125,0.203125,0.46875,0.9947916666666666,4.390625,3.8958333333333335,5.348958333333333,0.3705729166666667,0.6471900726480984,0.25055063609029893
02,21,MODEL_DOWN,RANDOM_K2,146639.5,2.5,2.0,15.5,1.0,24.0,0.005208333333333333,0.3645833333333333,0.3697916666666667,0.19270833333333334,0.4375,0.9947916666666666,4.859375,5.0,5.223958333333333,0.40703125,0.668174421122905,0.2504526516906968
02,21,MODEL_DOWN,RANDOM_K4,146671.5,2.5,4.0,15.5,1.0,24.0,0.005208333333333333,0.3645833333333333,0.3697916666666667,0.20833333333333334,0.421875,0.9947916666666666,4.661458333333333,4.942708333333333,5.348958333333333,0.39361979166666666,0.6498014359395874,0.2384137007745699
02,21,MODEL_DOWN,RANDOM_K8,146703.5,2.5,8.0,15.5,1.0,24.0,0.005208333333333333,0.328125,0.3333333333333333,0.20833333333333334,0.4583333333333333,0.9947916666666666,5.026041666666667,4.010416666666667,5.296875,0.38632812499999997,0.662808858473536,0.25453256248337575
02,21,NOOP,ADVERSARIAL,147151.5,2.5,1.0,15.5,1.0,24.0,0.015625,0.14583333333333334,0.16145833333333334,0.265625,0.5729166666666666,0.984375,2.9322916666666665,1.0416666666666667,5.328125,0.373046875,0.5280486353657614,0.2406077838752202
02,21,NOOP,NONE,146991.5,2.5,0.0,15.5,1.0,24.0,0.010416666666666666,0.125,0.13541666666666666,0.2916666666666667,0.5729166666666666,0.9895833333333334,2.75,0.9739583333333334,5.34375,0.3828125,0.5216944745876303,0.22794995921652064
02,21,NOOP,RANDOM_K16,147119.5,2.5,16.0,15.5,1.0,24.0,0.0,0.13541666666666666,0.13541666666666666,0.3020833333333333,0.5625,1.0,3.1770833333333335,1.0104166666666667,5.291666666666667,0.38437499999999997,0.5098293649656909,0.22742551698438898
02,21,NOOP,RANDOM_K2,147023.5,2.5,2.0,15.5,1.0,24.0,0.0,0.15104166666666666,0.15104166666666666,0.2760416666666667,0.5729166666666666,1.0,3.015625,1.234375,5.223958333333333,0.3764322916666667,0.5195461647966463,0.22461714818091338
02,21,NOOP,RANDOM_K4,147055.5,2.5,4.0,15.5,1.0,24.0,0.0,0.15625,0.15625,0.2760416666666667,0.5677083333333334,1.0,2.6770833333333335,1.2291666666666667,5.359375,0.3953125,0.5436121668504768,0.21673103026564436
02,21,NOOP,RANDOM_K8,147087.5,2.5,8.0,15.5,1.0,24.0,0.0,0.140625,0.140625,0.2760416666666667,0.5833333333333334,1.0,3.1302083333333335,0.8958333333333334,5.166666666666667,0.376171875,0.5122695374982525,0.2206843720108218
02,21,RULE_DOWN,ADVERSARIAL,146959.5,2.5,1.0,15.5,1.0,24.0,0.0,0.125,0.125,0.2864583333333333,0.5885416666666666,1.0,2.7708333333333335,0.6145833333333334,5.177083333333333,0.36940104166666665,0.4392828115942047,0.17391471453050858
02,21,RULE_DOWN,NONE,146799.5,2.5,0.0,15.5,1.0,24.0,0.005208333333333333,0.125,0.13020833333333334,0.28125,0.5885416666666666,0.9947916666666666,2.8645833333333335,0.7864583333333334,5.1875,0.3640625,0.4253144499847587,0.16009233376958545
02,21,RULE_DOWN,RANDOM_K16,146927.5,2.5,16.0,15.5,1.0,24.0,0.005208333333333333,0.13541666666666666,0.140625,0.265625,0.59375,0.9947916666666666,2.703125,0.9322916666666666,5.192708333333333,0.38255208333333335,0.4369699115153373,0.17373670918836637
02,21,RULE_DOWN,RANDOM_K2,146831.5,2.5,2.0,15.5,1.0,24.0,0.0,0.125,0.125,0.3072916666666667,0.5677083333333334,1.0,3.1510416666666665,1.0572916666666667,5.307291666666667,0.3795572916666667,0.42155180222154126,0.1716900067726993
02,21,RULE_DOWN,RANDOM_K4,146863.5,2.5,4.0,15.5,1.0,24.0,0.0,0.14583333333333334,0.14583333333333334,0.265625,0.5885416666666666,1.0,2.96875,0.9270833333333334,5.244791666666667,0.3731770833333334,0.45065056400646836,0.16323255472404893
