candidate,branch_half,matrix_id,strength_tighten_minus_loosen,topology_minus_noop
02,A,121,0.0,0.0
02,A,122,0.0,-0.0625
02,A,125,0.0,0.0
02,A,126,0.1,-0.0625
02,A,128,0.015625,-0.171875
02,A,129,0.041666666666666664,-0.041666666666666664
02,A,130,0.125,-0.1875
02,A,131,-0.03125,0.0
02,A,132,0.0,0.0
02,A,133,-0.015625,-0.015625
02,A,136,0.03125,0.0
02,A,138,0.0,-0.0625
02,A,139,0.1375,-0.125
02,A,141,0.025,-0.075
02,A,142,0.21875,-0.09375
02,A,145,-0.0625,0.125
02,A,148,0.0,0.0
02,A,149,0.015625,0.109375
02,A,150,0.0,0.0
02,A,151,0.075,-0.0875
02,A,152,0.0,0.0
02,A,153,0.0125,-0.05
02,A,154,-0.0625,-0.0625
02,A,155,0.0,-0.020833333333333332
02,A,157,0.078125,-0.0625
02,A,158,0.041666666666666664,0.08333333333333333
02,A,159,0.125,-0.14583333333333334
02,B,0,0.0,0.0
02,B,1,0.0,0.0625
02,B,2,0.0625,0.0625
02,B,3,0.08333333333333333,-0.08333333333333333
02,B,4,0.020833333333333332,0.0
02,B,5,0.0875,-0.0125
02,B,6,0.046875,-0.0625
02,B,8,0.0,-0.015625
02,B,10,0.03125,-0.03125
02,B,11,0.03125,-0.0625
02,B,12,0.03125,-0.09375
02,B,13,0.0625,-0.125
02,B,18,0.0875,0.0
02,B,19,0.075,-0.0375
02,B,20,0.0375,-0.0875
02,B,21,0.025,-0.1
02,B,22,0.03125,0.03125
02,B,23,0.0,0.0
02,B,24,0.046875,-0.03125
02,B,25,-0.125,0.0
02,B,26,0.2,0.0375
02,B,27,0.275,-0.1625
02,B,28,0.09375,-0.015625
02,B,29,-0.020833333333333332,-0.0625
02,B,30,0.03125,0.0
02,B,32,0.0,0.0
02,B,33,0.0375,0.0
02,B,34,0.0625,-0.0625
02,B,36,0.3625,0.1625
02,B,37,0.03125,-0.0625
02,B,39,0.125,-0.0625
02,B,41,-0.03125,0.046875
02,B,42,0.020833333333333332,-0.0625
02,B,43,0.05,-0.0875
02,B,44,0.03125,-0.125
02,B,45,0.046875,-0.125
02,B,47,0.3125,-0.125
02,B,50,0.2,-0.125
02,B,51,0.046875,-0.015625
02,B,52,0.020833333333333332,0.020833333333333332
02,B,53,0.075,-0.125
02,B,54,0.0625,0.0
02,B,55,0.03125,0.0
02,B,56,0.03125,0.03125
02,B,57,0.0625,-0.03125
02,B,58,-0.015625,0.0
02,B,59,0.15625,-0.015625
02,B,61,0.0,-0.020833333333333332
02,B,62,0.0125,-0.05
02,B,63,0.0,-0.03125
02,B,64,0.03125,0.0
02,B,65,0.046875,-0.046875
02,B,66,-0.015625,0.0
02,B,67,0.0,0.09375
02,B,68,0.0,0.0
02,B,69,0.0,-0.020833333333333332
02,B,70,0.15625,-0.1875
02,B,71,0.025,0.0125
02,B,72,0.0625,-0.03125
02,B,73,0.1,-0.05
02,B,74,0.0,0.0
02,B,75,0.0,0.0
02,B,76,-0.125,0.03125
02,B,77,0.1875,-0.03125
02,B,78,0.0625,-0.0625
02,B,79,-0.0625,-0.0625
02,B,80,0.0,0.0
02,B,82,-0.0625,-0.125
02,B,83,0.0,-0.0625
02,B,85,0.020833333333333332,0.041666666666666664
02,B,86,0.0,0.020833333333333332
02,B,87,0.125,-0.125
02,B,89,0.020833333333333332,-0.10416666666666667
02,B,90,0.0625,0.0
02,B,92,0.0625,-0.015625
02,B,95,0.05,0.0
02,B,96,0.171875,-0.125
02,B,97,0.0,0.0
02,B,98,-0.0625,-0.046875
02,B,99,0.2375,-0.0375
02,B,100,0.171875,0.0
02,B,102,-0.015625,-0.046875
02,B,104,0.0,0.0
02,B,105,-0.046875,-0.078125
02,B,106,0.075,-0.0875
02,B,107,0.2875,-0.1125
02,B,108,0.0,0.0
02,B,109,0.03125,0.046875
02,B,110,-0.03125,-0.125
02,B,112,0.0,-0.03125
02,B,113,0.125,-0.0875
02,B,114,-0.08333333333333333,-0.020833333333333332
02,B,115,0.10416666666666667,0.0
02,B,116,0.0625,0.0
02,B,118,0.03125,-0.09375
02,B,119,0.020833333333333332,-0.10416666666666667
02,B,120,0.1625,-0.0625
02,B,121,0.0,0.0
02,B,122,0.09375,0.0
02,B,125,0.0,-0.0625
02,B,126,0.0375,-0.0375
02,B,128,0.109375,-0.109375
02,B,129,0.0,0.0
02,B,130,0.125,0.125
02,B,131,-0.03125,-0.03125
02,B,132,0.0625,0.0
02,B,133,0.0625,0.0
02,B,136,0.078125,-0.171875
02,B,138,0.03125,0.0
02,B,139,0.0875,-0.075
02,B,141,0.0625,-0.075
02,B,142,0.0625,-0.15625
02,B,145,0.0,0.0625
02,B,148,0.0,0.0
02,B,149,0.0625,0.0
02,B,150,0.0,0.0
02,B,151,0.0875,-0.0875
02,B,152,0.0,0.0
02,B,153,0.05,-0.125
02,B,154,0.0,-0.0625
02,B,155,0.020833333333333332,-0.020833333333333332
02,B,157,0.125,-0.0625
02,B,158,0.0625,0.020833333333333332
02,B,159,-0.041666666666666664,-0.14583333333333334
03,A,1,0.020833333333333332,-0.0625
03,A,3,0.0625,-0.015625
03,A,4,0.0,-0.020833333333333332
03,A,5,0.0,-0.1125
03,A,6,0.0875,0.0125
03,A,8,-0.0375,-0.2
03,A,10,0.0,-0.03125
03,A,11,0.0625,-0.041666666666666664
03,A,12,0.025,-0.1
03,A,13,-0.03125,-0.09375
03,A,17,0.0,0.0
03,A,18,0.041666666666666664,-0.125
03,A,19,0.05,-0.175
03,A,20,0.025,-0.075
03,A,21,-0.05,-0.0875
03,A,22,0.041666666666666664,-0.041666666666666664
03,A,23,0.0,0.0
03,A,24,0.046875,-0.03125
03,A,25,0.09375,0.015625
03,A,26,0.2375,-0.025
03,A,27,0.2375,-0.075
03,A,28,0.03125,-0.03125
03,A,31,0.0,0.0625
03,A,32,0.0,0.0
03,A,33,-0.0375,-0.025
03,A,34,0.020833333333333332,0.0625
03,A,36,0.3125,0.0125
03,A,37,0.225,0.0375
03,A,38,0.0,0.0
03,A,39,0.015625,0.0
03,A,41,-0.15625,0.0
03,A,42,-0.020833333333333332,0.020833333333333332
03,A,43,0.0375,-0.0125
03,A,45,-0.0625,0.0
03,A,47,0.0375,-0.0625
03,A,48,0.0,0.0
03,A,50,-0.05,-0.0375
03,A,51,-0.08333333333333333,-0.041666666666666664
03,A,52,0.03125,-0.0625
03,A,53,0.125,-0.0625
03,A,54,0.0,0.0
03,A,55,0.03125,-0.03125
03,A,56,0.05,0.05
03,A,57,0.05,-0.0125
03,A,58,0.0,-0.10416666666666667
03,A,59,0.09375,0.0
03,A,60,-0.03125,-0.078125
03,A,61,0.03125,-0.03125
03,A,62,0.015625,-0.03125
03,A,63,0.03125,0.0
03,A,64,0.0,0.0
03,A,65,0.046875,0.03125
03,A,66,0.0625,0.0
03,A,67,-0.09375,-0.03125
03,A,68,0.020833333333333332,-0.020833333333333332
03,A,69,0.020833333333333332,0.0
03,A,70,0.0625,-0.0625
03,A,71,0.09375,0.0
03,A,72,0.0,-0.020833333333333332
03,A,73,0.075,0.0
03,A,74,0.0,0.0
03,A,75,0.0,0.03125
03,A,76,0.0,-0.015625
03,A,77,0.1875,-0.03125
03,A,78,0.025,-0.025
03,A,79,0.0,-0.03125
03,A,80,0.0625,0.03125
03,A,82,0.0,0.0
03,A,83,0.0,0.0
03,A,84,0.0,0.0
03,A,85,-0.041666666666666664,-0.10416666666666667
03,A,86,-0.015625,-0.015625
03,A,87,0.16666666666666666,0.20833333333333334
03,A,89,0.0625,-0.015625
03,A,90,0.015625,-0.03125
03,A,91,0.0,-0.0625
03,A,92,-0.020833333333333332,-0.020833333333333332
03,A,94,0.0,0.0
03,A,95,0.125,0.0875
03,A,96,0.2375,-0.075
03,A,97,0.0,-0.0625
03,A,98,0.0,0.0
03,A,99,0.175,-0.0375
03,A,100,0.15625,-0.15625
03,A,102,0.075,-0.0625
03,A,103,0.0,0.0
03,A,105,-0.03125,-0.03125
03,A,106,0.15,-0.0125
03,A,107,0.15,-0.1125
03,A,109,0.0625,-0.03125
03,A,110,0.03125,-0.0625
03,A,113,0.0,-0.03125
03,A,114,0.025,-0.025
03,A,115,-0.0625,0.0
03,A,116,0.0,0.020833333333333332
03,A,118,0.0,-0.0375
03,A,119,-0.020833333333333332,-0.020833333333333332
03,A,120,0.0625,-0.4125
03,A,121,0.0,-0.0625
03,A,122,0.0625,0.0
03,A,125,0.0,0.0
03,A,126,0.0625,-0.0125
03,A,128,0.03125,-0.0625
03,A,129,0.0,-0.03125
03,A,131,0.0375,0.0
03,A,132,-0.0625,0.0
03,A,133,0.03125,-0.015625
03,A,135,0.0,0.0
03,A,136,-0.03125,-0.015625
03,A,138,0.015625,0.0
03,A,139,0.175,-0.0375
03,A,141,0.0125,0.0125
03,A,142,0.0875,0.0625
03,A,144,0.0,0.0
03,A,145,0.0,-0.1875
03,A,146,0.0,0.0
03,A,149,0.0125,-0.075
03,A,150,0.0,0.0
03,A,151,0.09375,-0.0625
03,A,153,-0.020833333333333332,0.020833333333333332
03,A,154,0.0,-0.0625
03,A,155,0.03125,0.0625
03,A,157,0.075,-0.0125
03,A,158,0.125,0.0625
03,A,159,0.125,0.041666666666666664
03,B,1,0.041666666666666664,-0.041666666666666664
03,B,3,-0.015625,-0.0625
03,B,4,0.0,0.020833333333333332
03,B,5,0.0625,0.0375
03,B,6,0.0875,-0.025
03,B,8,-0.0375,0.025
03,B,10,0.0,-0.03125
03,B,11,0.020833333333333332,0.041666666666666664
03,B,12,0.0125,0.025
03,B,13,0.0625,-0.09375
03,B,17,0.0,0.0
03,B,18,0.020833333333333332,-0.14583333333333334
03,B,19,0.1,-0.05
03,B,20,0.1625,-0.0375
03,B,21,0.0625,0.0625
03,B,22,0.0625,-0.08333333333333333
03,B,23,0.0,0.0
03,B,24,0.015625,0.046875
03,B,25,0.0625,-0.046875
03,B,26,0.2,-0.1625
03,B,27,0.175,-0.0875
03,B,28,0.046875,0.0
03,B,31,0.0,-0.0625
03,B,32,0.0,0.0
03,B,33,-0.025,0.0
03,B,34,0.041666666666666664,-0.041666666666666664
03,B,36,0.2875,0.0125
03,B,37,0.125,-0.1125
03,B,38,0.0,-0.0625
03,B,39,0.046875,-0.171875
03,B,41,0.0,0.0
03,B,42,-0.020833333333333332,0.0
03,B,43,0.2375,-0.075
03,B,45,0.0,0.0
03,B,47,0.025,-0.2625
03,B,48,0.0,0.0
03,B,50,-0.05,0.0
03,B,51,-0.041666666666666664,0.0
03,B,52,0.0,-0.03125
03,B,53,0.2875,-0.1125
03,B,54,0.0,-0.0625
03,B,55,0.03125,0.03125
03,B,56,-0.0125,-0.0125
03,B,57,0.0125,-0.0125
03,B,58,0.041666666666666664,-0.14583333333333334
03,B,59,0.046875,-0.0625
03,B,60,0.03125,-0.078125
03,B,61,0.0625,-0.03125
03,B,62,0.046875,-0.109375
03,B,63,-0.03125,0.0
03,B,64,0.0,0.0
03,B,65,0.03125,0.015625
03,B,66,0.0,0.0
03,B,67,-0.03125,-0.1875
03,B,68,0.020833333333333332,-0.020833333333333332
03,B,69,0.020833333333333332,-0.041666666666666664
03,B,70,0.08333333333333333,-0.08333333333333333
03,B,71,0.03125,-0.015625
03,B,72,0.020833333333333332,0.041666666666666664
03,B,73,0.1375,0.0375
03,B,74,0.0,0.0
03,B,75,0.015625,-0.046875
03,B,76,-0.015625,0.03125
03,B,77,0.15625,-0.125
03,B,78,-0.0375,-0.0125
03,B,79,0.015625,-0.09375
03,B,80,0.03125,0.0
03,B,82,0.125,-0.0625
03,B,83,0.0,0.0
03,B,84,0.0,0.0
03,B,85,-0.041666666666666664,-0.10416666666666667
03,B,86,0.0,-0.015625
03,B,87,0.0625,-0.020833333333333332
03,B,89,-0.03125,-0.03125
03,B,90,-0.03125,0.0
03,B,91,0.0,-0.0625
03,B,92,-0.020833333333333332,0.041666666666666664
03,B,94,0.0,0.03125
03,B,95,0.1375,-0.0625
03,B,96,-0.0125,-0.075
03,B,97,0.08333333333333333,-0.020833333333333332
03,B,98,-0.0625,-0.046875
03,B,99,-0.0125,0.0875
03,B,100,-0.03125,-0.15625
03,B,102,0.1125,-0.05
03,B,103,0.0,0.0
03,B,105,0.0,0.0625
03,B,106,0.2,-0.15
03,B,107,0.2,-0.0875
03,B,109,0.0625,-0.078125
03,B,110,0.0,-0.125
03,B,113,0.078125,0.046875
03,B,114,-0.0125,-0.0125
03,B,115,0.0,0.125
03,B,116,0.0,0.0
03,B,118,0.0,0.0125
03,B,119,0.0,0.0
03,B,120,0.1,-0.0125
03,B,121,0.0,-0.0625
03,B,122,0.0125,-0.025
03,B,125,0.03125,-0.03125
03,B,126,0.1125,-0.0125
03,B,128,0.078125,-0.078125
03,B,129,0.03125,0.0
03,B,131,0.025,-0.0125
03,B,132,0.0,-0.125
03,B,133,-0.046875,0.0
03,B,135,0.03125,-0.03125
03,B,136,0.015625,0.03125
03,B,138,-0.046875,0.046875
03,B,139,0.1125,-0.125
03,B,141,-0.0375,-0.0125
03,B,142,0.175,-0.05
03,B,144,0.0,0.0
03,B,145,0.0,-0.375
03,B,146,0.0,0.0
03,B,149,0.0125,-0.075
03,B,150,0.0,0.0
03,B,151,0.015625,-0.0625
03,B,153,0.0,-0.041666666666666664
03,B,154,0.0,0.0
03,B,155,0.0,-0.03125
03,B,157,0.1,0.0125
03,B,158,-0.1,-0.0125
03,B,159,0.020833333333333332,0.020833333333333332
