state_id,cohort,candidate,matrix_id,landmark,mass,previous_growth_steps,cumulative_growth_steps,q_all,q_half_A,q_half_B,prediction_h10,prediction_h10_state,prediction_h10_state_beta,prediction_h10_state_beta_interaction,prediction_state_only,prediction_beta_only,prediction_h10_beta
MECHCONF-c03-m110-g080,MECHCONF,03,110,80,42,32,2411,0.328125,0.375,0.28125,0.4587365615844954,0.4924840704410811,0.47360892807531907,0.5206721886685558,0.5846752517204568,0.4051829167010034,0.43951175802047693
MECHCONF-c02-m111-g020,MECHCONF,02,111,20,40,38,831,0.109375,0.09375,0.125,0.20499222180407778,0.18707523896654452,0.19563073228034544,0.1953982334466723,0.2077077399089147,0.29140174496800364,0.21086866752654973
MECHCONF-c02-m111-g035,MECHCONF,02,111,35,40,46,1599,0.078125,0.09375,0.0625,0.1516199240788361,0.13786270757068056,0.14456781389117282,0.14856190550783405,0.19994168647187852,0.29140174496800364,0.15626710218023657
MECHCONF-c02-m111-g050,MECHCONF,02,111,50,40,36,2199,0.109375,0.125,0.09375,0.09538188380545262,0.08761164756093208,0.0921339220048512,0.09251783389181185,0.2194893153698963,0.29140174496800364,0.09850549548752267
MECHCONF-c02-m111-g065,MECHCONF,02,111,65,40,32,2888,0.0,0.0,0.0,0.28712631572402103,0.2730457620349835,0.2841586138148387,0.28189676665082686,0.26389864576166144,0.29140174496800364,0.2944851197211295
MECHCONF-c02-m111-g080,MECHCONF,02,111,80,40,39,3415,0.203125,0.21875,0.1875,0.20251908999472784,0.1853255377589419,0.19382009052302987,0.19800315862142823,0.21334875691067137,0.29140174496800364,0.20834321868671418
MECHCONF-c03-m111-g020,MECHCONF,03,111,20,40,83,666,0.265625,0.28125,0.25,0.42165833464833785,0.4229343774204404,0.4177334551350029,0.43209056728189393,0.40225486216840406,0.2860911543934989,0.40831336887601233
MECHCONF-c03-m111-g035,MECHCONF,03,111,35,39,35,1303,0.15625,0.15625,0.15625,0.5291840730700129,0.5542682296634658,0.5489887281194801,0.57916901613728,0.5618204882602599,0.2860911543934989,0.5154691551716878
MECHCONF-c03-m111-g050,MECHCONF,03,111,50,38,24,1894,0.3125,0.3125,0.3125,0.26624407425520563,0.25736723050832594,0.2533085960318411,0.26561607642061447,0.2097114531542875,0.2860911543934989,0.25564358514161956
MECHCONF-c03-m111-g065,MECHCONF,03,111,65,41,25,2478,0.3125,0.375,0.25,0.40248427855910285,0.4074190475141786,0.40227591607335517,0.42604836732405155,0.4174876077573428,0.2860911543934989,0.3893376286100688
MECHCONF-c03-m111-g080,MECHCONF,03,111,80,39,18,3026,0.359375,0.3125,0.40625,0.24897833508590753,0.2209992924708658,0.21734632291638123,0.23264449352017086,0.1318087816148276,0.2860911543934989,0.2388415166223084
MECHCONF-c02-m112-g020,MECHCONF,02,112,20,40,53,1120,0.484375,0.59375,0.375,0.6333457378350008,0.6252457681304355,0.6341553295853594,0.6594337708128364,0.29769263228163695,0.34846236574399075,0.6418395610491329
MECHCONF-c02-m112-g035,MECHCONF,02,112,35,40,43,2022,0.5625,0.5,0.625,0.5103423299661959,0.5158362466239955,0.5253724097215265,0.5552675398109715,0.37012097430984664,0.34846236574399075,0.5195239245256448
MECHCONF-c02-m112-g050,MECHCONF,02,112,50,40,44,2916,0.828125,0.90625,0.75,0.6433936106981087,0.6763446051719308,0.6846520390189036,0.713385515334049,0.5764352190786262,0.34846236574399075,0.651782643823568
MECHCONF-c02-m112-g065,MECHCONF,02,112,65,40,101,3711,0.6875,0.6875,0.6875,0.703838680167785,0.7157494916089681,0.7234590470770168,0.7472778384664448,0.4336500905153775,0.34846236574399075,0.711443496827248
MECHCONF-c02-m112-g080,MECHCONF,02,112,80,40,38,4461,0.5625,0.53125,0.59375,0.5545836342416565,0.5698241658913942,0.5791644927245165,0.6170433146988276,0.4391420554268239,0.34846236574399075,0.5636449611009975
MECHCONF-c03-m112-g020,MECHCONF,03,112,20,42,47,728,0.6875,0.78125,0.59375,0.6210445729292662,0.6466771905786277,0.6717543360811551,0.6806022783613302,0.6340205990279258,0.45092118602601367,0.6488691317987296
MECHCONF-c03-m112-g035,MECHCONF,03,112,35,42,59,1478,0.8125,0.75,0.875,0.6147736898784477,0.6377481158000636,0.6631288707297278,0.6724897480615303,0.7678576235748905,0.45092118602601367,0.6427938556336834
MECHCONF-c03-m112-g050,MECHCONF,03,112,50,37,40,2120,0.734375,0.75,0.71875,0.6608031591273916,0.6861141341550407,0.7096489761481544,0.7246354048976998,0.5730807394476579,0.45092118602601367,0.6871788993495414
MECHCONF-c03-m112-g065,MECHCONF,03,112,65,45,17,2688,0.65625,0.65625,0.65625,0.4247188536317525,0.4080557017288743,0.4352792515305807,0.4664627705206459,0.2118287274555503,0.45092118602601367,0.45429205389140104
MECHCONF-c03-m112-g080,MECHCONF,03,112,80,44,47,3293,0.859375,0.875,0.84375,0.7454211335298528,0.7643626839907156,0.7838785945444626,0.7975836545262351,0.564909295213639,0.45092118602601367,0.7675317966136845
MECHCONF-c02-m113-g020,MECHCONF,02,113,20,40,35,820,0.03125,0.0625,0.0,0.28156720957350173,0.2505929531923303,0.2505710413820432,0.2253157387520107,0.16175814159851437,0.3677300041779577,0.28221739717886535
