candidate,matrix_id,residence_length,start_support,durable_support,separation,residence_episodes,coherent_clusters,stable_forms,distinct_stable_forms,rule_survives
02,54,16,8,4,0.8,59,2,1,1,False
02,54,16,8,4,0.85,59,2,1,1,False
02,54,16,8,4,0.9,59,2,1,1,False
02,54,16,16,4,0.8,59,2,1,1,False
02,54,16,16,4,0.85,59,2,1,1,False
02,54,16,16,4,0.9,59,2,1,1,False
02,132,4,4,4,0.8,1539,56,8,1,False
02,132,4,4,4,0.85,1539,56,8,1,False
02,132,4,4,4,0.9,1539,56,8,1,False
02,132,4,8,4,0.8,1539,56,8,1,False
02,132,4,8,4,0.85,1539,56,8,1,False
02,132,4,8,4,0.9,1539,56,8,1,False
02,132,4,16,4,0.8,1539,56,8,1,False
02,132,4,16,4,0.85,1539,56,8,1,False
02,132,4,16,4,0.9,1539,56,8,1,False
02,132,8,4,4,0.8,262,3,1,1,False
02,132,8,4,4,0.85,262,3,1,1,False
02,132,8,4,4,0.9,262,3,1,1,False
02,132,8,8,4,0.8,262,3,1,1,False
02,132,8,8,4,0.85,262,3,1,1,False
02,132,8,8,4,0.9,262,3,1,1,False
02,132,8,16,4,0.8,262,3,1,1,False
02,132,8,16,4,0.85,262,3,1,1,False
02,132,8,16,4,0.9,262,3,1,1,False
02,132,16,4,4,0.8,13,1,1,1,False
02,132,16,4,4,0.85,13,1,1,1,False
02,132,16,4,4,0.9,13,1,1,1,False
02,132,16,8,4,0.8,13,1,1,1,False
02,132,16,8,4,0.85,13,1,1,1,False
02,132,16,8,4,0.9,13,1,1,1,False
02,132,16,16,4,0.8,13,1,0,0,False
02,132,16,16,4,0.85,13,1,0,0,False
02,132,16,16,4,0.9,13,1,0,0,False
02,196,4,4,4,0.8,1499,93,10,2,True
02,196,4,4,4,0.85,1499,93,10,2,True
02,196,4,4,4,0.9,1499,93,10,2,True
02,196,4,8,4,0.8,1499,93,10,2,True
02,196,4,8,4,0.85,1499,93,10,2,True
02,196,4,8,4,0.9,1499,93,10,2,True
02,196,4,16,4,0.8,1499,93,10,2,True
02,196,4,16,4,0.85,1499,93,10,2,True
02,196,4,16,4,0.9,1499,93,10,2,True
02,196,8,4,4,0.8,148,6,2,1,False
02,196,8,4,4,0.85,148,6,2,1,False
02,196,8,4,4,0.9,148,6,2,1,False
02,196,8,8,4,0.8,148,6,2,1,False
02,196,8,8,4,0.85,148,6,2,1,False
02,196,8,8,4,0.9,148,6,2,1,False
02,196,8,16,4,0.8,148,6,2,1,False
02,196,8,16,4,0.85,148,6,2,1,False
02,196,8,16,4,0.9,148,6,2,1,False
02,196,16,4,4,0.8,0,0,0,0,False
02,196,16,4,4,0.85,0,0,0,0,False
02,196,16,4,4,0.9,0,0,0,0,False
02,196,16,8,4,0.8,0,0,0,0,False
02,196,16,8,4,0.85,0,0,0,0,False
02,196,16,8,4,0.9,0,0,0,0,False
02,196,16,16,4,0.8,0,0,0,0,False
02,196,16,16,4,0.85,0,0,0,0,False
02,196,16,16,4,0.9,0,0,0,0,False
02,158,4,4,4,0.8,1424,39,8,1,False
02,158,4,4,4,0.85,1424,39,8,1,False
02,158,4,4,4,0.9,1424,39,8,1,False
02,158,4,8,4,0.8,1424,39,8,1,False
02,158,4,8,4,0.85,1424,39,8,1,False
02,158,4,8,4,0.9,1424,39,8,1,False
02,158,4,16,4,0.8,1424,39,8,1,False
02,158,4,16,4,0.85,1424,39,8,1,False
02,158,4,16,4,0.9,1424,39,8,1,False
02,158,8,4,4,0.8,252,4,2,1,False
02,158,8,4,4,0.85,252,4,2,1,False
02,158,8,4,4,0.9,252,4,2,1,False
02,158,8,8,4,0.8,252,4,2,1,False
02,158,8,8,4,0.85,252,4,2,1,False
02,158,8,8,4,0.9,252,4,2,1,False
02,158,8,16,4,0.8,252,4,2,1,False
02,158,8,16,4,0.85,252,4,2,1,False
02,158,8,16,4,0.9,252,4,2,1,False
02,158,16,4,4,0.8,11,1,1,1,False
02,158,16,4,4,0.85,11,1,1,1,False
02,158,16,4,4,0.9,11,1,1,1,False
02,158,16,8,4,0.8,11,1,1,1,False
02,158,16,8,4,0.85,11,1,1,1,False
02,158,16,8,4,0.9,11,1,1,1,False
02,158,16,16,4,0.8,11,1,0,0,False
02,158,16,16,4,0.85,11,1,0,0,False
02,158,16,16,4,0.9,11,1,0,0,False
02,10,4,4,4,0.8,1803,53,15,3,True
02,10,4,4,4,0.85,1803,53,15,3,True
02,10,4,4,4,0.9,1803,53,15,3,True
02,10,4,8,4,0.8,1803,53,15,3,True
02,10,4,8,4,0.85,1803,53,15,3,True
02,10,4,8,4,0.9,1803,53,15,3,True
02,10,4,16,4,0.8,1803,53,15,3,True
02,10,4,16,4,0.85,1803,53,15,3,True
02,10,4,16,4,0.9,1803,53,15,3,True
02,10,8,4,4,0.8,101,5,1,1,False
02,10,8,4,4,0.85,101,5,1,1,False
02,10,8,4,4,0.9,101,5,1,1,False
02,10,8,8,4,0.8,101,5,1,1,False
02,10,8,8,4,0.85,101,5,1,1,False
02,10,8,8,4,0.9,101,5,1,1,False
02,10,8,16,4,0.8,101,5,1,1,False
02,10,8,16,4,0.85,101,5,1,1,False
02,10,8,16,4,0.9,101,5,1,1,False
02,10,16,4,4,0.8,4,1,0,0,False
02,10,16,4,4,0.85,4,1,0,0,False
02,10,16,4,4,0.9,4,1,0,0,False
02,10,16,8,4,0.8,4,1,0,0,False
02,10,16,8,4,0.85,4,1,0,0,False
02,10,16,8,4,0.9,4,1,0,0,False
02,10,16,16,4,0.8,4,1,0,0,False
02,10,16,16,4,0.85,4,1,0,0,False
02,10,16,16,4,0.9,4,1,0,0,False
02,90,4,4,4,0.8,1776,129,10,1,False
02,90,4,4,4,0.85,1776,129,10,1,False
02,90,4,4,4,0.9,1776,129,10,1,False
02,90,4,8,4,0.8,1776,129,10,1,False
02,90,4,8,4,0.85,1776,129,10,1,False
02,90,4,8,4,0.9,1776,129,10,1,False
02,90,4,16,4,0.8,1776,129,10,1,False
02,90,4,16,4,0.85,1776,129,10,1,False
02,90,4,16,4,0.9,1776,129,10,1,False
02,90,8,4,4,0.8,162,4,2,1,False
02,90,8,4,4,0.85,162,4,2,1,False
02,90,8,4,4,0.9,162,4,2,1,False
02,90,8,8,4,0.8,162,4,2,1,False
02,90,8,8,4,0.85,162,4,2,1,False
02,90,8,8,4,0.9,162,4,2,1,False
02,90,8,16,4,0.8,162,4,2,1,False
02,90,8,16,4,0.85,162,4,2,1,False
02,90,8,16,4,0.9,162,4,2,1,False
02,90,16,4,4,0.8,2,1,0,0,False
02,90,16,4,4,0.85,2,1,0,0,False
02,90,16,4,4,0.9,2,1,0,0,False
02,90,16,8,4,0.8,2,1,0,0,False
02,90,16,8,4,0.85,2,1,0,0,False
02,90,16,8,4,0.9,2,1,0,0,False
02,90,16,16,4,0.8,2,1,0,0,False
02,90,16,16,4,0.85,2,1,0,0,False
02,90,16,16,4,0.9,2,1,0,0,False
02,32,4,4,4,0.8,1024,92,7,1,False
02,32,4,4,4,0.85,1024,92,7,1,False
02,32,4,4,4,0.9,1024,92,7,1,False
02,32,4,8,4,0.8,1024,92,7,1,False
02,32,4,8,4,0.85,1024,92,7,1,False
02,32,4,8,4,0.9,1024,92,7,1,False
02,32,4,16,4,0.8,1024,92,7,1,False
02,32,4,16,4,0.85,1024,92,7,1,False
02,32,4,16,4,0.9,1024,92,7,1,False
02,32,8,4,4,0.8,12,2,0,0,False
02,32,8,4,4,0.85,12,2,0,0,False
02,32,8,4,4,0.9,12,2,0,0,False
02,32,8,8,4,0.8,12,2,0,0,False
02,32,8,8,4,0.85,12,2,0,0,False
02,32,8,8,4,0.9,12,2,0,0,False
02,32,8,16,4,0.8,12,2,0,0,False
02,32,8,16,4,0.85,12,2,0,0,False
02,32,8,16,4,0.9,12,2,0,0,False
02,32,16,4,4,0.8,0,0,0,0,False
02,32,16,4,4,0.85,0,0,0,0,False
02,32,16,4,4,0.9,0,0,0,0,False
02,32,16,8,4,0.8,0,0,0,0,False
02,32,16,8,4,0.85,0,0,0,0,False
02,32,16,8,4,0.9,0,0,0,0,False
02,32,16,16,4,0.8,0,0,0,0,False
02,32,16,16,4,0.85,0,0,0,0,False
02,32,16,16,4,0.9,0,0,0,0,False
02,45,4,4,4,0.8,1656,71,16,1,False
02,45,4,4,4,0.85,1656,71,16,1,False
02,45,4,4,4,0.9,1656,71,16,1,False
02,45,4,8,4,0.8,1656,71,16,1,False
02,45,4,8,4,0.85,1656,71,16,1,False
02,45,4,8,4,0.9,1656,71,16,1,False
02,45,4,16,4,0.8,1656,71,16,1,False
02,45,4,16,4,0.85,1656,71,16,1,False
02,45,4,16,4,0.9,1656,71,16,1,False
02,45,8,4,4,0.8,65,6,0,0,False
02,45,8,4,4,0.85,65,6,0,0,False
02,45,8,4,4,0.9,65,6,0,0,False
02,45,8,8,4,0.8,65,6,0,0,False
02,45,8,8,4,0.85,65,6,0,0,False
02,45,8,8,4,0.9,65,6,0,0,False
02,45,8,16,4,0.8,65,6,0,0,False
02,45,8,16,4,0.85,65,6,0,0,False
02,45,8,16,4,0.9,65,6,0,0,False
02,45,16,4,4,0.8,0,0,0,0,False
02,45,16,4,4,0.85,0,0,0,0,False
02,45,16,4,4,0.9,0,0,0,0,False
02,45,16,8,4,0.8,0,0,0,0,False
02,45,16,8,4,0.85,0,0,0,0,False
02,45,16,8,4,0.9,0,0,0,0,False
02,45,16,16,4,0.8,0,0,0,0,False
02,45,16,16,4,0.85,0,0,0,0,False
02,45,16,16,4,0.9,0,0,0,0,False
02,28,4,4,4,0.8,681,62,5,1,False
02,28,4,4,4,0.85,681,62,5,1,False
02,28,4,4,4,0.9,681,62,5,1,False
02,28,4,8,4,0.8,681,62,5,1,False
02,28,4,8,4,0.85,681,62,5,1,False
02,28,4,8,4,0.9,681,62,5,1,False
02,28,4,16,4,0.8,681,62,5,1,False
02,28,4,16,4,0.85,681,62,5,1,False
02,28,4,16,4,0.9,681,62,5,1,False
02,28,8,4,4,0.8,7,1,0,0,False
02,28,8,4,4,0.85,7,1,0,0,False
02,28,8,4,4,0.9,7,1,0,0,False
02,28,8,8,4,0.8,7,1,0,0,False
02,28,8,8,4,0.85,7,1,0,0,False
02,28,8,8,4,0.9,7,1,0,0,False
02,28,8,16,4,0.8,7,1,0,0,False
02,28,8,16,4,0.85,7,1,0,0,False
02,28,8,16,4,0.9,7,1,0,0,False
02,28,16,4,4,0.8,0,0,0,0,False
02,28,16,4,4,0.85,0,0,0,0,False
02,28,16,4,4,0.9,0,0,0,0,False
02,28,16,8,4,0.8,0,0,0,0,False
02,28,16,8,4,0.85,0,0,0,0,False
02,28,16,8,4,0.9,0,0,0,0,False
02,28,16,16,4,0.8,0,0,0,0,False
02,28,16,16,4,0.85,0,0,0,0,False
02,28,16,16,4,0.9,0,0,0,0,False
02,159,4,4,4,0.8,733,47,4,2,True
02,159,4,4,4,0.85,733,47,4,2,True
02,159,4,4,4,0.9,733,47,4,2,True
02,159,4,8,4,0.8,733,47,4,2,True
02,159,4,8,4,0.85,733,47,4,2,True
02,159,4,8,4,0.9,733,47,4,2,True
02,159,4,16,4,0.8,733,47,4,2,True
02,159,4,16,4,0.85,733,47,4,2,True
02,159,4,16,4,0.9,733,47,4,2,True
02,159,8,4,4,0.8,60,3,1,1,False
02,159,8,4,4,0.85,60,3,1,1,False
02,159,8,4,4,0.9,60,3,1,1,False
02,159,8,8,4,0.8,60,3,1,1,False
02,159,8,8,4,0.85,60,3,1,1,False
02,159,8,8,4,0.9,60,3,1,1,False
02,159,8,16,4,0.8,60,3,1,1,False
02,159,8,16,4,0.85,60,3,1,1,False
02,159,8,16,4,0.9,60,3,1,1,False
02,159,16,4,4,0.8,0,0,0,0,False
02,159,16,4,4,0.85,0,0,0,0,False
02,159,16,4,4,0.9,0,0,0,0,False
02,159,16,8,4,0.8,0,0,0,0,False
02,159,16,8,4,0.85,0,0,0,0,False
02,159,16,8,4,0.9,0,0,0,0,False
02,159,16,16,4,0.8,0,0,0,0,False
02,159,16,16,4,0.85,0,0,0,0,False
02,159,16,16,4,0.9,0,0,0,0,False
02,149,4,4,4,0.8,761,53,6,2,True
02,149,4,4,4,0.85,761,53,6,2,True
02,149,4,4,4,0.9,761,53,6,3,True
02,149,4,8,4,0.8,761,53,6,2,True
02,149,4,8,4,0.85,761,53,6,2,True
02,149,4,8,4,0.9,761,53,6,3,True
02,149,4,16,4,0.8,761,53,6,2,True
02,149,4,16,4,0.85,761,53,6,2,True
02,149,4,16,4,0.9,761,53,6,3,True
02,149,8,4,4,0.8,47,2,0,0,False
02,149,8,4,4,0.85,47,2,0,0,False
02,149,8,4,4,0.9,47,2,0,0,False
02,149,8,8,4,0.8,47,2,0,0,False
02,149,8,8,4,0.85,47,2,0,0,False
02,149,8,8,4,0.9,47,2,0,0,False
02,149,8,16,4,0.8,47,2,0,0,False
02,149,8,16,4,0.85,47,2,0,0,False
02,149,8,16,4,0.9,47,2,0,0,False
02,149,16,4,4,0.8,0,0,0,0,False
02,149,16,4,4,0.85,0,0,0,0,False
02,149,16,4,4,0.9,0,0,0,0,False
02,149,16,8,4,0.8,0,0,0,0,False
02,149,16,8,4,0.85,0,0,0,0,False
02,149,16,8,4,0.9,0,0,0,0,False
02,149,16,16,4,0.8,0,0,0,0,False
02,149,16,16,4,0.85,0,0,0,0,False
02,149,16,16,4,0.9,0,0,0,0,False
02,58,4,4,4,0.8,1178,145,5,1,False
02,58,4,4,4,0.85,1178,145,5,1,False
