candidate,matrix_id,kind,relation,source_lineage,target_lineage,h
02,11,strict,cross,33,24,0.025329233070901576
02,11,strict,cross,33,28,0.023166549337277766
02,11,strict,cross,33,31,0.02553990342618257
02,11,strict,cross,33,47,0.9841636248586941
02,11,strict,cross,33,50,0.16911546882426964
02,11,strict,cross,33,52,0.9771159170360142
02,11,strict,cross,33,56,0.021277365009965327
02,11,strict,cross,33,57,0.023090281588192707
02,11,strict,cross,33,60,0.9758567914665266
02,11,strict,cross,33,70,0.9885757823152954
02,11,strict,cross,33,73,0.02303296400323656
02,11,strict,cross,33,82,0.02192025930547696
02,11,strict,cross,33,84,0.022594056539925793
02,11,strict,cross,47,0,0.9834170474024604
02,11,strict,cross,47,8,0.9850217109976532
02,11,strict,cross,47,9,0.09495597613726828
02,11,strict,cross,47,10,0.9815550826426827
02,11,strict,cross,47,12,0.07404752568015556
02,11,strict,cross,47,20,0.9847564804465585
02,11,strict,cross,47,24,0.09677999307483977
02,11,strict,cross,47,28,0.09152042257663347
02,11,strict,cross,47,31,0.10066306831734795
02,11,strict,cross,47,33,0.9827634595766295
02,11,strict,cross,47,50,0.23077926993962217
02,11,strict,cross,47,52,0.9716854329370518
02,11,strict,cross,47,56,0.07861078421242239
02,11,strict,cross,47,57,0.08998580477040578
02,11,strict,cross,47,60,0.9774415781010771
02,11,strict,cross,47,70,0.9843468737454163
02,11,strict,cross,47,73,0.09138305923236816
02,11,strict,cross,47,82,0.08916383438220625
02,11,strict,cross,47,84,0.08182742577945686
02,11,strict,cross,50,0,0.03113758204069633
02,11,strict,cross,50,8,0.14034791252051496
02,11,strict,cross,50,9,0.9297955037899401
02,11,strict,cross,50,10,0.0368558038796283
02,11,strict,cross,50,12,0.9667393511839687
02,11,strict,cross,50,20,0.16358199498489587
02,11,strict,cross,50,24,0.940528535546937
02,11,strict,cross,50,28,0.9578756809011291
02,11,strict,cross,50,31,0.8915129089258389
02,11,strict,cross,50,33,0.04183869005778188
02,11,strict,cross,50,47,0.03798235091694388
02,11,strict,cross,50,52,0.03830514823812473
02,11,strict,cross,50,56,0.9679896868955463
02,11,strict,cross,50,57,0.974186957055139
02,11,strict,cross,50,60,0.05037034853623516
02,11,strict,cross,50,70,0.112259679095875
02,11,strict,cross,50,73,0.966023415697615
02,11,strict,cross,50,82,0.962281123981044
02,11,strict,cross,50,84,0.9771866389049468
02,11,strict,cross,52,0,0.994742784231501
02,11,strict,cross,52,8,0.9912685846262692
02,11,strict,cross,52,9,0.011629292461533684
02,11,strict,cross,52,10,0.9904809678116984
02,11,strict,cross,52,12,0.0027053467200671847
02,11,strict,cross,52,20,0.987001951481297
02,11,strict,cross,52,24,0.011652174587841235
02,11,strict,cross,52,28,0.0077433604130054895
02,11,strict,cross,52,31,0.014176599570325502
02,11,strict,cross,52,33,0.9879270285324433
02,11,strict,cross,52,47,0.9919834692424996
02,11,strict,cross,52,50,0.1540909440641558
02,11,strict,cross,52,56,0.004395831877470384
02,11,strict,cross,52,57,0.006911148103352334
02,11,strict,cross,52,60,0.9887162808308886
02,11,strict,cross,52,70,0.9922418451349159
02,11,strict,cross,52,73,0.009471746062309555
02,11,strict,cross,52,82,0.008151114178738116
02,11,strict,cross,52,84,0.005852759714323953
02,11,strict,cross,56,0,0.0012111874331163625
02,11,strict,cross,56,8,0.10555554576641177
02,11,strict,cross,56,9,0.9556142952843039
02,11,strict,cross,56,10,0.010256173564451717
02,11,strict,cross,56,12,0.9748845543390326
02,11,strict,cross,56,20,0.12970098086058993
02,11,strict,cross,56,24,0.9581438060645922
02,11,strict,cross,56,28,0.981366231817661
02,11,strict,cross,56,31,0.9209448700697882
02,11,strict,cross,56,33,0.004447286417907808
02,11,strict,cross,56,47,0.0
02,11,strict,cross,56,50,0.9743393020575047
02,11,strict,cross,56,52,0.0017285288921216001
02,11,strict,cross,56,57,0.9824494321838086
02,11,strict,cross,56,60,0.017061627752246556
02,11,strict,cross,56,70,0.077521298402133
02,11,strict,cross,56,73,0.9757628544687946
02,11,strict,cross,56,82,0.9709339213809901
02,11,strict,cross,56,84,0.9770403381772557
02,11,strict,cross,57,0,0.024598626593997804
02,11,strict,cross,57,8,0.1315927773526345
02,11,strict,cross,57,9,0.9444674822880543
02,11,strict,cross,57,10,0.028093086080807066
02,11,strict,cross,57,12,0.983025386190063
02,11,strict,cross,57,20,0.15232175681180865
02,11,strict,cross,57,24,0.9644092760720112
02,11,strict,cross,57,28,0.9749983029123214
02,11,strict,cross,57,31,0.9211580037712367
02,11,strict,cross,57,33,0.03146973280491316
02,11,strict,cross,57,47,0.025535060768002577
02,11,strict,cross,57,50,0.9786213517900799
02,11,strict,cross,57,52,0.02856223187635691
02,11,strict,cross,57,56,0.9910656337285497
02,11,strict,cross,57,60,0.04155641582146683
02,11,strict,cross,57,70,0.1035450629418576
02,11,strict,cross,57,73,0.971772849533077
02,11,strict,cross,57,82,0.9728175836564263
02,11,strict,cross,57,84,0.9745840805987309
02,11,strict,cross,60,0,0.988124760188915
02,11,strict,cross,60,8,0.9875239667736075
02,11,strict,cross,60,9,0.05879327929083848
02,11,strict,cross,60,10,0.9852703405397921
