candidate,matrix_id,kind,relation,source_lineage,target_lineage,score,comparison_complete
02,11,f12,stranger,7,14,0.9641952673857652,True
02,11,f12,stranger,7,15,0.982447753311235,True
02,11,f12,stranger,7,16,0.932917053989178,True
02,11,f12,stranger,7,17,0.9595335007833712,True
02,11,f12,stranger,7,18,0.6804138174397717,True
02,11,f12,stranger,7,19,0.6021208328989329,True
02,11,f12,stranger,8,0,0.9175376075603799,True
02,11,f12,stranger,8,1,0.848131465632851,True
02,11,f12,stranger,8,2,0.7914137309872176,True
02,11,f12,stranger,8,3,0.4022872442643296,True
02,11,f12,stranger,8,4,0.6340299757016796,True
02,11,f12,stranger,8,5,0.6171039683005675,True
02,11,f12,stranger,8,6,0.8401940968896291,True
02,11,f12,stranger,8,7,0.9100726165271307,True
02,11,f12,stranger,8,9,0.8602374691917115,True
02,11,f12,stranger,8,10,0.9379231826306674,True
02,11,f12,stranger,8,11,0.8809157761235498,True
02,11,f12,stranger,8,12,0.9342249073787996,True
02,11,f12,stranger,8,13,0.8451466335513296,True
02,11,f12,stranger,8,14,0.8971651128347827,True
02,11,f12,stranger,8,15,0.9030432203241716,True
02,11,f12,stranger,8,16,0.5535218219075286,True
02,11,f12,stranger,8,17,0.8549699640664473,True
02,11,f12,stranger,8,18,0.9631197049657378,True
02,11,f12,stranger,8,19,0.810516887561716,True
02,11,f12,stranger,9,0,0.9424688726465758,True
02,11,f12,stranger,9,1,0.5229247827433932,True
02,11,f12,stranger,9,2,0.7223073643172213,True
02,11,f12,stranger,9,4,0.9537406548554174,True
02,11,f12,stranger,9,5,0.9228693191959324,True
02,11,f12,stranger,9,6,0.5976247670109213,True
02,11,f12,stranger,9,7,0.9564119490866948,True
02,11,f12,stranger,9,8,0.8953384028367544,True
02,11,f12,stranger,9,11,0.9464444380567213,True
02,11,f12,stranger,9,12,0.9681520978393401,True
02,11,f12,stranger,9,13,0.5853966988625444,True
02,11,f12,stranger,9,14,0.9473405707681489,True
02,11,f12,stranger,9,15,0.9656157048504317,True
02,11,f12,stranger,9,16,0.862119544997075,True
02,11,f12,stranger,9,17,0.9021554040712161,True
02,11,f12,stranger,9,18,0.8192533467591366,True
02,11,f12,stranger,9,19,0.5843797649131544,True
02,11,f12,stranger,10,0,0.7877609890611015,True
02,11,f12,stranger,10,1,0.9690082932103345,True
02,11,f12,stranger,10,2,0.6097013950210626,True
02,11,f12,stranger,10,6,0.9583636079163379,True
02,11,f12,stranger,10,7,0.989016121740491,True
02,11,f12,stranger,10,8,0.7010898598089916,True
02,11,f12,stranger,10,11,0.6967161039117918,True
02,11,f12,stranger,10,12,0.5433755530805219,True
02,11,f12,stranger,10,13,0.9571008789634876,True
02,11,f12,stranger,10,14,0.7241594674562843,True
02,11,f12,stranger,10,15,0.8054749801260263,True
02,11,f12,stranger,10,17,0.7440955783130764,True
02,11,f12,stranger,10,19,0.9558962162540311,True
02,11,f12,stranger,11,0,0.9495069519369775,True
02,11,f12,stranger,11,1,0.9757087130668903,True
02,11,f12,stranger,11,3,0.6823494524023584,True
02,11,f12,stranger,11,4,0.9702959017623284,True
02,11,f12,stranger,11,5,0.9262116498428254,True
02,11,f12,stranger,11,7,0.9822571926672687,True
02,11,f12,stranger,11,8,0.864450088448324,True
02,11,f12,stranger,11,9,0.93953670023444,True
02,11,f12,stranger,11,10,0.9134935941596158,True
02,11,f12,stranger,11,15,0.9688506140651049,True
02,11,f12,stranger,11,16,0.2756227261218892,True
02,11,f12,stranger,11,17,0.901508220632228,True
02,11,f12,stranger,11,18,0.838371627971699,True
02,11,f12,stranger,11,19,0.9568767309115513,True
02,11,f12,stranger,12,0,0.7610494185623493,True
02,11,f12,stranger,12,1,0.9308081331636733,True
02,11,f12,stranger,12,3,0.18631032838127484,True
02,11,f12,stranger,12,4,0.15434872662825794,True
02,11,f12,stranger,12,5,0.12336987390024975,True
02,11,f12,stranger,12,7,0.8754592317123738,True
02,11,f12,stranger,12,8,0.4766832184546699,True
02,11,f12,stranger,12,9,0.9460123922902819,True
02,11,f12,stranger,12,10,0.6458241934837133,True
02,11,f12,stranger,12,15,0.3537567300095827,True
02,11,f12,stranger,12,16,0.24387026879494714,True
02,11,f12,stranger,12,17,0.5851170351117041,True
02,11,f12,stranger,12,18,0.7655239617588309,True
02,11,f12,stranger,12,19,0.952290931406185,True
02,11,f12,stranger,13,0,0.8703394689071045,True
02,11,f12,stranger,13,1,0.9666398159335902,True
02,11,f12,stranger,13,3,0.39049320065660054,True
02,11,f12,stranger,13,4,0.8670580258568763,True
02,11,f12,stranger,13,5,0.817743736923193,True
02,11,f12,stranger,13,7,0.9896311431262025,True
02,11,f12,stranger,13,8,0.7773365710695199,True
02,11,f12,stranger,13,9,0.9784516854346601,True
02,11,f12,stranger,13,10,0.8604942022712899,True
02,11,f12,stranger,13,15,0.8621120750245513,True
02,11,f12,stranger,13,16,0.34384192985625345,True
02,11,f12,stranger,13,17,0.9612860649443613,True
02,11,f12,stranger,13,18,0.8421753138505422,True
02,11,f12,stranger,13,19,0.962216390842681,True
02,11,f12,stranger,14,0,0.963927791059513,True
02,11,f12,stranger,14,1,0.8883223537030034,True
02,11,f12,stranger,14,3,0.8771969294580814,True
02,11,f12,stranger,14,4,0.9686533620490666,True
02,11,f12,stranger,14,5,0.9669378412510323,True
02,11,f12,stranger,14,7,0.9492064209455486,True
02,11,f12,stranger,14,8,0.9633180917372309,True
02,11,f12,stranger,14,9,0.8807955646231297,True
02,11,f12,stranger,14,10,0.7707996038788897,True
02,11,f12,stranger,14,15,0.9828877557432515,True
02,11,f12,stranger,14,16,0.8409727994175386,True
02,11,f12,stranger,14,17,0.8897526211530751,True
02,11,f12,stranger,14,18,0.9460578299313617,True
02,11,f12,stranger,14,19,0.5717261130115711,True
02,11,f12,stranger,15,0,0.8387668951646108,True
02,11,f12,stranger,15,1,0.1933505208102161,True
02,11,f12,stranger,15,2,0.875513838490467,True
02,11,f12,stranger,15,3,0.8975092622457962,True
02,11,f12,stranger,15,4,0.9703755129611964,True
02,11,f12,stranger,15,5,0.9652334962103504,True
02,11,f12,stranger,15,6,0.2044398826909146,True
02,11,f12,stranger,15,7,0.7727440589972013,True
02,11,f12,stranger,15,8,0.9645269268580056,True
02,11,f12,stranger,15,9,0.7666704796857351,True
02,11,f12,stranger,15,10,0.6802777210652851,True
02,11,f12,stranger,15,11,0.8399806084069595,True
02,11,f12,stranger,15,12,0.9408496304645574,True
02,11,f12,stranger,15,13,0.3002488299497635,True
02,11,f12,stranger,15,14,0.9765838743194201,True
02,11,f12,stranger,15,16,0.8117868287502721,True
02,11,f12,stranger,15,17,0.8473748802821054,True
02,11,f12,stranger,15,18,0.7643195458652887,True
02,11,f12,stranger,15,19,0.7230725921636076,True
02,11,f12,stranger,16,0,0.7248909780276285,True
02,11,f12,stranger,16,1,0.8729457540319219,True
02,11,f12,stranger,16,2,0.8585314430391674,True
02,11,f12,stranger,16,3,0.9129175030346054,True
02,11,f12,stranger,16,4,0.987227346863378,True
02,11,f12,stranger,16,5,0.9860534860633346,True
02,11,f12,stranger,16,6,0.9678350562483219,True
02,11,f12,stranger,16,7,0.9214276432439522,True
02,11,f12,stranger,16,8,0.9815494589680499,True
02,11,f12,stranger,16,9,0.943367084765142,True
02,11,f12,stranger,16,11,0.8477912478906585,True
02,11,f12,stranger,16,12,0.9549191084050641,True
02,11,f12,stranger,16,13,0.476159474530405,True
02,11,f12,stranger,16,14,0.9894010019347474,True
02,11,f12,stranger,16,15,0.9435433344706665,True
02,11,f12,stranger,16,17,0.8863674476885879,True
02,11,f12,stranger,16,19,0.6318985477494685,True
02,11,f12,stranger,17,0,0.4101734961193464,True
02,11,f12,stranger,17,1,0.9394387904110234,True
02,11,f12,stranger,17,2,0.4946631254546167,True
02,11,f12,stranger,17,3,0.75,True
02,11,f12,stranger,17,4,0.5899629110236018,True
02,11,f12,stranger,17,5,0.5706304441348927,True
02,11,f12,stranger,17,6,0.9836759152841497,True
02,11,f12,stranger,17,7,0.7747572701427258,True
02,11,f12,stranger,17,8,0.24227134159387903,True
02,11,f12,stranger,17,9,0.9785251375954661,True
02,11,f12,stranger,17,10,0.6816018349683387,True
02,11,f12,stranger,17,11,0.33171555777142203,True
02,11,f12,stranger,17,12,0.29841501679413446,True
02,11,f12,stranger,17,13,0.7056322916473725,True
02,11,f12,stranger,17,14,0.5652282943124469,True
02,11,f12,stranger,17,15,0.31813791772418065,True
02,11,f12,stranger,17,16,0.734175652612431,True
02,11,f12,stranger,17,18,0.5043280144410232,True
02,11,f12,stranger,17,19,0.81705086649452,True
02,11,f12,stranger,18,0,0.8491168525964683,True
02,11,f12,stranger,18,1,0.879977700915562,True
02,11,f12,stranger,18,2,0.8275922813472981,True
02,11,f12,stranger,18,3,0.3765492654720193,True
02,11,f12,stranger,18,4,0.4205611224947102,True
02,11,f12,stranger,18,6,0.9489042960950055,True
02,11,f12,stranger,18,7,0.9629158877709824,True
