candidate,matrix_id,kind,relation,source_lineage,target_lineage,generation,h,comparison_complete
02,11,strict,stranger,0,24,5,0.06356417261637283,True
02,11,strict,stranger,0,24,6,0.008500869258324769,True
02,11,strict,stranger,0,24,7,0.02586303000559359,True
02,11,strict,stranger,0,24,8,0.067672692661901,True
02,11,strict,stranger,0,28,1,0.02210585867692904,True
02,11,strict,stranger,0,28,2,0.3182074149501018,True
02,11,strict,stranger,0,28,3,0.21596173651707762,True
02,11,strict,stranger,0,28,4,0.06061014223455336,True
02,11,strict,stranger,0,28,5,0.18881372801234025,True
02,11,strict,stranger,0,28,6,0.09238425536915801,True
02,11,strict,stranger,0,28,7,0.188398055086813,True
02,11,strict,stranger,0,28,8,0.8654413169817804,True
02,11,strict,stranger,0,31,1,0.028988551782622423,True
02,11,strict,stranger,0,31,2,0.020077194636924568,True
02,11,strict,stranger,0,31,3,0.05729597091269406,True
02,11,strict,stranger,0,31,4,0.03232540919176179,True
02,11,strict,stranger,0,31,5,0.03185294946485159,True
02,11,strict,stranger,0,31,6,0.055649320272999264,True
02,11,strict,stranger,0,31,7,0.04461796566774508,True
02,11,strict,stranger,0,31,8,0.021828936571820733,True
02,11,strict,stranger,0,50,1,0.03105870063712512,True
02,11,strict,stranger,0,50,2,0.03237808098282633,True
02,11,strict,stranger,0,50,3,0.09296796411080283,True
02,11,strict,stranger,0,50,4,0.03034821003038457,True
02,11,strict,stranger,0,50,5,0.20935894733965596,True
02,11,strict,stranger,0,50,6,0.30081426728234784,True
02,11,strict,stranger,0,50,7,0.14478512671975205,True
02,11,strict,stranger,0,50,8,0.08200301621374763,True
02,11,strict,stranger,0,56,1,0.010246713813442394,True
02,11,strict,stranger,0,56,2,0.01647448693645269,True
02,11,strict,stranger,0,56,3,0.011494337240934696,True
02,11,strict,stranger,0,56,4,0.002833145407587294,True
02,11,strict,stranger,0,56,5,0.0,True
02,11,strict,stranger,0,56,6,0.0027772635173313126,True
02,11,strict,stranger,0,56,7,0.035120162873645014,True
02,11,strict,stranger,0,56,8,0.07922879025469612,True
02,11,strict,stranger,0,57,1,0.008982800927271592,True
02,11,strict,stranger,0,57,2,0.010430823984715148,True
02,11,strict,stranger,0,57,3,0.023166195839970913,True
02,11,strict,stranger,0,57,4,0.0,True
02,11,strict,stranger,0,57,5,0.012465959866779428,True
02,11,strict,stranger,0,57,6,0.05296155868094922,True
02,11,strict,stranger,0,57,7,0.03260507949517337,True
02,11,strict,stranger,0,57,8,0.1253336335154817,True
02,11,strict,stranger,0,73,1,0.016980890270283114,True
02,11,strict,stranger,0,73,2,0.024496122264566694,True
02,11,strict,stranger,0,73,3,0.11234935523792569,True
02,11,strict,stranger,0,73,4,0.33957618712699955,True
02,11,strict,stranger,0,73,5,0.23433209643921707,True
02,11,strict,stranger,0,73,6,0.1257410466427364,True
02,11,strict,stranger,0,73,7,0.07067796440970114,True
02,11,strict,stranger,0,73,8,0.013842681324970638,True
02,11,strict,stranger,0,82,1,0.0412920069507667,True
02,11,strict,stranger,0,82,2,0.022679002359021753,True
02,11,strict,stranger,0,82,3,0.07740235306730042,True
02,11,strict,stranger,0,82,4,0.026282320845698752,True
02,11,strict,stranger,0,82,5,0.05165253323626364,True
02,11,strict,stranger,0,82,6,0.09445120647935316,True
02,11,strict,stranger,0,82,7,0.07353736389924108,True
02,11,strict,stranger,0,82,8,0.11727764197596816,True
02,11,strict,stranger,0,84,1,0.08196036734630362,True
02,11,strict,stranger,0,84,2,0.41630474253384775,True
02,11,strict,stranger,0,84,3,0.29077971994012114,True
02,11,strict,stranger,0,84,4,0.09823454450142248,True
02,11,strict,stranger,0,84,5,0.044946657497549475,True
02,11,strict,stranger,0,84,6,0.020878692266483083,True
02,11,strict,stranger,0,84,7,0.032411575830784016,True
02,11,strict,stranger,0,84,8,0.027436005959432616,True
02,11,strict,stranger,8,9,1,0.02333800140046683,True
02,11,strict,stranger,8,9,2,0.11044948680133351,True
02,11,strict,stranger,8,9,3,0.06425830007967165,True
02,11,strict,stranger,8,9,4,0.08780491983578383,True
02,11,strict,stranger,8,9,5,0.05012391592733771,True
02,11,strict,stranger,8,9,6,0.008347257041177223,True
02,11,strict,stranger,8,9,7,0.01546859341716103,True
02,11,strict,stranger,8,9,8,0.02562538609968587,True
02,11,strict,stranger,8,12,1,0.010708209436720593,True
02,11,strict,stranger,8,12,2,0.021294428377680627,True
02,11,strict,stranger,8,12,3,0.006556143813738833,True
02,11,strict,stranger,8,12,4,0.03128913589510993,True
02,11,strict,stranger,8,12,5,0.028750403388591746,True
02,11,strict,stranger,8,12,6,0.0,True
02,11,strict,stranger,8,12,7,0.030157904668809882,True
02,11,strict,stranger,8,12,8,0.03506479275681167,True
02,11,strict,stranger,8,24,1,0.027709944275358094,True
02,11,strict,stranger,8,24,2,0.02726209487601234,True
02,11,strict,stranger,8,24,3,0.05671308728156005,True
02,11,strict,stranger,8,24,4,0.04499212706658476,True
02,11,strict,stranger,8,24,5,0.038520846960085356,True
02,11,strict,stranger,8,24,6,0.015211385893403189,True
02,11,strict,stranger,8,24,7,0.008381490638178777,True
02,11,strict,stranger,8,24,8,0.014399299635098207,True
02,11,strict,stranger,8,28,1,0.025525646915585613,True
02,11,strict,stranger,8,28,2,0.391096050131684,True
02,11,strict,stranger,8,28,3,0.19641855032959654,True
02,11,strict,stranger,8,28,4,0.11240360037823714,True
02,11,strict,stranger,8,28,5,0.29521383205483576,True
02,11,strict,stranger,8,28,6,0.1744956101130282,True
02,11,strict,stranger,8,28,7,0.48578212394362147,True
02,11,strict,stranger,8,28,8,0.8177973569331235,True
02,11,strict,stranger,8,31,1,0.03347309635022892,True
02,11,strict,stranger,8,31,2,0.019801049289444646,True
02,11,strict,stranger,8,31,3,0.0,True
02,11,strict,stranger,8,31,4,0.10952145677879517,True
02,11,strict,stranger,8,31,5,0.12045301395742894,True
02,11,strict,stranger,8,31,6,0.07845573930760598,True
02,11,strict,stranger,8,31,7,0.6072966926625419,True
02,11,strict,stranger,8,31,8,0.2496542475281332,True
02,11,strict,stranger,8,50,1,0.016650909946843893,True
02,11,strict,stranger,8,50,2,0.036494568035742345,True
02,11,strict,stranger,8,50,3,0.030132307647037917,True
02,11,strict,stranger,8,50,4,0.0974108125248996,True
02,11,strict,stranger,8,50,5,0.39246567242155594,True
02,11,strict,stranger,8,50,6,0.41345729261197156,True
02,11,strict,stranger,8,50,7,0.5004889976718835,True
02,11,strict,stranger,8,50,8,0.30199301949338936,True
02,11,strict,stranger,8,56,1,0.011831885957000047,True
02,11,strict,stranger,8,56,2,0.018569021575899434,True
02,11,strict,stranger,8,56,3,0.0,True
02,11,strict,stranger,8,56,4,0.009093748721191676,True
02,11,strict,stranger,8,56,5,0.0032293704710432015,True
02,11,strict,stranger,8,56,6,0.0033130750755028947,True
02,11,strict,stranger,8,56,7,0.03841246336650167,True
02,11,strict,stranger,8,56,8,0.06181336224414778,True
02,11,strict,stranger,8,57,1,0.010372445066874148,True
02,11,strict,stranger,8,57,2,0.01175697891981154,True
02,11,strict,stranger,8,57,3,0.0,True
