rule,notation,strict,break_by_8,median_gen_sweeps,mean_survival,library_size,in_band,support_masks,n_futures,total_sweeps
14931,B1345/S0146,0.0,0.255859375,4.0,32.0,1,False,32628,512,65536
15018,B1345/S1357,0.0,0.234375,4.0,32.0,2,False,32372|32628,512,65536
15019,B1345/S01357,0.0,0.111328125,4.0,32.0,2,False,32372|32596,512,65536
15149,B1345/S02358,0.0,0.013671875,4.0,32.0,1,False,30425,512,65536
15151,B1345/S012358,0.0,0.0078125,4.0,32.0,2,False,31823|32348,512,65536
15158,B1345/S12458,0.0,0.17578125,4.0,32.0,3,False,32342|32348|32468,512,65536
15187,B1345/S01468,0.0,0.2890625,4.0,32.0,1,False,32628,512,65536
15275,B1345/S013578,0.0,0.16796875,4.0,32.0,3,False,32372|32596|32624,512,65536
15339,B1345/S0135678,0.013671875,0.33203125,4.0,31.607421875,4,True,21568|25664|28736|29696,512,180007
15473,B2345/S0456,0.255859375,0.46875,4.0,27.2890625,3,True,29796|30032|30048,512,56800
15477,B2345/S02456,0.09765625,0.150390625,4.0,30.751953125,3,True,29764|30016|30020,512,64267
15589,B2345/S02567,0.083984375,0.423828125,4.0,30.6953125,1,True,30048,512,62867
15733,B2345/S024568,0.115234375,0.162109375,4.0,30.275390625,3,True,29776|30288|31808,512,64528
15780,B2345/S2578,0.0,0.201171875,4.0,32.0,1,False,32628,512,65536
15955,B12345/S0146,0.0,0.25,4.0,32.0,4,False,32341|32350|32468|32588,512,65536
16173,B12345/S02358,0.0,0.05078125,4.0,32.0,1,False,32340,512,65536
16233,B12345/S03568,0.0,0.228515625,4.0,32.0,3,False,30068|32100|32580,512,65536
16237,B12345/S023568,0.0,0.056640625,4.0,32.0,2,False,30576|32340,512,65536
16253,B12345/S0234568,0.10546875,0.27734375,4.0,30.0859375,2,True,13904|15428,512,253793
16385,B6/S0,0.0,0.0,43.0,8.18359375,0,False,,512,223645
16396,B6/S23,0.0,0.19921875,31.0,3.728515625,1,False,139,512,100463
16401,B6/S04,0.0,0.0,42.0,8.83203125,0,False,,512,237695
16951,B16/S01245,0.0,0.048828125,4.0,31.94140625,1,False,2187,512,234822
17000,B16/S356,0.0,0.0,4.0,32.0,0,False,,512,65536
17408,B26/S,0.0,0.005859375,4.0,31.248046875,1,False,155,512,65737
17474,B26/S16,0.0,0.02734375,4.0,32.0,1,False,2719,512,65592
17706,B26/S1358,0.0,0.00390625,4.0,32.0,1,False,2751,512,65632
17770,B26/S13568,0.0,0.0859375,4.0,32.0,1,False,2975,512,65635
17971,B126/S0145,0.0,0.0390625,4.0,32.0,2,False,19135|19359,512,65536
17975,B126/S01245,0.0078125,0.04296875,4.0,31.873046875,4,True,3007|3039|19135|23199,512,65276
18160,B126/S4567,0.310546875,0.435546875,4.0,26.78515625,1,True,29760,512,176926
18161,B126/S04567,0.2578125,0.43359375,4.0,28.001953125,1,True,29760,512,193604
18163,B126/S014567,0.251953125,0.375,4.0,27.498046875,1,True,29760,512,186588
18192,B126/S48,0.0,0.001953125,4.0,32.0,1,False,7071,512,65536
18282,B126/S13568,0.0,0.01953125,4.0,32.0,1,False,19391,512,65536
18444,B36/S23,0.001953125,0.11328125,4.5,18.349609375,5,False,139|155|2187|2207|2719,512,76940
18453,B36/S024,0.0,0.001953125,8.0,29.390625,1,False,139,512,288417
18464,B36/S5,0.0,0.0,11.0,2.271484375,0,False,,512,61677
18470,B36/S125,0.001953125,0.095703125,4.5,18.353515625,3,False,139|143|655,512,78900
18478,B36/S1235,0.005859375,0.046875,4.5,31.318359375,5,True,3071|7103|11199|11999|12275,512,68468
18581,B36/S0247,0.0,0.0,6.5,29.609375,0,False,,512,288054
18743,B36/S012458,0.0,0.021484375,5.0,31.9375,5,False,10751|11759|19423|23263|25567,512,70554
18815,B36/S01234568,0.146484375,0.216796875,5.0,29.640625,3,True,15428|29776|30272,512,65812
18837,B36/S02478,0.0,0.009765625,5.5,29.681640625,1,False,139,512,288715
18890,B36/S13678,0.0,0.109375,6.5,7.67578125,1,False,139,512,104394
18906,B36/S134678,0.017578125,0.119140625,5.5,18.7578125,5,True,2479|2975|18591|19135|19359,512,80046
18980,B136/S25,0.0,0.0,4.0,32.0,0,False,,512,65536
19147,B136/S01367,0.0,0.005859375,4.0,32.0,1,False,3007,512,65536
19418,B136/S134678,0.0,0.13671875,4.0,32.0,4,False,31612|31951|32625|32628,512,65536
19468,B236/S23,0.0,0.005859375,4.0,32.0,2,False,24223|31391,512,65536
19520,B236/S6,0.0,0.03515625,4.0,32.0,3,False,2751|2975|3007,512,65536
19552,B236/S56,0.0,0.037109375,4.0,32.0,1,False,3007,512,65536
19554,B236/S156,0.0,0.1640625,4.0,32.0,3,False,19135|19359|20127,512,65536
19907,B236/S01678,0.0,0.125,4.0,32.0,3,False,19167|19359|23199,512,65536
19911,B236/S012678,0.00390625,0.177734375,4.0,31.91796875,3,False,19167|23199|27295,512,65368
20064,B1236/S56,0.001953125,0.337890625,4.0,31.99609375,3,False,20191|24223|31391,512,65528
20099,B1236/S017,0.0,0.443359375,4.0,32.0,4,False,19167|20127|27295|29403,512,65536
20353,B1236/S078,0.001953125,0.37109375,4.0,31.96484375,3,False,19167|23199|30363,512,65464
20355,B1236/S0178,0.001953125,0.43359375,4.0,31.984375,4,False,19167|19615|23199|27295,512,65504
20419,B1236/S01678,0.0,0.517578125,4.0,32.0,4,False,19167|20127|23199|27855,512,65536
20481,B46/S0,0.0,0.0,42.0,9.62109375,0,False,,512,253626
20576,B46/S56,0.0,0.0,30.0,1.78515625,0,False,,512,54745
20704,B46/S567,0.0,0.0,29.0,1.7421875,0,False,,512,54088
20705,B46/S0567,0.0,0.0,43.5,9.00390625,0,False,,512,240272
21019,B146/S0134,0.0,0.017578125,4.0,32.0,3,False,3007|23023|27551,512,65536
21023,B146/S01234,0.0,0.001953125,4.0,32.0,1,False,31943,512,65536
21216,B146/S567,0.0,0.001953125,4.0,31.939453125,1,False,2719,512,65416
21264,B146/S48,0.0,0.0,4.0,31.939453125,0,False,,512,65416
21279,B146/S012348,0.0,0.005859375,4.0,32.0,2,False,32343|32470,512,65536
21616,B246/S456,0.05859375,0.546875,4.0,30.6953125,1,True,32340,512,63583
21680,B246/S457,0.005859375,0.072265625,4.0,31.74609375,7,True,9727|27103|30331|30588|31959|32477|32628,512,65299
21744,B246/S4567,0.546875,0.95703125,4.0,21.37890625,1,False,29760,512,165937
21746,B246/S14567,0.369140625,0.828125,4.0,24.802734375,2,True,21568|29760,512,207886
21866,B246/S13568,0.0,0.125,4.0,32.0,1,False,32628,512,65570
21916,B246/S23478,0.0,0.068359375,4.0,32.0,3,False,32350|32476|32598,512,65654
21972,B246/S24678,0.015625,0.111328125,4.0,31.44921875,7,True,30588|30686|31966|32461|32485|32604|32625,512,65321
21974,B246/S124678,0.0,0.12890625,4.0,32.0,3,False,32107|32604|32628,512,65537
21980,B246/S234678,0.046875,0.271484375,4.0,31.31640625,3,True,30544|31828|32340,512,64307
21981,B246/S0234678,0.083984375,0.25,4.0,30.681640625,5,True,30292|30580|31828|32336|32340,512,63015
22017,B1246/S0,0.0,0.0,4.0,32.0,0,False,,512,65536
22290,B1246/S148,0.0,0.015625,4.0,32.0,2,False,15263|19391,512,65536
22298,B1246/S1348,0.0,0.087890625,4.0,32.0,2,False,30430|32469,512,65536
22362,B1246/S13468,0.0,0.103515625,4.0,32.0,1,False,32628,512,65536
22540,B346/S23,0.0078125,0.09765625,4.0,30.34765625,4,True,19103|19167|23199|27295,512,68550
22541,B346/S023,0.0,0.013671875,4.5,31.9375,5,False,20127|25311|27295|28375|29343,512,68502
22573,B346/S0235,0.00390625,0.048828125,4.0,31.888671875,4,False,32347|32349|32469|32476,512,67919
22669,B346/S0237,0.0,0.01171875,4.5,32.0,3,False,24223|25311|32399,512,68450
22677,B346/S0247,0.00390625,0.005859375,4.5,31.09765625,2,False,4031|29567,512,90495
22856,B346/S368,0.0,0.044921875,5.0,12.1875,2,False,139|2183,512,73923
22858,B346/S1368,0.001953125,0.0859375,5.0,19.0859375,3,False,139|395|28375,512,75373
22984,B346/S3678,0.0,0.04296875,5.0,12.236328125,2,False,11|139,512,75591
23457,B1346/S0578,0.0,0.123046875,4.0,32.0,1,False,3007,512,65536
24065,B12346/S0,0.00390625,0.275390625,4.0,31.923828125,3,False,29903|29915|31947,512,65380
24081,B12346/S04,0.0,0.232421875,4.0,32.0,3,False,30302|30421|32334,512,65536
24234,B12346/S1357,0.0,0.03515625,4.0,32.0,4,False,32372|32596|32597|32620,512,65536
24238,B12346/S12357,0.0,0.009765625,4.0,32.0,2,False,32372|32596,512,65536
24254,B12346/S123457,0.0,0.00390625,4.0,32.0,2,False,30292|32340,512,65536
24343,B12346/S01248,0.0,0.10546875,4.0,32.0,4,False,29903|29917|30411|32286,512,65536
24407,B12346/S012468,0.0,0.1875,4.0,32.0,3,False,32333|32372|32596,512,65536
24494,B12346/S123578,0.0,0.1796875,4.0,32.0,3,False,32116|32337|32596,512,65536
24970,B56/S1378,0.0,0.076171875,31.0,4.16015625,2,False,139|651,512,108781
24971,B56/S01378,0.0,0.0,57.0,2.98828125,0,False,,512,102512
25051,B56/S0134678,0.0,0.0,59.0,3.12109375,0,False,,512,101608
25664,B256/S6,0.0,0.0,4.0,32.0,0,False,,512,65584
25666,B256/S16,0.0,0.041015625,4.0,32.0,2,False,2719|2747,512,65584
25922,B256/S168,0.0,0.033203125,4.0,32.0,1,False,2719,512,65582
26128,B1256/S4,0.0,0.0,4.0,32.0,0,False,,512,65536
26167,B1256/S01245,0.0,0.01953125,4.0,32.0,3,False,32374|32380|32596,512,65536
26328,B1256/S3467,0.0,0.087890625,4.0,32.0,4,False,32116|32372|32596|32624,512,65536
26353,B1256/S04567,0.439453125,0.541015625,4.0,23.259765625,3,True,13376|21568|28736,512,142307
26384,B1256/S48,0.0,0.0,4.0,32.0,0,False,,512,65536
26416,B1256/S458,0.0,0.068359375,4.0,32.0,4,False,19135|24223|27359|32469,512,65536
26662,B356/S125,0.009765625,0.037109375,4.5,18.416015625,4,True,927|2191|2447|3007,512,69049
26975,B356/S0123468,0.087890625,0.275390625,4.5,30.388671875,4,True,32084|32372|32596|32612,512,64344
27007,B356/S01234568,0.05078125,0.255859375,5.0,31.12109375,3,True,30272|30288|31812,512,65629
27098,B356/S134678,0.1171875,0.185546875,5.0,21.947265625,7,True,16523|20544|20619|24576|25600|28672|29760,512,76836
27519,B1356/S01234568,0.0,0.228515625,4.0,32.0,3,False,29764|31812|32320,512,65536
27574,B1356/S124578,0.0,0.287109375,4.0,32.0,1,False,32340,512,65536
27592,B1356/S3678,0.0,0.01953125,4.0,32.0,3,False,3071|11199|30427,512,65536
27913,B2356/S038,0.0,0.146484375,4.0,32.0,2,False,27359|31391,512,65536
28343,B12356/S012457,0.0,0.087890625,4.0,32.0,2,False,31860|32340,512,65536
28875,B456/S01367,0.0,0.013671875,49.0,16.19140625,1,False,139,512,282290
29067,B456/S01378,0.0,0.03125,49.0,15.88671875,1,False,139,512,281898
29122,B456/S1678,0.0,0.0546875,31.0,3.744140625,1,False,139,512,98079
29130,B456/S13678,0.0,0.068359375,30.0,3.9765625,2,False,11|139,512,93853
29138,B456/S14678,0.0,0.1015625,30.0,3.810546875,2,False,11|139,512,92620
29978,B2456/S1348,0.0,0.05859375,4.0,32.0,2,False,32349|32469,512,65568
30031,B2456/S012368,0.0,0.025390625,4.0,32.0,2,False,32612|32628,512,65536
30053,B2456/S02568,0.052734375,0.384765625,4.0,31.015625,5,True,32100|32340|32368|32580|32592,512,63582
30061,B2456/S023568,0.138671875,0.4296875,4.0,29.291015625,3,True,30532|31828|32324,512,60083
30325,B12456/S02456,0.0,0.35546875,4.0,32.0,2,False,30292|31828,512,65536
30394,B12456/S13457,0.0,0.078125,4.0,32.0,3,False,31828|32324|32340,512,65536
30424,B12456/S3467,0.001953125,0.296875,4.0,31.9609375,3,False,30292|31828|32324,512,65456
30425,B12456/S03467,0.001953125,0.28125,4.0,31.9609375,3,False,30320|31828|32324,512,65456
30432,B12456/S567,0.07421875,0.107421875,4.0,30.69140625,3,True,21568|25664|29760,512,72929
30490,B12456/S1348,0.0,0.056640625,4.0,32.0,1,False,32342,512,65536
30565,B12456/S02568,0.0,0.19140625,4.0,32.0,2,False,30576|31860,512,65536
30581,B12456/S024568,0.0,0.400390625,4.0,32.0,2,False,30288|31812,512,65536
30589,B12456/S0234568,0.0,0.001953125,4.0,32.0,1,False,29780,512,65536
30688,B12456/S5678,0.16796875,0.904296875,4.0,19.89453125,6,True,21504|21568|24640|25664|28736|29696,512,297772
30692,B12456/S25678,0.083984375,0.74609375,4.0,19.939453125,4,True,21568|25664|28736|29696,512,334930
30923,B3456/S01367,0.029296875,0.158203125,4.5,31.251953125,2,True,32372|32596,512,68280
30930,B3456/S1467,0.0078125,0.126953125,5.0,15.029296875,3,True,139|20683|30324,512,76605
