cohort,implementation,role,candidate,half,model,log_loss_nats,brier,overall_spearman,matrix_centered_spearman,states,branches
codex_primary,independent_test_1_codex,primary,03,B,lagged,0.5819827354435294,0.20084784831603122,0.7717561508391027,0.31746878604686196,1000,32000
fable_primary,independent_test_2_fable,primary,02,A,direct,0.5307350679953385,0.17916150751862195,0.7932519913888509,0.3135478330900519,1000,32000
fable_primary,independent_test_2_fable,primary,02,A,composite,0.48718077448076996,0.16533596183680457,0.905616799769571,0.6872092881235085,1000,32000
fable_primary,independent_test_2_fable,primary,02,A,markov,0.6540835620114165,0.23055197695913474,0.33830886343928596,0.18178253895451957,1000,32000
fable_primary,independent_test_2_fable,primary,02,A,semimarkov,0.598974626478238,0.20464348053618134,0.5340569005987342,0.22777518331562044,1000,32000
fable_primary,independent_test_2_fable,primary,02,A,lagged,0.5170169223902058,0.17530146474323516,0.8286719011919889,0.3022664547561384,1000,32000
fable_primary,independent_test_2_fable,primary,02,B,direct,0.5328172369988304,0.18030493329333835,0.7958977627969883,0.291459095955664,1000,32000
fable_primary,independent_test_2_fable,primary,02,B,composite,0.4895560103597236,0.1664631939200213,0.9094496215178114,0.6686905034579459,1000,32000
fable_primary,independent_test_2_fable,primary,02,B,markov,0.6549212820180402,0.2309664988939715,0.3376737484028935,0.16347905775856414,1000,32000
fable_primary,independent_test_2_fable,primary,02,B,semimarkov,0.6018750632079465,0.20601912280434867,0.5266059956035666,0.1936810739161746,1000,32000
fable_primary,independent_test_2_fable,primary,02,B,lagged,0.5173621353616238,0.17565779178950322,0.8377236739278356,0.2935637643853001,1000,32000
fable_primary,independent_test_2_fable,primary,03,A,direct,0.5556710457623352,0.19003897037546916,0.769900465689513,0.3289479608360939,1000,32000
fable_primary,independent_test_2_fable,primary,03,A,composite,0.5079789969639695,0.17334746607207766,0.9046089057260854,0.6941160281207265,1000,32000
fable_primary,independent_test_2_fable,primary,03,A,markov,0.678551095081122,0.24271659901475384,0.3102047678037755,0.13366877421131693,1000,32000
fable_primary,independent_test_2_fable,primary,03,A,semimarkov,0.6235974986335684,0.2162011297070973,0.47684357098714025,0.18581365769726657,1000,32000
fable_primary,independent_test_2_fable,primary,03,A,lagged,0.5413272804030044,0.18553620595812956,0.8109155663553511,0.307067998651798,1000,32000
fable_primary,independent_test_2_fable,primary,03,B,direct,0.559378649552119,0.1916549976045329,0.7638905273059495,0.3269644555334472,1000,32000
fable_primary,independent_test_2_fable,primary,03,B,composite,0.5118902765761122,0.17498046900798903,0.9027225143644242,0.6919135700113314,1000,32000
fable_primary,independent_test_2_fable,primary,03,B,markov,0.6788341267842077,0.24285654064999793,0.30528780178152176,0.1486720290466511,1000,32000
fable_primary,independent_test_2_fable,primary,03,B,semimarkov,0.6249569699245184,0.21684545934943258,0.47386647764117945,0.19756427394447723,1000,32000
fable_primary,independent_test_2_fable,primary,03,B,lagged,0.5456855213126715,0.187395934347929,0.8049983451862225,0.3090799915339251,1000,32000
codex_headline,independent_test_1_codex,secondary_headline,02,A,direct,0.5695735723500001,0.19406455291034544,0.7002742181590141,0.3128433290022177,200,6400
codex_headline,independent_test_1_codex,secondary_headline,02,A,composite,0.5307228178684804,0.18105852530931726,0.8341311224997959,0.5459088885752552,200,6400
codex_headline,independent_test_1_codex,secondary_headline,02,A,markov,0.6380402941331356,0.22274671118642383,0.3107942198757115,0.19373495082765976,200,6400
codex_headline,independent_test_1_codex,secondary_headline,02,A,semimarkov,0.6255346837324658,0.2163707567399449,0.39402937122930437,0.20119873013945777,200,6400
codex_headline,independent_test_1_codex,secondary_headline,02,A,lagged,0.5651303098381375,0.19357948291789498,0.7109196198184663,0.19819237688729557,200,6400
