cohort,implementation,role,candidate,half,baseline,challenger,gain_nats,ci95_lower,ci95_upper,randomization_p_one_sided,matrices,branches,holm_p,cell_pass
codex_headline,independent_test_1_codex,secondary_headline,02,A,semimarkov,composite,0.09481186586398531,0.0682416646847848,0.12215041922676109,0.000244081034903588,40,6400,,False
codex_headline,independent_test_1_codex,secondary_headline,02,A,lagged,composite,0.034407491969657054,0.022441348431673277,0.04737047507912755,0.000244081034903588,40,6400,,False
codex_headline,independent_test_1_codex,secondary_headline,02,B,direct,composite,0.03524581437689972,0.022679929551150148,0.04780204078376,0.000244081034903588,40,6400,,False
codex_headline,independent_test_1_codex,secondary_headline,02,B,markov,composite,0.10604114961287063,0.05544800586182977,0.1592811394298562,0.000244081034903588,40,6400,,False
codex_headline,independent_test_1_codex,secondary_headline,02,B,semimarkov,composite,0.09113249042340754,0.06376268506745522,0.11983770802272023,0.000244081034903588,40,6400,,False
codex_headline,independent_test_1_codex,secondary_headline,02,B,lagged,composite,0.03158116527079308,0.020430402938552084,0.042444397773807346,0.000244081034903588,40,6400,,False
codex_headline,independent_test_1_codex,secondary_headline,03,A,direct,composite,0.035027593200985016,0.021755218551416242,0.047632678471575554,0.000244081034903588,40,6400,,False
codex_headline,independent_test_1_codex,secondary_headline,03,A,markov,composite,0.11534156325780241,0.05502835168073453,0.17715693329127202,0.000732243104710764,40,6400,,False
codex_headline,independent_test_1_codex,secondary_headline,03,A,semimarkov,composite,0.09549967478449471,0.0623760017047143,0.12975237254749428,0.000244081034903588,40,6400,,False
codex_headline,independent_test_1_codex,secondary_headline,03,A,lagged,composite,0.03041032585907276,0.017598553405946616,0.04337560350253441,0.000244081034903588,40,6400,,False
codex_headline,independent_test_1_codex,secondary_headline,03,B,direct,composite,0.034888767321669574,0.01843864856554725,0.05085395619116818,0.000244081034903588,40,6400,,False
codex_headline,independent_test_1_codex,secondary_headline,03,B,markov,composite,0.12017568306031226,0.06444319932215531,0.18487563264630347,0.000732243104710764,40,6400,,False
codex_headline,independent_test_1_codex,secondary_headline,03,B,semimarkov,composite,0.09057147066943333,0.055151951869688506,0.12640819219229688,0.000244081034903588,40,6400,,False
codex_headline,independent_test_1_codex,secondary_headline,03,B,lagged,composite,0.027569423803878845,0.011801965477198037,0.04247196633549944,0.000976324139614352,40,6400,,False
fable_headline,independent_test_2_fable,secondary_headline,02,A,direct,composite,0.04228252680387344,0.02976616110891883,0.05628526220583267,0.000244081034903588,40,6400,,False
fable_headline,independent_test_2_fable,secondary_headline,02,A,markov,composite,0.13473733340552674,0.07569494838845332,0.2005659299184527,0.000244081034903588,40,6400,,False
fable_headline,independent_test_2_fable,secondary_headline,02,A,semimarkov,composite,0.08969673118722127,0.05609743080639051,0.12450575779762386,0.000244081034903588,40,6400,,False
fable_headline,independent_test_2_fable,secondary_headline,02,A,lagged,composite,0.04009321748614326,0.027381823652436195,0.053697054636496634,0.000244081034903588,40,6400,,False
fable_headline,independent_test_2_fable,secondary_headline,02,B,direct,composite,0.042263274472544576,0.02646222161884377,0.05908257496096076,0.000244081034903588,40,6400,,False
fable_headline,independent_test_2_fable,secondary_headline,02,B,markov,composite,0.13658064847686527,0.08005389085355599,0.19925508665782382,0.000244081034903588,40,6400,,False
fable_headline,independent_test_2_fable,secondary_headline,02,B,semimarkov,composite,0.08997595866777942,0.057171517028001814,0.12430380106524383,0.000244081034903588,40,6400,,False
fable_headline,independent_test_2_fable,secondary_headline,02,B,lagged,composite,0.04087299844906287,0.025481690536066942,0.05740404930638742,0.000244081034903588,40,6400,,False
fable_headline,independent_test_2_fable,secondary_headline,03,A,direct,composite,0.04387326048140654,0.02918983178232689,0.05984121836543167,0.000244081034903588,40,6400,,False
fable_headline,independent_test_2_fable,secondary_headline,03,A,markov,composite,0.1307040213186619,0.08143233567987812,0.18731076089397655,0.000244081034903588,40,6400,,False
fable_headline,independent_test_2_fable,secondary_headline,03,A,semimarkov,composite,0.1012445194576215,0.07024406050691362,0.13420630507700224,0.000244081034903588,40,6400,,False
fable_headline,independent_test_2_fable,secondary_headline,03,A,lagged,composite,0.038441415465023596,0.025776442751354052,0.05309340984137382,0.000244081034903588,40,6400,,False
fable_headline,independent_test_2_fable,secondary_headline,03,B,direct,composite,0.05133531733528194,0.033895492838844334,0.06991904006514207,0.000244081034903588,40,6400,,False
fable_headline,independent_test_2_fable,secondary_headline,03,B,markov,composite,0.11840647201037523,0.06924328792722449,0.1743535046099213,0.000244081034903588,40,6400,,False
fable_headline,independent_test_2_fable,secondary_headline,03,B,semimarkov,composite,0.10196916050982424,0.06838679594422406,0.13812427598370514,0.000244081034903588,40,6400,,False
fable_headline,independent_test_2_fable,secondary_headline,03,B,lagged,composite,0.043980519440916875,0.027206170663552857,0.061042030641560246,0.000244081034903588,40,6400,,False
