cell,candidate,branch_half,matrix_id,mean_state_spearman,slope_numerator,slope_denominator,states
c02_A,02,A,162,0.069414459031800893,0.010149532156542225,0.042032535878096883,5
c02_A,02,A,163,0.46653391469888683,0.013551091756515973,0.020403394198981895,5
c02_A,02,A,164,0,0,0.00032183882473691935,5
c02_A,02,A,165,0.20051121229480723,0.055276122989258179,0.036833600361735011,5
c02_A,02,A,166,-0.094158381813839939,-0.002776514947994007,0.0065650184621243177,5
c02_A,02,A,167,0,0,0.00048041688250006142,5
c02_A,02,A,168,0.45334663219770499,0.006946616158610008,0.0059289701732483796,5
c02_A,02,A,169,0.051000156623572337,0.0042738239668025924,0.037680041910634725,5
c02_A,02,A,170,0.55982650557557501,0.10127063121965496,0.10393340913353863,5
c02_A,02,A,171,0.3280498082801323,0.11410396500108604,0.060218940645533313,5
c02_A,02,A,172,0,0,0.00095700360615141595,5
c02_A,02,A,173,-0.057557756492538706,0.057389930149210261,0.062416269976525635,5
c02_A,02,A,174,0.43506287558664525,0.083956740913662162,0.067241231855235867,5
c02_A,02,A,175,0.11075079396721939,0.014766995057563339,0.031209692170467207,5
c02_A,02,A,176,0.093477096464981688,0.074424405220784751,0.15976027836054102,5
c02_A,02,A,177,0.1561937404057675,0.0010064705034094719,0.016579496531506935,5
c02_A,02,A,178,0.22233618163204844,0.07158351695902862,0.070963180894667854,5
c02_A,02,A,179,0.026186146828319091,1.2257422090413634e-05,0.00012653388964937448,5
c02_A,02,A,180,0.24179911631807194,0.057986985843531097,0.057117000088511921,5
c02_A,02,A,181,0.34577700533549982,0.056272769355959422,0.039785524638461911,5
c02_A,02,A,182,-0.16004138985996072,0.00020312748294557133,0.0098248119899766017,5
c02_A,02,A,183,0.51012547391084229,0.067623410414570234,0.067399917964199807,5
c02_A,02,A,184,0.37836725257179588,0.048663222025100428,0.04794257334113234,5
c02_A,02,A,185,0.021739428003117948,0.052079856263219745,0.098933983136323067,5
c02_A,02,A,186,0.16793052524355154,0.034852905143301569,0.08583394635435565,5
c02_A,02,A,187,0.32891076917157119,0.056644943286817212,0.031359048204693728,5
c02_A,02,A,188,0,0,0.00016538401906536756,5
c02_A,02,A,189,-0.043242247749133746,0.0050605011761373714,0.022359596261426782,5
c02_A,02,A,190,0,0,1.0993902256585279e-05,5
c02_A,02,A,191,0,0,0.0085704749378980559,5
c02_A,02,A,192,0.11181307840393492,0.033166194522403852,0.056594718500996399,5
c02_A,02,A,193,0.55723487428997287,0.064205071163595237,0.050464292952804718,5
c02_A,02,A,194,0.58381682852195871,0.047147732874034037,0.032103689323331172,5
c02_A,02,A,195,0,0,4.3038505247537984e-06,5
c02_A,02,A,196,0.44402633886264076,0.049643021543501038,0.057487972714456242,5
c02_A,02,A,197,0.012344267996967351,0.0043912783181133787,0.038522852901633431,5
c02_A,02,A,198,0.33918852125246524,0.093625798714586927,0.1182526337238491,5
c02_A,02,A,199,0.50704343042748834,0.35316661046807835,0.60079892387428835,5
c02_B,02,B,0,0.55992778551893918,0.10618935630298279,0.16616090539649947,5
c02_B,02,B,1,0.73618621169472465,0.11710752567345435,0.071032563145051644,5
c02_B,02,B,2,0.66935980003353734,0.061403502030256817,0.073664370949378166,5
c02_B,02,B,3,-0.12745512912882734,0.0083244308953457184,0.044472974449687709,5
c02_B,02,B,4,0.52667569014222038,0.098159458250138221,0.10070981807313337,5
c02_B,02,B,5,0.19948861670654719,0.02255674781875764,0.023302559246888642,5
c02_B,02,B,6,0.59539774279234869,0.095849621471827198,0.058370893770418888,5
c02_B,02,B,7,0.13931189784106515,0.084138529111179888,0.21905574374045717,5
c02_B,02,B,8,0.3274115938595335,0.0074435915949787011,0.0084479529316677827,5
c02_B,02,B,9,0.44437509289000288,0.061878385331809907,0.054330807274876755,5
c02_B,02,B,10,0.54313756148072323,0.19452288316915875,0.16536683464185015,5
c02_B,02,B,11,-0.063906172228743799,-0.0015633144076882448,0.033212009309215133,5
c02_B,02,B,12,0.10800871658292206,0.011978620124613867,0.02544789645415603,5
c02_B,02,B,13,0.28439404920449557,0.024005762789341835,0.087890718007549759,5
c02_B,02,B,14,0,0,0.0015585654277012677,5
c02_B,02,B,15,0.64157753294190301,0.066674100314711729,0.042021614946424431,5
c02_B,02,B,16,0.54098039068584058,0.1050617072062028,0.080153861007696295,5
c02_B,02,B,17,0.49402772575082654,0.084648289473997926,0.0959209974628671,5
c02_B,02,B,18,0.26403014180381612,0.066487545042045376,0.040794550859287494,5
c02_B,02,B,19,0.44646325334156212,0.14315619750388622,0.096959093680218253,5
c02_B,02,B,20,0.030720334797612499,0.032962345432221575,0.035905512000394643,5
c02_B,02,B,21,0.20746620320129994,0.032755735459992816,0.075079376317840604,5
c02_B,02,B,22,0,0,2.6628713303998079e-06,5
c02_B,02,B,23,0.39439171458413336,0.066602906253493105,0.13062782256990257,5
c02_B,02,B,24,0.39365367784976935,0.044735459687122996,0.079144252494813438,5
c02_B,02,B,25,-0.029882525501195321,0.0059735723670221591,0.052386462397427794,5
c02_B,02,B,26,-0.052964089770284994,0.0031323784703325818,0.028251873387394794,5
c02_B,02,B,27,0.093776227217179431,0.00047142673524226686,0.0041616182437657391,5
c02_B,02,B,28,0.13844754050186353,0.013329413132589502,0.013133550009540789,5
c02_B,02,B,29,0.32016684928447758,0.0434263065608054,0.046447658106341258,5
c02_B,02,B,30,0.14021012996168247,0.046377281079995954,0.0963758880908865,5
c02_B,02,B,31,0.61794197447896793,0.080429805369966037,0.099167007951815725,5
c02_B,02,B,32,0.35980679613188005,0.1108150151568625,0.10906567998031284,5
