state_id,candidate,matrix_id,landmark,mass,occupied_types,previous_growth_steps,cumulative_growth_steps,prediction_Q00,q_all_Q00,q_half_A_Q00,q_half_B_Q00,prediction_Q20,q_all_Q20,q_half_A_Q20,q_half_B_Q20,prediction_Q40,q_all_Q40,q_half_A_Q40,q_half_B_Q40,prediction_Q60,q_all_Q60,q_half_A_Q60,q_half_B_Q60,prediction_Q80,q_all_Q80,q_half_A_Q80,q_half_B_Q80,prediction_Q100,q_all_Q100,q_half_A_Q100,q_half_B_Q100
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m002-g050,03,2,50,56,24,8,1187,0.20731047095200375,0.265625,0.21875,0.3125,0.24442701620457064,0.203125,0.21875,0.1875,0.2479721482898903,0.296875,0.25,0.34375,0.250773751247673,0.203125,0.21875,0.1875,0.25470234122779845,0.265625,0.1875,0.34375,0.3454263790736255,0.21875,0.25,0.1875
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m002-g065,03,2,65,45,22,19,1534,0.20451322678922698,0.171875,0.125,0.21875,0.25535099113988885,0.296875,0.28125,0.3125,0.2597956503455072,0.28125,0.34375,0.21875,0.2643047140878818,0.234375,0.34375,0.125,0.2694945706778865,0.234375,0.1875,0.28125,0.534233674103119,0.546875,0.625,0.46875
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m002-g080,03,2,80,42,15,21,1860,0.33157061496314577,0.1875,0.21875,0.15625,0.55048684873378,0.328125,0.40625,0.25,0.5576093747728809,0.25,0.15625,0.34375,0.5644106682332605,0.296875,0.21875,0.375,0.5717316252319705,0.34375,0.40625,0.28125,0.5882689501038701,0.46875,0.5,0.4375
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m003-g020,02,3,20,40,19,42,1020,0.34621415546029877,0.234375,0.28125,0.1875,0.3828656725813824,0.265625,0.28125,0.25,0.39133698255441185,0.25,0.25,0.25,0.39673604076444263,0.1875,0.1875,0.1875,0.40374758482012624,0.203125,0.21875,0.1875,0.4363385016909156,0.1875,0.1875,0.1875
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m003-g035,02,3,35,40,27,45,1890,0.4611170634234989,0.234375,0.21875,0.25,0.5041422894038488,0.328125,0.25,0.40625,0.5099277578882458,0.25,0.21875,0.28125,0.5148932993492024,0.25,0.28125,0.21875,0.5212655243475303,0.15625,0.21875,0.09375,0.5822692249891369,0.3125,0.3125,0.3125
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m003-g050,02,3,50,40,14,27,2616,0.2790128304134645,0.296875,0.28125,0.3125,0.3994499967895408,0.421875,0.34375,0.5,0.4082322877226833,0.453125,0.375,0.53125,0.41572528556389476,0.34375,0.34375,0.34375,0.42562007214876824,0.421875,0.28125,0.5625,0.47459701984412483,0.546875,0.6875,0.40625
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m003-g065,02,3,65,40,26,63,3535,0.5200277545518286,0.1875,0.1875,0.1875,0.5700898738579314,0.125,0.1875,0.0625,0.5756319787346658,0.125,0.09375,0.15625,0.5802687686582789,0.203125,0.25,0.15625,0.586124087940437,0.21875,0.15625,0.28125,0.6161294491537044,0.109375,0.09375,0.125
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m003-g080,02,3,80,40,20,53,4217,0.4201896079167044,0.421875,0.40625,0.4375,0.4746319483402938,0.515625,0.5,0.53125,0.4817112479271491,0.421875,0.40625,0.4375,0.48825770620814063,0.359375,0.28125,0.4375,0.4955884455286453,0.46875,0.46875,0.46875,0.5309983206907044,0.359375,0.40625,0.3125
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m003-g020,03,3,20,36,22,39,712,0.5566170591142329,0.34375,0.375,0.3125,0.6067105995088203,0.21875,0.1875,0.25,0.6134814085859162,0.21875,0.1875,0.25,0.6176864451881533,0.265625,0.3125,0.21875,0.6244401896147698,0.265625,0.25,0.28125,0.6507403808921257,0.328125,0.3125,0.34375
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m003-g035,03,3,35,40,25,48,1369,0.5402458616835591,0.5,0.59375,0.40625,0.6409380203745324,0.71875,0.71875,0.71875,0.6533436627855048,0.734375,0.6875,0.78125,0.6579875318804025,0.640625,0.59375,0.6875,0.662617216726225,0.703125,0.625,0.78125,0.678983485119243,0.65625,0.71875,0.59375
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m003-g050,03,3,50,45,25,59,2137,0.5208488670886352,0.515625,0.5,0.53125,0.6182063401208098,0.671875,0.6875,0.65625,0.6322306459468511,0.5,0.5,0.5,0.6372230636089097,0.59375,0.65625,0.53125,0.6412600820107688,0.671875,0.625,0.71875,0.6626011425917772,0.71875,0.75,0.6875
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m003-g065,03,3,65,36,18,36,2686,0.35227012680068337,0.25,0.21875,0.28125,0.5028700018266798,0.359375,0.34375,0.375,0.5118351474117534,0.453125,0.46875,0.4375,0.5182381353548838,0.34375,0.4375,0.25,0.5260287789242356,0.453125,0.34375,0.5625,0.5454580372662664,0.34375,0.40625,0.28125
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m003-g080,03,3,80,35,10,44,3267,0.07331762822957111,0.203125,0.1875,0.21875,0.09176691856266657,0.25,0.28125,0.21875,0.09463294248997087,0.234375,0.1875,0.28125,0.10230427016712958,0.09375,0.09375,0.09375,0.12344806081561745,0.25,0.125,0.375,0.13448248797421913,0.1875,0.28125,0.09375
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m004-g020,02,4,20,40,11,32,1102,0.02864704944178201,0.203125,0.1875,0.21875,0.048060971581204634,0.25,0.25,0.25,0.04999865702022385,0.3125,0.40625,0.21875,0.05308303385931678,0.25,0.28125,0.21875,0.05731755008195987,0.40625,0.4375,0.375,0.13967824150350738,0.34375,0.4375,0.25
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m004-g035,02,4,35,40,13,94,1777,0.12907531292585617,0.203125,0.1875,0.21875,0.24415901094178497,0.46875,0.4375,0.5,0.25266221453806065,0.40625,0.34375,0.46875,0.25943585935329705,0.484375,0.5,0.46875,0.26516563548627126,0.484375,0.53125,0.4375,0.28936010360705283,0.4375,0.4375,0.4375
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m004-g050,02,4,50,40,16,79,2808,0.21521159390304695,0.3125,0.28125,0.34375,0.27284385539932415,0.375,0.40625,0.34375,0.2796734369636515,0.5,0.59375,0.40625,0.2853709294114937,0.375,0.28125,0.46875,0.2975018322137381,0.453125,0.46875,0.4375,0.376874071149048,0.421875,0.375,0.46875
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m004-g065,02,4,65,40,16,13,3815,0.252661265685573,0.25,0.28125,0.21875,0.41319934064089187,0.34375,0.40625,0.28125,0.42055045356552795,0.40625,0.375,0.4375,0.42567791503891517,0.4375,0.46875,0.40625,0.4339865709818627,0.375,0.40625,0.34375,0.4628019613883535,0.3125,0.25,0.375
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m004-g080,02,4,80,40,22,66,4524,0.30770723912518066,0.390625,0.28125,0.5,0.49561367721611216,0.671875,0.6875,0.65625,0.5037091260344526,0.53125,0.59375,0.46875,0.5089691590100599,0.703125,0.6875,0.71875,0.51547410975618,0.8125,0.84375,0.78125,0.5347526571903068,0.8125,0.8125,0.8125
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m004-g020,03,4,20,45,23,56,1020,0.4357987720397608,0.34375,0.34375,0.34375,0.5910828257914426,0.703125,0.75,0.65625,0.6020752298123625,0.75,0.78125,0.71875,0.6124851289842956,0.671875,0.71875,0.625,0.6198233134391812,0.765625,0.78125,0.75,0.6379319588858425,0.734375,0.65625,0.8125
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m004-g035,03,4,35,29,13,50,1786,0.1320803246792635,0.265625,0.1875,0.34375,0.39250052581909967,0.515625,0.46875,0.5625,0.40037028724301127,0.484375,0.46875,0.5,0.40697449993970825,0.578125,0.625,0.53125,0.4147213765479818,0.59375,0.5625,0.625,0.44437416747518205,0.515625,0.5625,0.46875
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m004-g050,03,4,50,49,26,145,2907,0.4807292659435082,0.328125,0.3125,0.34375,0.6765677357716582,0.734375,0.84375,0.625,0.6894108028479247,0.65625,0.65625,0.65625,0.6937319190998165,0.65625,0.6875,0.625,0.7003114598023685,0.71875,0.75,0.6875,0.7310825783967977,0.671875,0.6875,0.65625
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m004-g065,03,4,65,43,12,32,3641,0.1549399316201587,0.3125,0.34375,0.28125,0.33644827812608213,0.46875,0.4375,0.5,0.34302568160390995,0.421875,0.4375,0.40625,0.35033150953786363,0.53125,0.59375,0.46875,0.3589917607963105,0.359375,0.25,0.46875,0.5009854516662808,0.5,0.46875,0.53125
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m004-g080,03,4,80,36,19,55,4409,0.29553995763589974,0.28125,0.25,0.3125,0.3733939594926107,0.375,0.375,0.375,0.37829700053195564,0.4375,0.4375,0.4375,0.3848749930676004,0.3125,0.4375,0.1875,0.39034610016739124,0.25,0.21875,0.28125,0.6672959828690694,0.65625,0.59375,0.71875
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m005-g020,02,5,20,40,17,29,663,0.18596019555680715,0.015625,0.0,0.03125,0.2422794032535814,0.0625,0.09375,0.03125,0.2504599263107011,0.140625,0.0625,0.21875,0.2566928608257609,0.1875,0.21875,0.15625,0.2629541815235049,0.171875,0.03125,0.3125,0.2863793162187247,0.21875,0.25,0.1875
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m005-g035,02,5,35,40,17,51,1245,0.1572933426946085,0.0,0.0,0.0,0.20942614485735814,0.125,0.15625,0.09375,0.21677390368645932,0.125,0.1875,0.0625,0.22229992505148902,0.109375,0.125,0.09375,0.2314803927277622,0.078125,0.09375,0.0625,0.270652067953089,0.15625,0.1875,0.125
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m005-g050,02,5,50,40,19,46,1760,0.09085289648587705,0.0,0.0,0.0,0.13148129923203772,0.046875,0.0625,0.03125,0.1356968006840339,0.046875,0.09375,0.0,0.14039042669801663,0.078125,0.03125,0.125,0.14419938077248548,0.09375,0.0625,0.125,0.15965231762861284,0.0,0.0,0.0
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m005-g065,02,5,65,40,16,33,2333,0.07480136375055346,0.015625,0.0,0.03125,0.12496667983334342,0.015625,0.03125,0.0,0.12909370823627422,0.015625,0.0,0.03125,0.13259360494895864,0.015625,0.03125,0.0,0.13672429187544524,0.015625,0.03125,0.0,0.14668857304844096,0.015625,0.03125,0.0
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m005-g080,02,5,80,40,18,54,2933,0.09604444183365127,0.046875,0.03125,0.0625,0.16166535341848684,0.09375,0.0625,0.125,0.1664922463626827,0.109375,0.09375,0.125,0.16964195386198988,0.21875,0.15625,0.28125,0.17340963591219644,0.109375,0.0625,0.15625,0.18533276140613045,0.015625,0.03125,0.0
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m005-g020,03,5,20,31,18,37,605,0.35180017989557527,0.046875,0.03125,0.0625,0.46867077695514886,0.328125,0.34375,0.3125,0.47733143034942216,0.34375,0.34375,0.34375,0.4845928053815026,0.296875,0.28125,0.3125,0.49369408466111625,0.296875,0.40625,0.1875,0.5364847471865225,0.3125,0.28125,0.34375
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m005-g035,03,5,35,52,13,22,1170,0.1169104350793333,0.0625,0.09375,0.03125,0.15027627733057172,0.0625,0.0625,0.0625,0.15360799415387355,0.140625,0.15625,0.125,0.15989387345766817,0.09375,0.125,0.0625,0.1656901156792354,0.078125,0.0,0.15625,0.17382933892610605,0.109375,0.09375,0.125
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m005-g050,03,5,50,40,9,24,1555,0.04471705917344904,0.0625,0.03125,0.09375,0.08109692522526016,0.03125,0.0,0.0625,0.0848124436074691,0.03125,0.0,0.0625,0.09306831460483099,0.078125,0.125,0.03125,0.09662082782343949,0.109375,0.15625,0.0625,0.10477740083241222,0.15625,0.15625,0.15625
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m005-g065,03,5,65,41,15,19,2007,0.08534368329088228,0.015625,0.03125,0.0,0.13589526217182155,0.140625,0.125,0.15625,0.13945720533114564,0.125,0.15625,0.09375,0.14393358988484334,0.0625,0.09375,0.03125,0.14963477380280574,0.078125,0.09375,0.0625,0.16300362620300562,0.09375,0.125,0.0625
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m005-g080,03,5,80,42,18,36,2543,0.15777790952817555,0.046875,0.03125,0.0625,0.23170542456110604,0.1875,0.25,0.125,0.2364007188598761,0.203125,0.125,0.28125,0.24022892638501336,0.203125,0.1875,0.21875,0.24644056779359508,0.265625,0.28125,0.25,0.30625599417414845,0.34375,0.375,0.3125
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m006-g020,02,6,20,40,20,31,1035,0.5433918188166692,0.546875,0.46875,0.625,0.6028094361817373,0.65625,0.71875,0.59375,0.609835470636106,0.59375,0.5,0.6875,0.6150640055899903,0.734375,0.65625,0.8125,0.6220684104646782,0.6875,0.6875,0.6875,0.7058111279411294,0.859375,0.875,0.84375
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m006-g035,02,6,35,40,24,37,1846,0.6043549837598374,0.578125,0.78125,0.375,0.6912114476232173,0.84375,0.875,0.8125,0.6979470159779698,0.859375,0.8125,0.90625,0.7023840501630877,0.8125,0.8125,0.8125,0.7070860689664014,0.796875,0.8125,0.78125,0.7231505179979935,0.84375,0.8125,0.875
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m006-g050,02,6,50,40,24,86,2762,0.520639684320365,0.515625,0.4375,0.59375,0.5729841313454265,0.578125,0.59375,0.5625,0.5800297408453702,0.546875,0.53125,0.5625,0.5847481527685516,0.546875,0.53125,0.5625,0.5897428738784382,0.5,0.40625,0.59375,0.6398945562054611,0.6875,0.625,0.75
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m006-g065,02,6,65,40,19,54,3558,0.36748014321067374,0.4375,0.375,0.5,0.41823847418414667,0.546875,0.5625,0.53125,0.42581635075349267,0.65625,0.6875,0.625,0.43230425896799546,0.59375,0.625,0.5625,0.44019954928965754,0.640625,0.6875,0.59375,0.5526107115638182,0.640625,0.65625,0.625
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m006-g080,02,6,80,40,20,46,4320,0.34096152539517766,0.453125,0.53125,0.375,0.3915158772576664,0.5,0.4375,0.5625,0.40051665713510404,0.5625,0.53125,0.59375,0.40941013539394516,0.5625,0.46875,0.65625,0.42060911410836277,0.484375,0.4375,0.53125,0.4784114580754644,0.53125,0.4375,0.625
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m006-g020,03,6,20,38,25,40,728,0.5608763667967235,0.8125,0.84375,0.78125,0.6037850709735773,0.734375,0.625,0.84375,0.6213783858383961,0.78125,0.75,0.8125,0.6266676134894161,0.75,0.78125,0.71875,0.6324750332784668,0.75,0.75,0.75,0.6915465257709716,0.859375,0.90625,0.8125
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m006-g035,03,6,35,43,26,66,1492,0.580987804279171,0.75,0.78125,0.71875,0.6396651837182366,0.671875,0.75,0.59375,0.6441462689559958,0.6875,0.75,0.625,0.6483423970779097,0.734375,0.65625,0.8125,0.6550325008067611,0.734375,0.78125,0.6875,0.715646955003014,0.828125,0.84375,0.8125
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m006-g050,03,6,50,41,22,25,2059,0.5327817851183693,0.625,0.59375,0.65625,0.5897414783906221,0.578125,0.59375,0.5625,0.5966703191464818,0.625,0.71875,0.53125,0.6030182372025652,0.609375,0.625,0.59375,0.6107896048291535,0.59375,0.625,0.5625,0.6590456859621875,0.703125,0.8125,0.59375
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m006-g065,03,6,65,37,15,38,2664,0.40856178745835586,0.671875,0.71875,0.625,0.5233659298030117,0.8125,0.8125,0.8125,0.5328836669526031,0.6875,0.65625,0.71875,0.5401299071623195,0.703125,0.78125,0.625,0.5456676554026187,0.75,0.65625,0.84375,0.5894440374382484,0.8125,0.84375,0.78125
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m006-g080,03,6,80,40,17,33,3224,0.4721705210781671,0.671875,0.625,0.71875,0.5687777203930868,0.65625,0.59375,0.71875,0.5758155100851523,0.78125,0.84375,0.71875,0.5812829853230799,0.84375,0.78125,0.90625,0.5882409005200263,0.8125,0.78125,0.84375,0.6659175990143922,0.8125,0.84375,0.78125
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m007-g020,02,7,20,40,13,48,676,0.26326927657896765,0.453125,0.46875,0.4375,0.4858186648292233,0.453125,0.53125,0.375,0.4984514971018936,0.546875,0.59375,0.5,0.5084473825740127,0.453125,0.40625,0.5,0.5181558370314083,0.546875,0.5625,0.53125,0.5419781867613338,0.578125,0.53125,0.625
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m007-g035,02,7,35,40,18,33,1202,0.23273007131569418,0.453125,0.46875,0.4375,0.36984732562945244,0.328125,0.21875,0.4375,0.37684478865321125,0.328125,0.34375,0.3125,0.385984769819723,0.40625,0.40625,0.40625,0.39465985791555624,0.3125,0.28125,0.34375,0.439794556482272,0.359375,0.34375,0.375
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m007-g050,02,7,50,40,17,49,1838,0.2443644776085958,0.484375,0.5,0.46875,0.4486501120050942,0.453125,0.46875,0.4375,0.458518065162073,0.53125,0.5625,0.5,0.4666587984462328,0.40625,0.4375,0.375,0.477520578680241,0.5,0.59375,0.40625,0.49865014527297075,0.375,0.40625,0.34375
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m007-g065,02,7,65,40,20,38,2342,0.33098203232332096,0.53125,0.46875,0.59375,0.5313173594804319,0.5,0.53125,0.46875,0.5401327766781242,0.71875,0.625,0.8125,0.5484287880117384,0.6875,0.65625,0.71875,0.5555448514560624,0.609375,0.5,0.71875,0.6101417619960002,0.65625,0.65625,0.65625
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m007-g080,02,7,80,40,21,38,2873,0.3424576693136103,0.421875,0.46875,0.375,0.5061192085125487,0.375,0.40625,0.34375,0.5139578568277152,0.328125,0.34375,0.3125,0.5216707604861792,0.40625,0.25,0.5625,0.5291606670805635,0.46875,0.4375,0.5,0.6609865627009213,0.78125,0.75,0.8125
