state_id,candidate,matrix_id,landmark,arm,empirical_quantile,legal_edit_count,selected_rank_zero_based,remove_type,add_type,noop_predicted_probability,predicted_probability,predicted_shift_from_noop
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m000-g065,03,0,65,Q100,1,1089,1088,2,84,0.3399364552028995,0.44238971080635764,0.10245325560345814
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m000-g080,03,0,80,Q00,0,1188,0,87,31,0.37388137154692475,0.17462630080288863,-0.19925507074403612
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m000-g080,03,0,80,Q20,0.20000000000000001,1188,237,33,39,0.37388137154692475,0.37169535951411897,-0.0021860120328057731
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m000-g080,03,0,80,Q40,0.40000000000000002,1188,475,19,32,0.37388137154692475,0.38039621323375417,0.0065148416868294201
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m000-g080,03,0,80,Q60,0.59999999999999998,1188,712,55,92,0.37388137154692475,0.39010569896993824,0.016224327423013496
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m000-g080,03,0,80,Q80,0.80000000000000004,1188,950,69,3,0.37388137154692475,0.3992836753571059,0.025402303810181159
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m000-g080,03,0,80,Q100,1,1188,1187,78,60,0.37388137154692475,0.4226532510979758,0.048771879551051056
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m001-g020,02,1,20,Q00,0,2475,0,3,87,0.60338550961223292,0.54953253601398266,-0.053852973598250253
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m001-g020,02,1,20,Q20,0.20000000000000001,2475,495,2,42,0.60338550961223292,0.59082594215996087,-0.012559567452272047
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m001-g020,02,1,20,Q40,0.40000000000000002,2475,990,86,1,0.60338550961223292,0.59655645724008755,-0.0068290523721453722
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m001-g020,02,1,20,Q60,0.59999999999999998,2475,1484,23,85,0.60338550961223292,0.60125351163317908,-0.0021319979790538346
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m001-g020,02,1,20,Q80,0.80000000000000004,2475,1979,4,17,0.60338550961223292,0.60742523224064071,0.0040397226284077936
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m001-g020,02,1,20,Q100,1,2475,2474,57,27,0.60338550961223292,0.63103843209696342,0.027652922484730502
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m001-g035,02,1,35,Q00,0,2079,0,19,87,0.40999947509032542,0.36157024506859403,-0.048429230021731384
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m001-g035,02,1,35,Q20,0.20000000000000001,2079,416,91,83,0.40999947509032542,0.40525377548334734,-0.004745699606978071
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m001-g035,02,1,35,Q40,0.40000000000000002,2079,831,5,34,0.40999947509032542,0.41171842214919135,0.0017189470588659383
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m001-g035,02,1,35,Q60,0.59999999999999998,2079,1247,67,49,0.40999947509032542,0.4180717355675031,0.008072260477177684
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m001-g035,02,1,35,Q80,0.80000000000000004,2079,1662,43,66,0.40999947509032542,0.42630945795775488,0.016309982867429462
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m001-g035,02,1,35,Q100,1,2079,2078,87,77,0.40999947509032542,0.53799483967032224,0.12799536457999683
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m001-g050,02,1,50,Q00,0,1485,0,53,87,0.20667713338794111,0.16681686692584044,-0.039860266462100669
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m001-g050,02,1,50,Q20,0.20000000000000001,1485,297,99,91,0.20667713338794111,0.20365794380292171,-0.0030191895850193995
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m001-g050,02,1,50,Q40,0.40000000000000002,1485,594,78,64,0.20667713338794111,0.20900048755596312,0.0023233541680220127
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m001-g050,02,1,50,Q60,0.59999999999999998,1485,890,31,4,0.20667713338794111,0.21526063433543152,0.0085835009474904134
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m001-g050,02,1,50,Q80,0.80000000000000004,1485,1187,55,51,0.20667713338794111,0.22392248227772865,0.017245348889787543
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m001-g050,02,1,50,Q100,1,1485,1484,87,4,0.20667713338794111,0.35775280092932649,0.15107566754138538
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m001-g065,02,1,65,Q00,0,1881,0,52,87,0.20566202220595503,0.17039894672977426,-0.035263075476180766
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m001-g065,02,1,65,Q20,0.20000000000000001,1881,376,86,83,0.20566202220595503,0.20208572622059062,-0.0035762959853644083
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m001-g065,02,1,65,Q40,0.40000000000000002,1881,752,12,68,0.20566202220595503,0.20756876568607707,0.0019067434801220418
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m001-g065,02,1,65,Q60,0.59999999999999998,1881,1128,86,39,0.20566202220595503,0.21267139204015198,0.007009369834196949
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m001-g065,02,1,65,Q80,0.80000000000000004,1881,1504,55,34,0.20566202220595503,0.21857850081485442,0.012916478608899384
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m001-g065,02,1,65,Q100,1,1881,1880,87,24,0.20566202220595503,0.3319330174614879,0.12627099525553287
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m001-g080,02,1,80,Q00,0,1980,0,46,87,0.40956337543334725,0.30270096810775404,-0.10686240732559321
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m001-g080,02,1,80,Q20,0.20000000000000001,1980,396,38,57,0.40956337543334725,0.40011335668115455,-0.0094500187521927015
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m001-g080,02,1,80,Q40,0.40000000000000002,1980,792,69,17,0.40956337543334725,0.40785427616080144,-0.001709099272545811
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m001-g080,02,1,80,Q60,0.59999999999999998,1980,1187,86,3,0.40956337543334725,0.41517427610334018,0.0056109006699929243
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m001-g080,02,1,80,Q80,0.80000000000000004,1980,1583,6,90,0.40956337543334725,0.42258851109319717,0.013025135659849918
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m001-g080,02,1,80,Q100,1,1980,1979,20,35,0.40956337543334725,0.45170683980172582,0.042143464368378569
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m001-g020,03,1,20,Q00,0,1782,0,6,87,0.1804914721431275,0.1538226102859124,-0.026668861857215093
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m001-g020,03,1,20,Q20,0.20000000000000001,1782,356,9,66,0.1804914721431275,0.17896041043938396,-0.0015310617037435359
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m001-g020,03,1,20,Q40,0.40000000000000002,1782,712,51,13,0.1804914721431275,0.18240628108528592,0.0019148089421584247
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m001-g020,03,1,20,Q60,0.59999999999999998,1782,1069,79,1,0.1804914721431275,0.18604413993109667,0.0055526677879691733
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m001-g020,03,1,20,Q80,0.80000000000000004,1782,1425,44,88,0.1804914721431275,0.19096727754226864,0.010475805399141142
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m001-g020,03,1,20,Q100,1,1782,1781,87,63,0.1804914721431275,0.2217829553182657,0.041291483175138199
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m001-g035,03,1,35,Q00,0,990,0,93,87,0.065699407502852691,0.043877663525713574,-0.021821743977139117
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m001-g035,03,1,35,Q20,0.20000000000000001,990,198,85,21,0.065699407502852691,0.064240191612563627,-0.0014592158902890645
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m001-g035,03,1,35,Q40,0.40000000000000002,990,396,5,19,0.065699407502852691,0.06659004199343492,0.00089063449058222888
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m001-g035,03,1,35,Q60,0.59999999999999998,990,593,38,99,0.065699407502852691,0.074435540654189489,0.0087361331513367974
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m001-g035,03,1,35,Q80,0.80000000000000004,990,791,55,19,0.065699407502852691,0.08986937178714953,0.024169964284296838
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m001-g035,03,1,35,Q100,1,990,989,87,35,0.065699407502852691,0.20558297362060182,0.13988356611774913
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m001-g050,03,1,50,Q00,0,1980,0,54,87,0.6475697027961973,0.53644115005193382,-0.11112855274426348
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m001-g050,03,1,50,Q20,0.20000000000000001,1980,396,30,9,0.6475697027961973,0.64140646482029373,-0.0061632379759035683
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m001-g050,03,1,50,Q40,0.40000000000000002,1980,792,68,72,0.6475697027961973,0.64849704586771062,0.00092734307151332018
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m001-g050,03,1,50,Q60,0.59999999999999998,1980,1187,3,32,0.6475697027961973,0.65463290539234531,0.0070632025961480105
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m001-g050,03,1,50,Q80,0.80000000000000004,1980,1583,6,46,0.6475697027961973,0.66135286095585422,0.013783158159656916
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m001-g050,03,1,50,Q100,1,1980,1979,20,4,0.6475697027961973,0.68548349796589914,0.037913795169701836
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m001-g065,03,1,65,Q00,0,891,0,77,87,0.098132294564766881,0.067510926772637397,-0.030621367792129484
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m001-g065,03,1,65,Q20,0.20000000000000001,891,178,62,94,0.098132294564766881,0.097084753361010523,-0.0010475412037563581
