scope,cell,candidate,branch_half,matrix_id,fable_effect,small_effect,fable_random_minus_noop,small_random_minus_noop,fable_loosen_minus_noop,noop_minus_fable_tighten,fable_minus_small_effect
landmark60,c03_A,03,A,19,0.0,-0.125,-0.1875,0.0625,-0.125,0.125,0.125
landmark60,c03_A,03,A,20,0.0,0.1875,-0.0625,-0.0625,0.0625,-0.0625,-0.1875
landmark60,c03_A,03,A,21,0.4375,-0.1875,0.25,0.125,0.1875,0.25,0.625
landmark60,c03_A,03,A,22,-0.25,0.0625,0.0,-0.125,-0.375,0.125,-0.3125
landmark60,c03_A,03,A,23,0.125,-0.0625,-0.5,0.0,-0.0625,0.1875,0.1875
landmark60,c03_A,03,A,24,0.1875,0.1875,0.125,-0.3125,0.0625,0.125,0.0
landmark60,c03_A,03,A,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
landmark60,c03_A,03,A,26,0.0,0.0625,0.0625,0.0,-0.0625,0.0625,-0.0625
landmark60,c03_A,03,A,27,0.0625,0.0,0.0,0.0,0.0625,0.0,0.0625
landmark60,c03_A,03,A,28,0.375,-0.0625,0.375,0.0625,0.1875,0.1875,0.4375
landmark60,c03_A,03,A,29,0.125,0.0,-0.0625,0.0,0.0625,0.0625,0.125
landmark60,c03_A,03,A,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
landmark60,c03_A,03,A,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
landmark60,c03_A,03,A,32,0.0625,0.0625,0.0,-0.0625,0.0,0.0625,0.0
landmark60,c03_A,03,A,33,0.1875,0.0625,-0.0625,0.0625,-0.0625,0.25,0.125
landmark60,c03_A,03,A,34,0.125,0.25,0.0625,0.375,0.3125,-0.1875,-0.125
landmark60,c03_A,03,A,35,0.0,-0.0625,0.0,0.0,0.0,0.0,0.0625
landmark60,c03_A,03,A,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
landmark60,c03_A,03,A,37,0.25,0.0625,-0.3125,-0.25,-0.125,0.375,0.1875
landmark60,c03_A,03,A,38,-0.0625,0.0,-0.25,-0.1875,-0.125,0.0625,-0.0625
landmark60,c03_A,03,A,39,0.0625,0.25,0.0,0.125,-0.0625,0.125,-0.1875
landmark60,c03_A,03,A,40,0.125,0.125,0.0,0.0,0.0,0.125,0.0
landmark60,c03_A,03,A,41,0.25,0.25,-0.25,-0.0625,0.125,0.125,0.0
landmark60,c03_A,03,A,42,-0.0625,-0.25,-0.0625,-0.0625,0.0625,-0.125,0.1875
landmark60,c03_A,03,A,43,0.1875,0.0,0.0,0.0,0.125,0.0625,0.1875
landmark60,c03_A,03,A,44,0.0,0.0,-0.125,-0.125,-0.1875,0.1875,0.0
landmark60,c03_A,03,A,45,0.0,0.0625,-0.1875,-0.1875,-0.0625,0.0625,-0.0625
landmark60,c03_A,03,A,46,-0.25,0.0,0.125,0.1875,0.0625,-0.3125,-0.25
landmark60,c03_A,03,A,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
landmark60,c03_A,03,A,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
landmark60,c03_A,03,A,49,0.125,0.0625,0.25,0.25,0.3125,-0.1875,0.0625
landmark60,c03_A,03,A,50,-0.0625,0.0625,-0.0625,0.0625,-0.125,0.0625,-0.125
landmark60,c03_A,03,A,51,0.0,0.0625,0.3125,0.25,0.1875,-0.1875,-0.0625
landmark60,c03_A,03,A,52,0.1875,-0.0625,0.0,-0.125,-0.25,0.4375,0.25
