mechanism,candidate,matrix_id,landmark,main_attempt,launch_mass,launch_occupied,launch_entropy,source_throughput,active_throughput,q_f12,q_f12_A,q_f12_B,q_break_f12,mean_inherited_f12,survival_f12,mean_growth_updates_f12,mean_final_entropy_f12,mean_final_occupied_f12,q_break_f32,q_run8_f32,q_strict_all8,q_strict_all8_A,q_strict_all8_B,q_strict_first5,q_strict_centroid,survival_f32,frozen_direct,frozen_full,frozen_outside_5sd,crossfit_h10,crossfit_h10_state
COUPLING_DERANGED,02,33,50.0,0.0,40.0,20.6,2.759479134620479,175.781745687241,15.861001280694598,0.415625,0.44375,0.3875,0.609375,10.834375,1.0,552.0875,2.5864901912477856,19.475,0.915625,0.746875,0.0,0.0,0.0,0.08125,0.090625,1.0,0.5117491610857103,0.5355405751492164,0.0,0.5262443086873192,0.5474897263832531
COUPLING_DERANGED,02,34,50.0,0.0,40.0,18.2,2.423098749950113,228.74078125392435,7.558009373411994,0.3625,0.3375,0.3875,0.434375,11.128125,1.0,612.221875,2.1388652960742327,16.234375,0.63125,0.525,0.1875,0.175,0.2,0.3375,0.359375,1.0,0.3041623813489198,0.440652194192282,0.0,0.4971918663430146,0.4934943799875075
COUPLING_DERANGED,02,35,50.0,0.0,40.0,15.8,2.308825521592481,472.0670231165147,4.853359135896701,0.11875,0.125,0.1125,0.140625,11.8375,1.0,355.221875,2.083698864729873,13.83125,0.25,0.196875,0.00625,0.0125,0.0,0.0625,0.0875,1.0,0.16981234269172665,0.25271015190510343,0.0,0.3419727965418019,0.3435282045890555
COUPLING_DERANGED,02,36,50.0,0.0,40.0,20.2,2.57555256901621,218.37866049033923,7.590059928649938,0.640625,0.6375,0.64375,0.7375,10.44375,1.0,625.64375,2.585973806297819,19.88125,0.91875,0.8375,0.0,0.0,0.0,0.03125,0.0875,1.0,0.46256287054023576,0.5924116442889684,0.0,0.5398201718286841,0.5653330348804555
COUPLING_DERANGED,02,37,50.0,0.0,40.0,19.0,2.618695370034076,192.5364892837813,41.21233669817579,0.453125,0.46875,0.4375,0.628125,10.909375,1.0,482.28125,2.6443782428512637,20.121875,0.94375,0.746875,0.0,0.0,0.0,0.028125,0.046875,1.0,0.5165673114948728,0.5150900032489494,0.0,0.5230553957511765,0.5479626192951036
COUPLING_DERANGED,02,38,50.0,0.0,40.0,13.6,1.8922023683538058,1147.6679853370804,10.984132423570378,0.3,0.2875,0.3125,0.346875,11.4625,1.0,458.571875,2.2034000985422963,15.58125,0.6,0.496875,0.0,0.0,0.0,0.065625,0.071875,1.0,0.20302372303880648,0.2877067497431402,0.2,0.40588395306601505,0.35972916106655306
COUPLING_DERANGED,02,39,50.0,0.0,40.0,9.2,1.8223263060491284,1192.4542847790885,4.982697314776935,0.090625,0.1,0.08125,0.096875,11.896875,1.0,177.053125,1.9363378941113443,10.5375,0.159375,0.11875,0.009375,0.01875,0.0,0.0375,0.040625,1.0,0.14175660365409465,0.17022643745587812,0.0,0.27525844063703536,0.24655070672300744
COUPLING_DERANGED,02,40,50.0,0.0,40.0,18.8,2.4198490101075585,189.75247169018402,11.30872261544893,0.63125,0.60625,0.65625,0.703125,10.615625,1.0,643.434375,2.5229419157314057,19.828125,0.903125,0.7875,0.01875,0.0125,0.025,0.196875,0.296875,1.0,0.39482605884122784,0.5407556716248025,0.0,0.5564916002706422,0.5652645789690471
COUPLING_DERANGED,02,41,50.0,0.0,40.0,20.8,2.62446257816143,270.8324999132011,9.282425981999044,0.509375,0.5,0.51875,0.659375,10.3875,1.0,623.45,2.626536985228932,20.328125,0.946875,0.759375,0.003125,0.00625,0.0,0.05625,0.08125,1.0,0.48940479428435213,0.5698408714855191,0.0,0.5582977561155753,0.5674281212661638
COUPLING_DERANGED,02,42,50.0,0.0,40.0,14.6,2.229752921588315,656.7349311123174,104.8163663204189,0.259375,0.25625,0.2625,0.296875,11.596875,1.0,231.60625,2.324738317222771,15.45,0.65625,0.521875,0.0,0.0,0.0,0.040625,0.15625,1.0,0.26300380342120977,0.3502231264133977,0.0,0.4137511873035605,0.401437038746027
COUPLING_DERANGED,02,43,50.0,0.0,40.0,17.0,2.4406146966688125,920.6462184286645,4.655307143124317,0.51875,0.49375,0.54375,0.61875,11.0,1.0,406.675,2.427066906520305,17.675,0.85,0.75,0.00625,0.0125,0.0,0.1,0.0375,1.0,0.21946772820210536,0.42757712053148306,0.0,0.38668040139110493,0.39932050154878856
COUPLING_DERANGED,02,44,50.0,0.0,40.0,17.6,2.4293292338135077,260.4523500923748,165.98516990388165,0.36875,0.39375,0.34375,0.521875,11.19375,1.0,552.30625,2.4170103910472562,18.525,0.796875,0.703125,0.00625,0.00625,0.00625,0.109375,0.125,1.0,0.34234202772718736,0.35486765364047596,0.0,0.5276205317305722,0.52939874514416
COUPLING_DERANGED,02,45,50.0,0.0,40.0,25.0,3.03756573186866,61.75765040847252,13.458365045298905,0.73125,0.7125,0.75,0.9625,7.859375,1.0,691.765625,2.810302135937655,21.859375,1.0,0.6625,0.0,0.0,0.0,0.0,0.0125,1.0,0.7483341766958906,0.747446113431624,0.0,0.631808686478393,0.6467803764293698
