state_id,cohort,candidate,matrix_id,landmark,mass,previous_growth_steps,cumulative_growth_steps,q_all,q_half_A,q_half_B,prediction_beta_only,prediction_h10,prediction_h10_beta,prediction_h10_duplicate_corrected,prediction_h10_state,prediction_h10_state_beta,prediction_h10_state_beta_interaction,prediction_h8,prediction_ridge_h10,prediction_ridge_h10_duplicate,prediction_state_only,prediction_legacy_prior,prediction_legacy_h9,prediction_legacy_beta,prediction_legacy_full
MECHCONF-c03-m127-g020,MECHCONF,03,127,20,37,38,756,0.796875,0.84375,0.75,0.3051658925023709,0.6589650990583759,0.6372315918491909,0.6589657764931771,0.6296890955121281,0.6061646815291759,0.7630511366945556,0.6964579307413674,0.6661150171526183,0.6662013561396721,0.6636623087456868,0.38684375,0.7038047721786139,0.31946837825831914,0.661300102020457
MECHCONF-c03-m127-g035,MECHCONF,03,127,35,36,41,1297,0.46875,0.53125,0.40625,0.3051658925023709,0.34292424849914227,0.3456284312916654,0.34292417464307734,0.3890236335572021,0.38602756919562986,0.46938592631965237,0.3033924491365931,0.34218330276711667,0.3422113702637521,0.3283807053918869,0.38684375,0.3027013340948412,0.31946837825831914,0.38322189278829943
MECHCONF-c03-m127-g050,MECHCONF,03,127,50,42,27,1811,0.625,0.65625,0.59375,0.3051658925023709,0.7914899285080941,0.7681510170399031,0.7914903435491367,0.7484446662918668,0.7201892904605649,0.7799867056557709,0.8602594086884662,0.7939975563411596,0.7940344799943192,0.7919517773544913,0.38684375,0.8622904287082629,0.31946837825831914,0.7462553416175944
MECHCONF-c03-m127-g065,MECHCONF,03,127,65,42,37,2461,0.4375,0.53125,0.34375,0.3051658925023709,0.44229553061895505,0.4385752653099748,0.4422954553085355,0.5115740427908546,0.49950039323715756,0.4139559281930365,0.4291620688968392,0.44340311339617333,0.44334088772979374,0.469573088321597,0.38684375,0.4302785430639228,0.31946837825831914,0.4485483438430369
MECHCONF-c03-m127-g080,MECHCONF,03,127,80,43,36,3046,0.234375,0.28125,0.1875,0.3051658925023709,0.45037592114140695,0.45073656724739636,0.45037565056616136,0.4112806249396031,0.4064436275875262,0.4040535705202954,0.44164386708024606,0.4489240460763819,0.4488354413663717,0.2742185074141036,0.38684375,0.4399609616009365,0.31946837825831914,0.3604436669473111
MECHCONF-c02-m128-g020,MECHCONF,02,128,20,40,67,908,0.4375,0.375,0.5,0.3966297188175249,0.6970751710602656,0.6962619135957382,0.6970747977594698,0.646016154125327,0.6446191890209056,0.5916706639679885,0.6462779037758358,0.6836213510672398,0.6836220292980136,0.6690708061553683,0.34825,0.6378537661334145,0.3573093279048207,0.579109424500651
MECHCONF-c02-m128-g035,MECHCONF,02,128,35,40,38,1479,0.65625,0.65625,0.65625,0.3966297188175249,0.3095185671961724,0.30585591902913734,0.3095186509129536,0.34379180337880066,0.33590556232241564,0.6275001115744481,0.3210146665926578,0.3112793613610015,0.31129466916647375,0.35568932235805617,0.34825,0.3221201547511866,0.3573093279048207,0.5511581420612612
MECHCONF-c02-m128-g050,MECHCONF,02,128,50,40,38,2082,0.46875,0.46875,0.46875,0.3966297188175249,0.17438035313086567,0.1766171950204579,0.1743803628911114,0.18251057758032613,0.1817459812244948,0.13789943500537874,0.16523882800273318,0.17468274706439452,0.17468855784849951,0.20943159949638754,0.34825,0.16564625571730915,0.3573093279048207,0.1465403585401682
MECHCONF-c02-m128-g065,MECHCONF,02,128,65,40,27,2814,0.71875,0.71875,0.71875,0.3966297188175249,0.342235566219486,0.33317511478565914,0.34223562503144334,0.4498581087488432,0.4341372176165297,0.6475811610597276,0.3869035772159213,0.34137522739393694,0.3413479924501888,0.5141905111152621,0.34825,0.38635497227793997,0.3573093279048207,0.5443211183815048
MECHCONF-c02-m128-g080,MECHCONF,02,128,80,40,48,3701,0.5625,0.53125,0.59375,0.3966297188175249,0.6872735309560453,0.675605872261889,0.6872739934762274,0.6280692789759159,0.6132087915970321,0.6212135625441517,0.7266617755309912,0.6954912869562698,0.6954541334292517,0.695984750961484,0.34825,0.7310218649418693,0.3573093279048207,0.5910757968387321
MECHCONF-c03-m128-g020,MECHCONF,03,128,20,36,43,729,0.546875,0.5625,0.53125,0.43085733711777796,0.52076475963658,0.5180897560960019,0.5207654301644074,0.43937857170567085,0.43371348221639605,0.5650833019370846,0.5162438501951182,0.5295134332610385,0.5295996674686497,0.4081545174433025,0.38684375,0.5257871457207268,0.3979234491571633,0.5040192602692894
MECHCONF-c03-m128-g035,MECHCONF,03,128,35,42,23,1304,0.375,0.25,0.5,0.43085733711777796,0.2951292375780018,0.30411227640370897,0.2951292188486038,0.3267427824738107,0.3278976215858886,0.22712761485241303,0.300804356017157,0.29418381589257253,0.2942676565256281,0.3398495798721003,0.38684375,0.300215924362972,0.3979234491571633,0.21750434990190046
MECHCONF-c03-m128-g050,MECHCONF,03,128,50,39,53,1834,0.625,0.5,0.75,0.43085733711777796,0.5183753203129549,0.5238714000260756,0.5183750707818241,0.5153663762021261,0.5094469535557643,0.558443316814923,0.4835906910122444,0.5172398099371028,0.5171404168097538,0.42327726127281323,0.38684375,0.4817339426389386,0.3979234491571633,0.5259150337752532
MECHCONF-c03-m128-g065,MECHCONF,03,128,65,39,21,2418,0.3125,0.28125,0.34375,0.43085733711777796,0.3600375907294006,0.36500518016697603,0.36003740907887843,0.4123170807006316,0.4064507208047079,0.3613090566567435,0.3861489134143515,0.35867924393432854,0.358655801077029,0.3585124891933695,0.38684375,0.38490673577515966,0.3979234491571633,0.39000221687661707
MECHCONF-c03-m128-g080,MECHCONF,03,128,80,39,57,3013,0.84375,0.78125,0.90625,0.43085733711777796,0.6934840233938631,0.6940032077844696,0.6934842187610373,0.6559519144540269,0.6479620765437807,0.7369533168925969,0.6799881355031774,0.6984151336175969,0.6982995442605414,0.6097476895484552,0.38684375,0.6848281544456658,0.3979234491571633,0.6518196110146149
MECHCONF-c02-m129-g020,MECHCONF,02,129,20,40,68,1237,0.296875,0.375,0.21875,0.17411641027294977,0.5192634914226297,0.5297991216151015,0.5192636405356154,0.5492826112777004,0.5542048517265318,0.3480244833751301,0.4292031618146588,0.5212699783558877,0.5213398890235785,0.5192333939020637,0.34825,0.4306092020379034,0.20405326299430215,0.3196564365238634
