source_cohort,candidate,half,metric,estimate,ci95_lower,ci95_upper,median,q05,q95,events,matrices
scaled5,03,B,second_renewal_after_later_break_observed,0.11361756523046845,0.1062910671737207,0.12053561782261359,0.0,0.0,1.0,13299,200
MECHCONF,02,combined,first_last_daughter_similarity,0.6863591572079963,0.6813469662891669,0.6916646740106833,0.7145197933965367,0.36365792228124044,0.9068371060210184,22868,200
MECHCONF,02,combined,minimum_pairwise_daughter_similarity,0.6805442986892052,0.6751010322274228,0.685931908722372,0.7096310855709516,0.3590720758231124,0.8971229987429763,22868,200
MECHCONF,02,combined,mean_pairwise_daughter_similarity,0.7788551041779552,0.7755772098931785,0.7820783881392686,0.7922835415948488,0.5839417419473875,0.9256123338069632,22868,200
MECHCONF,02,combined,maximum_anchor_similarity,0.6800670330476799,0.6697460002861778,0.6900281595705983,0.7184955596711615,0.3385803091076306,0.9007363740491913,22868,200
MECHCONF,02,combined,mean_anchor_similarity,0.5873910068669002,0.5773036342994702,0.5981292096181299,0.6105580887568813,0.2582883265501777,0.8404055484959462,22868,200
MECHCONF,02,combined,onset_parent_to_final_daughter_similarity,0.7038383871255971,0.6981158580814284,0.7092890883647637,0.7351173705729785,0.3741074598742678,0.9180445605061324,22868,200
MECHCONF,02,combined,observed_inherited_run_length,6.011369599440266,5.898198190098501,6.126181196371888,6.0,3.0,11.0,22868,200
MECHCONF,02,combined,persistence_5_resolved,0.7751750276359425,0.755318539764567,0.7961724367543921,1.0,0.0,1.0,18997,200
MECHCONF,02,combined,persistence_5_right_censored,0.1692758439741123,0.16258095498056807,0.1763205227494292,0.0,0.0,1.0,22868,200
MECHCONF,02,combined,later_break_observed,0.34865313975861467,0.3219506845370953,0.3743751236568986,0.0,0.0,1.0,22868,200
MECHCONF,02,combined,second_renewal_after_later_break_observed,0.10451285639321323,0.09705748425557978,0.1119103896096681,0.0,0.0,1.0,22868,200
MECHCONF,02,A,first_last_daughter_similarity,0.6853091621872455,0.6798193646111025,0.6909958666803818,0.7134017207708387,0.3590600337663601,0.9058730408964917,11460,200
MECHCONF,02,A,minimum_pairwise_daughter_similarity,0.679346275162473,0.6736783921095573,0.6849745562788485,0.7087492358799111,0.3555438139452525,0.8961264788283507,11460,200
MECHCONF,02,A,mean_pairwise_daughter_similarity,0.7784347178460018,0.7748989219997805,0.7820274918264246,0.791608399027377,0.584597363162206,0.9250946542486272,11460,200
MECHCONF,02,A,maximum_anchor_similarity,0.6783596347088285,0.6687235256320355,0.6881999911819875,0.7167269390806785,0.33796239066840367,0.8988437448617294,11460,200
MECHCONF,02,A,mean_anchor_similarity,0.5855490903911994,0.5752472391002237,0.5963718527730256,0.6088253402260486,0.2585209083838603,0.8374028531984409,11460,200
MECHCONF,02,A,onset_parent_to_final_daughter_similarity,0.7028641095322457,0.6965506582257791,0.7087183757940234,0.7335244349720428,0.36949895654812737,0.9185050499370798,11460,200
MECHCONF,02,A,observed_inherited_run_length,6.020331588132636,5.900497840991544,6.134961071921859,6.0,3.0,11.0,11460,200
MECHCONF,02,A,persistence_5_resolved,0.7756497948016415,0.7547334563183912,0.7961194143748606,1.0,0.0,1.0,9503,200
MECHCONF,02,A,persistence_5_right_censored,0.17076788830715534,0.1617076493602615,0.18040681426673644,0.0,0.0,1.0,11460,200
MECHCONF,02,A,later_break_observed,0.3471204188481675,0.3198484725372157,0.3725091249238187,0.0,0.0,1.0,11460,200
MECHCONF,02,A,second_renewal_after_later_break_observed,0.10567190226876091,0.09691260988496325,0.1142161890500318,0.0,0.0,1.0,11460,200
