source_cohort,candidate,half,coherence_threshold_strict,distinctness_max_anchor_threshold_inclusive,all_events,persistence_resolved_events,persistence_censored_events,coherent_rate,coherent_ci95_lower,coherent_ci95_upper,coherent_events,coherent_matrices,distinct_rate,distinct_ci95_lower,distinct_ci95_upper,distinct_events,distinct_matrices,coherent_and_distinct_rate,coherent_and_distinct_ci95_lower,coherent_and_distinct_ci95_upper,coherent_and_distinct_events,coherent_and_distinct_matrices,coherent_distinct_and_persistent_5_rate,coherent_distinct_and_persistent_5_ci95_lower,coherent_distinct_and_persistent_5_ci95_upper,coherent_distinct_and_persistent_5_events,coherent_distinct_and_persistent_5_matrices
MECHCONF,02,combined,0.95,0.8,22868,18997,3871,0.00861465803743222,0.006226272528603071,0.011374148621177315,22868,200,0.7146230540493266,0.6927198123746273,0.7345453491665757,22868,200,0.006865488892775932,0.004665091786604152,0.009436469812029166,22868,200,0.006843185766173606,0.0046244945715491525,0.009378877930223089,18997,200
MECHCONF,02,combined,0.975,0.9,22868,18997,3871,0.0019240860591219172,0.0008927866701073772,0.0035071117165178657,22868,200,0.949099177890502,0.9420722562805408,0.955454017836821,22868,200,0.0017928983732726955,0.0007555208112376385,0.003420928396604928,22868,200,0.0017897562773069432,0.0007822362886348421,0.003233037066375807,18997,200
MECHCONF,02,combined,0.975,0.85,22868,18997,3871,0.0019240860591219172,0.0008727320656404217,0.0034744482512965285,22868,200,0.8490904320447787,0.8338346909355608,0.8628179571794541,22868,200,0.0017491691446562883,0.0007184784672273977,0.0032836586202298975,22868,200,0.0017371163867979154,0.0007374584826119341,0.0031698494104266646,18997,200
MECHCONF,02,combined,0.975,0.8,22868,18997,3871,0.0019240860591219172,0.000886456649102714,0.003418682324916833,22868,200,0.7146230540493266,0.6934962807556896,0.7344510082880537,22868,200,0.0016617106874234739,0.0006787757683176774,0.0031251966107518326,22868,200,0.0016318366057798599,0.000671297978072738,0.002945770523656873,18997,200
MECHCONF,02,A,0.9,0.9,11460,9503,1957,0.046160558464223386,0.039569223029703796,0.053438383972367734,11460,200,0.9518324607329843,0.9446357207528571,0.9580998313772504,11460,200,0.04031413612565445,0.03422109926189897,0.046969466310453366,11460,200,0.03809323371566874,0.032023261956522824,0.04488692251998099,9503,200
MECHCONF,02,A,0.9,0.85,11460,9503,1957,0.046160558464223386,0.03921577647593256,0.05338674084330533,11460,200,0.8534031413612565,0.8378124308673027,0.8675920879751672,11460,200,0.037085514834205933,0.031198053748644147,0.043689319233766136,11460,200,0.034936335893928236,0.028940849267244995,0.04163584672516914,9503,200
MECHCONF,02,A,0.9,0.8,11460,9503,1957,0.046160558464223386,0.03957407348466126,0.05317562946448845,11460,200,0.7215532286212915,0.7001748479272685,0.742342930778827,11460,200,0.03429319371727749,0.02881242727412888,0.04001710250319761,11460,200,0.032095127854361784,0.0265788478154202,0.03822681203455242,9503,200
MECHCONF,02,A,0.95,0.9,11460,9503,1957,0.008726003490401396,0.006089436851308481,0.011724678430125831,11460,200,0.9518324607329843,0.9445553878676707,0.9578847778850258,11460,200,0.00794066317626527,0.005380660052580328,0.010883605168187772,11460,200,0.008523624118699358,0.005821286786477838,0.011744556330808356,9503,200
MECHCONF,02,A,0.95,0.85,11460,9503,1957,0.008726003490401396,0.006001339146573327,0.011785491067737453,11460,200,0.8534031413612565,0.8381395056278268,0.8680859224487406,11460,200,0.007678883071553229,0.005166972332441328,0.010489208548535696,11460,200,0.008207934336525308,0.00544608815188389,0.011187512466242208,9503,200
MECHCONF,02,A,0.95,0.8,11460,9503,1957,0.008726003490401396,0.006084000075217784,0.011782834940779996,11460,200,0.7215532286212915,0.7002832226821829,0.7421348788265578,11460,200,0.0071553228621291445,0.004788245868854753,0.009753901913555954,11460,200,0.007576554772177207,0.0050027297494780465,0.010613950811771453,9503,200
MECHCONF,02,A,0.975,0.9,11460,9503,1957,0.0019197207678883072,0.0007100226549491803,0.0037884025401232627,11460,200,0.9518324607329843,0.944920042331454,0.9582657883275262,11460,200,0.0018324607329842932,0.0006221877495777797,0.0035761651507915577,11460,200,0.0018941386930443017,0.0006314805263630234,0.0037901208510201716,9503,200
MECHCONF,02,A,0.975,0.85,11460,9503,1957,0.0019197207678883072,0.0006597899306910589,0.0036023314865451625,11460,200,0.8534031413612565,0.8380496688265883,0.8676420428874818,11460,200,0.0017452006980802793,0.000517823781621968,0.0035494126069998137,11460,200,0.0017889087656529517,0.0005119748457907186,0.003637119716041232,9503,200
MECHCONF,02,A,0.975,0.8,11460,9503,1957,0.0019197207678883072,0.0006822676711504616,0.0036683948500307473,11460,200,0.7215532286212915,0.7005134835871613,0.742339699780803,11460,200,0.0016579406631762653,0.0005124721268063554,0.003238539352525627,11460,200,0.0016836788382616015,0.0005176590997189405,0.003255645119865502,9503,200
MECHCONF,02,B,0.9,0.9,11408,9494,1914,0.04882538569424965,0.04225595171143548,0.056210558183228135,11408,200,0.9463534361851332,0.9379953781469219,0.9539722202810222,11408,200,0.042514025245441796,0.036252097819261996,0.049692695756197044,11408,200,0.03834000421318728,0.032345953732736334,0.044881573535942784,9494,200
MECHCONF,02,B,0.9,0.85,11408,9494,1914,0.04882538569424965,0.04235583645693334,0.056085750111269164,11408,200,0.844758064516129,0.8282150369016187,0.8599045546495244,11408,200,0.038306451612903226,0.032225063084681066,0.04508992991432692,11408,200,0.03391615757320413,0.028346653953152844,0.040176931040516374,9494,200
MECHCONF,02,B,0.9,0.8,11408,9494,1914,0.04882538569424965,0.04205777775005783,0.056267094506798926,11408,200,0.7076612903225806,0.6848306894924459,0.7296917995221495,11408,200,0.03418653576437588,0.028526669771449898,0.04063855882285121,11408,200,0.030229618706551505,0.02493063552928879,0.03619129777196394,9494,200
MECHCONF,02,B,0.95,0.9,11408,9494,1914,0.008502805049088359,0.005856850904849291,0.01160056414001161,11408,200,0.9463534361851332,0.938003290328167,0.953620043560203,11408,200,0.007538569424964937,0.004989948189506347,0.010746098482645064,11408,200,0.007057088687592163,0.004768934075058277,0.009747731613691113,9494,200
MECHCONF,02,B,0.95,0.85,11408,9494,1914,0.008502805049088359,0.005904603559126023,0.011745245712593708,11408,200,0.844758064516129,0.8288487135327389,0.8596448290511953,11408,200,0.007275596072931276,0.004723297888655016,0.010404892781117963,11408,200,0.0067410996418790815,0.0044496592572162135,0.009486600750051144,9494,200
