candidate,grid_id,exponent_point,exponent_lower,exponent_upper,exponent_n_matrices,integrated_point,integrated_lower,integrated_upper,integrated_n_matrices
03,b0p5_l0p5,-0.05887238874514573,-0.07727919203438802,-0.04150398026449445,48,0.04378603705628875,0.03692803974345596,0.051287157491287996,48
03,b1p0_l0p5,-0.063962578774598,-0.08346066498035526,-0.045043390871729434,48,0.04432260783946925,0.03655542029604372,0.05197609456662821,48
03,b2p0_l0p5,-0.059682813802734325,-0.08306398586755799,-0.03637407732404182,48,0.04858158680536062,0.039422285797732555,0.05761240101645306,48
03,b4p0_l0p5,-0.05548256120833195,-0.07892821760220806,-0.031863308281188225,48,0.05524543391494332,0.04466732623632204,0.0666299089238568,48
03,b8p0_l0p5,-0.040604526448887436,-0.06415662681630584,-0.016417930969564523,48,0.06238228467343181,0.05039123553955518,0.0740073335407486,48
03,b0p125_l1p0,-0.07248579985840804,-0.08753760137487651,-0.05735574286419162,48,0.027255476317212538,0.023038769029198006,0.03133885513292272,48
03,b0p25_l1p0,-0.05386480956172026,-0.07178027426134806,-0.03682082080587783,48,0.038326451117488024,0.0318531043297973,0.044586229373724515,48
03,b0p5_l1p0,-0.06352496082681966,-0.08008005398138682,-0.04674268733971642,48,0.0403202029598047,0.03305986006027178,0.047616711019385555,48
03,b1p0_l1p0,-0.052216300446969975,-0.07147169795862665,-0.03226006763621649,48,0.04622044121314334,0.0385977130019138,0.053799421957505915,48
03,b2p0_l1p0,-0.04240784331177711,-0.06217273036503453,-0.02254295205277649,48,0.05636060900131564,0.04573498003061307,0.06697292582774259,48
03,b4p0_l1p0,-0.04983148136712107,-0.07024920005637855,-0.029054718364235965,48,0.05380707932816329,0.044139729673413106,0.06444912991295541,48
03,b8p0_l1p0,-0.034077961783631754,-0.05758414665849335,-0.009630858846818226,48,0.06606253114843162,0.05351404949518349,0.07931862452804037,48
03,b0p125_l2p0,-0.050663789685438367,-0.06743076194324285,-0.03390826234693007,48,0.03561293587342846,0.0308479514347564,0.04050034757077296,48
03,b0p25_l2p0,-0.03900183481659531,-0.05374323914215054,-0.023246374372662075,48,0.04059847005019867,0.0349605710037871,0.04633667709154553,48
03,b0p5_l2p0,-0.041990746807129754,-0.056943887742036514,-0.027679040470381652,48,0.05051797186383439,0.044020440173583364,0.05707742404372014,48
03,b1p0_l2p0,-0.026534810675290843,-0.04184119172632759,-0.010098503985857557,48,0.05578650449680985,0.04842993095368846,0.06344072629267301,48
03,b2p0_l2p0,-0.02635717252794743,-0.04503410032516952,-0.007365441256841012,48,0.06439189644230033,0.05505252172668144,0.0735970971939035,48
03,b4p0_l2p0,-0.026926174063747556,-0.04370368292068942,-0.010604605933671647,48,0.06223749303972267,0.054563094296026154,0.07039398017406132,48
03,b8p0_l2p0,-0.026105698539396902,-0.04851206315679893,-0.004887281637277949,48,0.06942286840784861,0.057900139133197887,0.08111727337621988,48
