state_id,candidate,matrix_id,landmark,mass,occupied_types,previous_growth_steps,cumulative_growth_steps,prediction_LOOSEN,q_all_LOOSEN,q_half_A_LOOSEN,q_half_B_LOOSEN,prediction_TIGHTEN,q_all_TIGHTEN,q_half_A_TIGHTEN,q_half_B_TIGHTEN,prediction_GLOBAL_RANDOM_SURGERY,q_all_GLOBAL_RANDOM_SURGERY,q_half_A_GLOBAL_RANDOM_SURGERY,q_half_B_GLOBAL_RANDOM_SURGERY,prediction_THROUGHPUT_NEUTRAL_TOPOLOGY,q_all_THROUGHPUT_NEUTRAL_TOPOLOGY,q_half_A_THROUGHPUT_NEUTRAL_TOPOLOGY,q_half_B_THROUGHPUT_NEUTRAL_TOPOLOGY,prediction_NOOP,q_all_NOOP,q_half_A_NOOP,q_half_B_NOOP
INTCR4_FIXED_COMPOSITION_BETA_CONFIRMATION_V1-c03-m038-g020,03,38,20,42,21,48,838,0.6344155256454886,0.71875,0.625,0.8125,0.5608866608590617,0.515625,0.5,0.53125,0.6014162251354481,0.8125,0.8125,0.8125,0.7299016232638398,0.609375,0.6875,0.53125,0.5987151587170714,0.734375,0.78125,0.6875
INTCR4_FIXED_COMPOSITION_BETA_CONFIRMATION_V1-c03-m038-g035,03,38,35,37,23,49,1522,0.7249956561799401,0.734375,0.6875,0.78125,0.6588022142227453,0.515625,0.5625,0.46875,0.6697492029164709,0.671875,0.625,0.71875,0.835006810377826,0.6875,0.625,0.75,0.6926363671662861,0.71875,0.78125,0.65625
INTCR4_FIXED_COMPOSITION_BETA_CONFIRMATION_V1-c03-m038-g050,03,38,50,46,28,78,2207,0.7105852077476967,0.84375,0.9375,0.75,0.6713675270148703,0.9375,0.90625,0.96875,0.6865877475496447,0.90625,0.9375,0.875,0.8717979663954457,0.84375,0.75,0.9375,0.6907355998350467,0.96875,1.0,0.9375
INTCR4_FIXED_COMPOSITION_BETA_CONFIRMATION_V1-c03-m038-g065,03,38,65,43,31,82,3047,0.7899663127408426,0.796875,0.78125,0.8125,0.7453673458690916,0.796875,0.78125,0.8125,0.7644443571238674,0.71875,0.78125,0.65625,0.9452074319650715,0.578125,0.59375,0.5625,0.7643583246104895,0.796875,0.78125,0.8125
INTCR4_FIXED_COMPOSITION_BETA_CONFIRMATION_V1-c03-m038-g080,03,38,80,35,25,64,3762,0.7921569323051603,0.8125,0.90625,0.71875,0.7512665830532325,0.828125,0.75,0.90625,0.7695401427485844,0.84375,0.8125,0.875,0.91392339921881,0.6875,0.71875,0.65625,0.7761610362356447,0.84375,0.90625,0.78125
INTCR4_FIXED_COMPOSITION_BETA_CONFIRMATION_V1-c02-m039-g020,02,39,20,40,17,57,887,0.41177544861850784,0.125,0.15625,0.09375,0.3340133361598212,0.09375,0.09375,0.09375,0.3754637728977316,0.171875,0.15625,0.1875,0.24967904335872568,0.1875,0.1875,0.1875,0.37389840046322775,0.109375,0.09375,0.125
INTCR4_FIXED_COMPOSITION_BETA_CONFIRMATION_V1-c02-m039-g035,02,39,35,40,9,37,1588,0.08898644250050625,0.046875,0.03125,0.0625,0.054220574190420354,0.03125,0.03125,0.03125,0.07046224278171397,0.0625,0.0625,0.0625,0.026189398734885794,0.015625,0.0,0.03125,0.06979157242608985,0.03125,0.03125,0.03125
INTCR4_FIXED_COMPOSITION_BETA_CONFIRMATION_V1-c02-m039-g050,02,39,50,40,17,25,2394,0.26227294159751574,0.140625,0.15625,0.125,0.19037230625666338,0.046875,0.0625,0.03125,0.21566604627212668,0.171875,0.21875,0.125,0.13431496055719036,0.09375,0.09375,0.09375,0.22726456751209553,0.09375,0.03125,0.15625
INTCR4_FIXED_COMPOSITION_BETA_CONFIRMATION_V1-c02-m039-g065,02,39,65,40,8,52,3068,0.08289050958748659,0.046875,0.0625,0.03125,0.05376466083175695,0.015625,0.03125,0.0,0.06874723891791437,0.0625,0.09375,0.03125,0.021469529584811388,0.0,0.0,0.0,0.06765766755345291,0.046875,0.0625,0.03125
INTCR4_FIXED_COMPOSITION_BETA_CONFIRMATION_V1-c02-m039-g080,02,39,80,40,16,47,3903,0.23804866213501621,0.171875,0.21875,0.125,0.17253445590134367,0.046875,0.0625,0.03125,0.17352435134447197,0.046875,0.0,0.09375,0.10615379449099471,0.125,0.21875,0.03125,0.20675447601027946,0.171875,0.125,0.21875
INTCR4_FIXED_COMPOSITION_BETA_CONFIRMATION_V1-c03-m039-g020,03,39,20,42,7,44,648,0.062424316690273596,0.15625,0.1875,0.125,0.03871303684570421,0.03125,0.0625,0.0,0.04798509111687603,0.1875,0.25,0.125,0.03558496090431376,0.09375,0.15625,0.03125,0.04984731277572623,0.09375,0.15625,0.03125
INTCR4_FIXED_COMPOSITION_BETA_CONFIRMATION_V1-c03-m039-g035,03,39,35,39,16,79,1215,0.2303307777292458,0.25,0.34375,0.15625,0.1663817661114188,0.0,0.0,0.0,0.1864507566174686,0.109375,0.125,0.09375,0.17482840632415564,0.046875,0.0625,0.03125,0.19804781599897395,0.0625,0.03125,0.09375
INTCR4_FIXED_COMPOSITION_BETA_CONFIRMATION_V1-c03-m039-g050,03,39,50,38,15,34,1945,0.5648707061178615,0.40625,0.375,0.4375,0.5087946141287782,0.328125,0.40625,0.25,0.5375422389423133,0.484375,0.59375,0.375,0.5658949769890789,0.515625,0.59375,0.4375,0.5392172366281042,0.421875,0.46875,0.375
INTCR4_FIXED_COMPOSITION_BETA_CONFIRMATION_V1-c03-m039-g065,03,39,65,40,12,24,2628,0.23914230495292677,0.1875,0.25,0.125,0.17579809457352225,0.125,0.1875,0.0625,0.2007370241647608,0.296875,0.28125,0.3125,0.15521517325184742,0.078125,0.09375,0.0625,0.20774437495480352,0.171875,0.25,0.09375
INTCR4_FIXED_COMPOSITION_BETA_CONFIRMATION_V1-c03-m039-g080,03,39,80,37,17,42,3367,0.35694192571910044,0.125,0.09375,0.15625,0.2586014935615349,0.015625,0.0,0.03125,0.3108734995082552,0.09375,0.09375,0.09375,0.2670800713157022,0.0625,0.125,0.0,0.3072591362904522,0.046875,0.03125,0.0625
INTCR4_FIXED_COMPOSITION_BETA_CONFIRMATION_V1-c02-m040-g020,02,40,20,40,15,29,676,0.27967419892164846,0.578125,0.59375,0.5625,0.2098139460856908,0.34375,0.28125,0.40625,0.24560531082102197,0.546875,0.5625,0.53125,0.16973434164108075,0.4375,0.4375,0.4375,0.24587316372299323,0.515625,0.5,0.53125
INTCR4_FIXED_COMPOSITION_BETA_CONFIRMATION_V1-c02-m040-g035,02,40,35,40,15,26,1273,0.3196787442062593,0.375,0.4375,0.3125,0.24786336741873524,0.34375,0.40625,0.28125,0.2840915619812581,0.25,0.3125,0.1875,0.12450296487502961,0.203125,0.28125,0.125,0.28607380055239906,0.375,0.4375,0.3125
INTCR4_FIXED_COMPOSITION_BETA_CONFIRMATION_V1-c02-m040-g050,02,40,50,40,18,27,1922,0.4780135116672779,0.53125,0.65625,0.40625,0.3934974506409425,0.28125,0.34375,0.21875,0.43721661433056425,0.3125,0.28125,0.34375,0.2208077433960092,0.359375,0.375,0.34375,0.44019275502454275,0.328125,0.34375,0.3125
