state_id,candidate,matrix_id,landmark,mass,occupied_types,previous_growth_steps,cumulative_growth_steps,prediction_MODEL_UP,q_all_MODEL_UP,q_half_A_MODEL_UP,q_half_B_MODEL_UP,prediction_MODEL_DOWN,q_all_MODEL_DOWN,q_half_A_MODEL_DOWN,q_half_B_MODEL_DOWN,prediction_RANDOM,q_all_RANDOM,q_half_A_RANDOM,q_half_B_RANDOM,prediction_NOOP,q_all_NOOP,q_half_A_NOOP,q_half_B_NOOP
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m116-g020,02,116,20,40,23,51,1376,0.786200409355595,0.765625,0.78125,0.75,0.7071559434040491,0.609375,0.65625,0.5625,0.7565041052484184,0.75,0.8125,0.6875,0.7599854735214902,0.734375,0.84375,0.625
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m116-g035,02,116,35,40,22,68,2352,0.7278024124059536,0.59375,0.5,0.6875,0.6605549758500301,0.609375,0.6875,0.53125,0.7024777040236359,0.625,0.59375,0.65625,0.7001148660676366,0.546875,0.59375,0.5
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m116-g050,02,116,50,40,24,50,3312,0.7652556651214425,0.515625,0.5625,0.46875,0.6922810614937921,0.53125,0.5,0.5625,0.7120971409079676,0.609375,0.53125,0.6875,0.7232733414898602,0.71875,0.625,0.8125
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m116-g065,02,116,65,40,32,61,4350,0.8273734872776268,0.734375,0.78125,0.6875,0.7794494973188794,0.78125,0.78125,0.78125,0.7910241911491683,0.75,0.75,0.75,0.8010728012543927,0.828125,0.90625,0.75
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m116-g080,02,116,80,40,21,86,5259,0.7928734132090457,0.609375,0.6875,0.53125,0.7208800184746441,0.515625,0.5,0.53125,0.7624684739172354,0.625,0.59375,0.65625,0.7531415538423291,0.65625,0.59375,0.71875
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m116-g020,03,116,20,45,28,66,1044,0.7465679598371322,0.734375,0.71875,0.75,0.6772993030130178,0.71875,0.71875,0.71875,0.7026790960085505,0.609375,0.71875,0.5,0.7063963160479937,0.765625,0.65625,0.875
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m116-g035,03,116,35,40,23,68,1932,0.8635622750921981,0.703125,0.65625,0.75,0.8048460636302246,0.640625,0.75,0.53125,0.8442467014681052,0.6875,0.71875,0.65625,0.8425347398863553,0.671875,0.6875,0.65625
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m116-g050,03,116,50,36,23,76,2810,0.8550331193616532,0.625,0.625,0.625,0.7827150410167035,0.6875,0.6875,0.6875,0.8160823370412439,0.703125,0.75,0.65625,0.8076000677745452,0.609375,0.59375,0.625
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m116-g065,03,116,65,42,23,50,3635,0.7534288689867339,0.578125,0.65625,0.5,0.6663872603127569,0.625,0.5,0.75,0.6994483873961178,0.5,0.40625,0.59375,0.6942645716752655,0.546875,0.46875,0.625
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m116-g080,03,116,80,49,33,46,4385,0.7365287350728672,0.65625,0.71875,0.59375,0.6560366009646859,0.546875,0.46875,0.625,0.6983747488022911,0.609375,0.625,0.59375,0.6958040057312684,0.65625,0.65625,0.65625
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m117-g020,02,117,20,40,18,26,739,0.37744412692015467,0.484375,0.5625,0.40625,0.2602770746060992,0.390625,0.46875,0.3125,0.305414606726747,0.5625,0.59375,0.53125,0.297522671184118,0.5625,0.59375,0.53125
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m117-g035,02,117,35,40,21,35,1383,0.4524093508238876,0.65625,0.6875,0.625,0.35193055849687743,0.421875,0.40625,0.4375,0.40516018946925325,0.5,0.5625,0.4375,0.39361053188849,0.59375,0.59375,0.59375
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m117-g050,02,117,50,40,22,32,2050,0.5262744257554578,0.578125,0.625,0.53125,0.42710313019511664,0.28125,0.40625,0.15625,0.4726440427220067,0.453125,0.40625,0.5,0.4670951217904959,0.453125,0.4375,0.46875
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m117-g065,02,117,65,40,21,41,2647,0.65616437478722,0.71875,0.71875,0.71875,0.5788776499577988,0.53125,0.4375,0.625,0.6222625970854874,0.734375,0.65625,0.8125,0.6272545539752061,0.71875,0.625,0.8125
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m117-g080,02,117,80,40,15,38,3325,0.4213733937336844,0.515625,0.5625,0.46875,0.3025791595917318,0.34375,0.28125,0.40625,0.3819301807062644,0.390625,0.4375,0.34375,0.3542018253163427,0.5625,0.5,0.625
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m117-g020,03,117,20,38,15,27,700,0.5429269344917601,0.265625,0.28125,0.25,0.4278549436464557,0.296875,0.3125,0.28125,0.5262443065170164,0.25,0.21875,0.28125,0.49595977925363405,0.21875,0.21875,0.21875
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m117-g035,03,117,35,41,18,23,1102,0.40253166537392204,0.453125,0.5625,0.34375,0.29069374121007147,0.421875,0.46875,0.375,0.3584042549616529,0.484375,0.40625,0.5625,0.3355041468729156,0.421875,0.28125,0.5625
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m117-g050,03,117,50,44,15,29,1473,0.2763894398077876,0.265625,0.40625,0.125,0.19754272985860422,0.296875,0.3125,0.28125,0.26595318885111624,0.265625,0.34375,0.1875,0.22717742441168165,0.359375,0.34375,0.375
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m117-g065,03,117,65,41,15,13,1839,0.19903461219379973,0.203125,0.15625,0.25,0.14260142762810882,0.21875,0.1875,0.25,0.16680214879090932,0.296875,0.28125,0.3125,0.16613793499820376,0.171875,0.09375,0.25
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m117-g080,03,117,80,40,19,55,2244,0.5670445417637783,0.640625,0.6875,0.59375,0.47051319981015577,0.484375,0.4375,0.53125,0.5056386913840405,0.578125,0.5625,0.59375,0.5254322462157867,0.484375,0.375,0.59375
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m118-g020,02,118,20,40,15,29,723,0.4093153072870776,0.390625,0.3125,0.46875,0.2759900694541709,0.328125,0.28125,0.375,0.3678213192604467,0.421875,0.4375,0.40625,0.37217912359665256,0.40625,0.40625,0.40625
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m118-g035,02,118,35,40,20,54,1343,0.6507855417125226,0.34375,0.25,0.4375,0.4885054217244466,0.265625,0.1875,0.34375,0.6130806483303224,0.390625,0.34375,0.4375,0.6147105194581942,0.34375,0.21875,0.46875
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m118-g050,02,118,50,40,16,19,1764,0.4628069210068538,0.40625,0.46875,0.34375,0.28896218390386075,0.203125,0.15625,0.25,0.3940940044463638,0.359375,0.375,0.34375,0.3833958253722483,0.328125,0.28125,0.375
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m118-g065,02,118,65,40,19,41,2201,0.23925345573690762,0.390625,0.4375,0.34375,0.16292012567250516,0.390625,0.4375,0.34375,0.19238606986174825,0.21875,0.25,0.1875,0.19013389695053073,0.203125,0.25,0.15625
