pair_id,condition,generation,observer,p_a_given_a,p_a_given_b,p_b_given_a,p_b_given_b,direction_a,direction_b,crossover,correct,resolved,survival
fresh-2-77e95a41482de376,zero_every_boundary,4,primary,0.328125,0.328125,0.328125,0.328125,0.0,0.0,0.0,0.328125,0.65625,1.0
fresh-2-77e95a41482de376,zero_every_boundary,4,terminal,0.328125,0.328125,0.328125,0.328125,0.0,0.0,0.0,0.328125,0.65625,1.0
fresh-2-77e95a41482de376,zero_every_boundary,8,primary,0.4375,0.4375,0.296875,0.296875,0.0,0.0,0.0,0.3671875,0.734375,1.0
fresh-2-77e95a41482de376,zero_every_boundary,8,terminal,0.328125,0.328125,0.34375,0.34375,0.0,0.0,0.0,0.3359375,0.671875,1.0
fresh-3-6ca62bf95c11525e,ablate_after_g2,1,primary,0.828125,0.125,0.03125,0.65625,0.703125,0.625,0.625,0.7421875,0.8203125,1.0
fresh-3-6ca62bf95c11525e,ablate_after_g2,1,terminal,0.75,0.09375,0.0625,0.6875,0.65625,0.625,0.625,0.71875,0.796875,1.0
fresh-3-6ca62bf95c11525e,ablate_after_g2,16,primary,0.265625,0.265625,0.40625,0.40625,0.0,0.0,0.0,0.3359375,0.671875,1.0
fresh-3-6ca62bf95c11525e,ablate_after_g2,16,terminal,0.25,0.25,0.453125,0.453125,0.0,0.0,0.0,0.3515625,0.703125,1.0
fresh-3-6ca62bf95c11525e,ablate_after_g2,2,primary,0.609375,0.265625,0.078125,0.34375,0.34375,0.265625,0.265625,0.4765625,0.6484375,1.0
fresh-3-6ca62bf95c11525e,ablate_after_g2,2,terminal,0.53125,0.1875,0.109375,0.390625,0.34375,0.28125,0.28125,0.4609375,0.609375,1.0
fresh-3-6ca62bf95c11525e,ablate_after_g2,4,primary,0.34375,0.34375,0.359375,0.359375,0.0,0.0,0.0,0.3515625,0.703125,1.0
fresh-3-6ca62bf95c11525e,ablate_after_g2,4,terminal,0.3125,0.3125,0.390625,0.390625,0.0,0.0,0.0,0.3515625,0.703125,1.0
fresh-3-6ca62bf95c11525e,ablate_after_g2,8,primary,0.453125,0.453125,0.359375,0.359375,0.0,0.0,0.0,0.40625,0.8125,1.0
fresh-3-6ca62bf95c11525e,ablate_after_g2,8,terminal,0.375,0.375,0.375,0.375,0.0,0.0,0.0,0.375,0.75,1.0
fresh-3-6ca62bf95c11525e,carrier_corruption_1,1,primary,0.796875,0.125,0.078125,0.734375,0.671875,0.65625,0.65625,0.765625,0.8671875,1.0
fresh-3-6ca62bf95c11525e,carrier_corruption_1,1,terminal,0.75,0.078125,0.09375,0.765625,0.671875,0.671875,0.671875,0.7578125,0.84375,1.0
