candidate_id,environment,condition,generation,primary_mean,primary_ci_low,primary_ci_high,terminal_mean,survival_mean,n_pairs
identity-r512-f32,moderate_joint,read_disabled,1,0.0,0.0,0.0,0.0,1.0,128
identity-r512-f32,moderate_joint,read_disabled,2,0.0,0.0,0.0,0.0,1.0,128
identity-r512-f32,moderate_joint,read_disabled,4,0.0,0.0,0.0,0.0,1.0,128
identity-r512-f32,moderate_joint,read_disabled,8,0.0,0.0,0.0,0.0,1.0,128
identity-r512-f32,moderate_joint,read_disabled,16,0.0,0.0,0.0,0.0,1.0,128
identity-r512-f32,moderate_joint,founder_write_disabled,1,0.0,0.0,0.0,0.0,1.0,128
identity-r512-f32,moderate_joint,founder_write_disabled,2,0.0,0.0,0.0,0.0,1.0,128
identity-r512-f32,moderate_joint,founder_write_disabled,4,0.0,0.0,0.0,0.0,1.0,128
identity-r512-f32,moderate_joint,founder_write_disabled,8,0.0,0.0,0.0,0.0,1.0,128
identity-r512-f32,moderate_joint,founder_write_disabled,16,0.0,0.0,0.0,0.0,1.0,128
identity-r512-f32,moderate_joint,no_rewrite,1,0.8570556640625,0.8238522338867188,0.8875735473632813,0.8416748046875,1.0,128
identity-r512-f32,moderate_joint,no_rewrite,2,0.8087158203125,0.77685546875,0.838134765625,0.795654296875,1.0,128
identity-r512-f32,moderate_joint,no_rewrite,4,0.395751953125,0.3624267578125,0.4287109375,0.3892822265625,1.0,128
identity-r512-f32,moderate_joint,no_rewrite,8,-0.01611328125,-0.03076202392578125,-0.0025634765625,-0.014892578125,1.0,128
identity-r512-f32,moderate_joint,no_rewrite,16,-0.0006103515625,-0.0021975708007812497,0.000732421875,-0.000244140625,1.0,128
identity-r512-f32,moderate_joint,ablate_after_g2,1,0.8570556640625,0.8232418823242188,0.8879397583007813,0.8416748046875,1.0,128
identity-r512-f32,moderate_joint,ablate_after_g2,2,0.6925048828125,0.6586911010742188,0.7241220092773439,0.681396484375,1.0,128
identity-r512-f32,moderate_joint,ablate_after_g2,4,0.0,0.0,0.0,0.0,1.0,128
identity-r512-f32,moderate_joint,ablate_after_g2,8,0.0,0.0,0.0,0.0,1.0,128
identity-r512-f32,moderate_joint,ablate_after_g2,16,0.0,0.0,0.0,0.0,1.0,128
identity-r512-f32,moderate_joint,rescue_same_enter_g4,1,0.8570556640625,0.8238519287109375,0.8875732421875,0.8416748046875,1.0,128
identity-r512-f32,moderate_joint,rescue_same_enter_g4,2,0.6925048828125,0.6590570068359375,0.7241213989257813,0.681396484375,1.0,128
identity-r512-f32,moderate_joint,rescue_same_enter_g4,4,0.392578125,0.367431640625,0.4176025390625,0.3883056640625,1.0,128
identity-r512-f32,moderate_joint,rescue_same_enter_g4,8,0.1064453125,0.084228515625,0.1275634765625,0.10888671875,1.0,128
identity-r512-f32,moderate_joint,rescue_same_enter_g4,16,-0.0106201171875,-0.0313720703125,0.0098876953125,-0.0120849609375,1.0,128
identity-r512-f32,moderate_joint,rescue_opposite_enter_g4,1,0.8570556640625,0.823486328125,0.887939453125,0.8416748046875,1.0,128
identity-r512-f32,moderate_joint,rescue_opposite_enter_g4,2,0.6925048828125,0.658323974609375,0.724365234375,0.681396484375,1.0,128
identity-r512-f32,moderate_joint,rescue_opposite_enter_g4,4,-0.448974609375,-0.4759521484375,-0.4218746948242187,-0.444091796875,1.0,128
identity-r512-f32,moderate_joint,rescue_opposite_enter_g4,8,-0.16259765625,-0.18298370361328126,-0.142333984375,-0.15771484375,1.0,128
identity-r512-f32,moderate_joint,rescue_opposite_enter_g4,16,-0.0477294921875,-0.070068359375,-0.025634460449218688,-0.04443359375,1.0,128
identity-r512-f32,moderate_joint,opposite_founder,1,-0.9261474609375,-0.9449462890625,-0.9039306640625,-0.92138671875,1.0,128
identity-r512-f32,moderate_joint,opposite_founder,2,-0.76806640625,-0.7955325317382812,-0.737548828125,-0.752685546875,1.0,128
identity-r512-f32,moderate_joint,opposite_founder,4,-0.448974609375,-0.47522003173828126,-0.4215087890625,-0.444091796875,1.0,128
identity-r512-f32,moderate_joint,opposite_founder,8,-0.16259765625,-0.1820068359375,-0.1418453979492187,-0.15771484375,1.0,128
identity-r512-f32,moderate_joint,opposite_founder,16,-0.0477294921875,-0.0704351806640625,-0.025390625,-0.04443359375,1.0,128
identity-r512-f32,moderate_joint,latent_corruption_1,1,0.852294921875,0.817626953125,0.8822030639648439,0.839111328125,1.0,128
identity-r512-f32,moderate_joint,latent_corruption_1,2,0.687255859375,0.6512451171875,0.7219256591796879,0.673583984375,1.0,128
identity-r512-f32,moderate_joint,latent_corruption_1,4,0.3753662109375,0.34741119384765623,0.4011233520507813,0.372314453125,1.0,128
identity-r512-f32,moderate_joint,latent_corruption_1,8,0.0992431640625,0.07861328125,0.11999572753906262,0.0958251953125,1.0,128
identity-r512-f32,moderate_joint,latent_corruption_1,16,-0.0203857421875,-0.0408935546875,-0.001220703125,-0.022705078125,1.0,128
pca-r008-q04,ordinary,intact,1,0.9288330078125,0.8837881469726563,0.9647216796875,0.9239501953125,1.0,128
pca-r008-q04,ordinary,intact,2,0.9029541015625,0.8593746948242188,0.9373779296875,0.899169921875,1.0,128
pca-r008-q04,ordinary,intact,4,0.857177734375,0.8179931640625,0.8906256103515626,0.8568115234375,1.0,128
pca-r008-q04,ordinary,intact,8,0.765869140625,0.7312008666992188,0.7949221801757813,0.7666015625,1.0,128
pca-r008-q04,ordinary,intact,16,0.6199951171875,0.5887448120117188,0.648681640625,0.61962890625,1.0,128
pca-r008-q04,ordinary,zero_every_boundary,1,0.0,0.0,0.0,0.0,1.0,128
pca-r008-q04,ordinary,zero_every_boundary,2,0.0,0.0,0.0,0.0,1.0,128
pca-r008-q04,ordinary,zero_every_boundary,4,0.0,0.0,0.0,0.0,1.0,128
pca-r008-q04,ordinary,zero_every_boundary,8,0.0,0.0,0.0,0.0,1.0,128
pca-r008-q04,ordinary,zero_every_boundary,16,0.0,0.0,0.0,0.0,1.0,128
pca-r008-q04,ordinary,decoded_shuffle_every_boundary,1,-0.0855712890625,-0.1882330322265625,0.018188781738281312,-0.0853271484375,1.0,128
pca-r008-q04,ordinary,decoded_shuffle_every_boundary,2,-0.032470703125,-0.06823760986328126,0.0045175170898439365,-0.0361328125,1.0,128
pca-r008-q04,ordinary,decoded_shuffle_every_boundary,4,-0.04052734375,-0.059814453125,-0.021728515625,-0.03955078125,1.0,128
pca-r008-q04,ordinary,decoded_shuffle_every_boundary,8,-0.0250244140625,-0.044921875,-0.005981140136718688,-0.027587890625,1.0,128
pca-r008-q04,ordinary,decoded_shuffle_every_boundary,16,-0.0341796875,-0.0526123046875,-0.015625,-0.0301513671875,1.0,128
pca-r008-q04,ordinary,latent_shuffle_every_boundary,1,0.132568359375,-0.0020779418945312475,0.26257415771484394,0.1259765625,1.0,128
pca-r008-q04,ordinary,latent_shuffle_every_boundary,2,0.034912109375,-0.019776611328125,0.09533813476562525,0.0325927734375,1.0,128
pca-r008-q04,ordinary,latent_shuffle_every_boundary,4,-0.00390625,-0.0242919921875,0.0164794921875,-0.0029296875,1.0,128
pca-r008-q04,ordinary,latent_shuffle_every_boundary,8,-0.0023193359375,-0.0211181640625,0.016601867675781312,-0.0057373046875,1.0,128
pca-r008-q04,ordinary,latent_shuffle_every_boundary,16,0.001953125,-0.0174560546875,0.021850891113281312,0.00048828125,1.0,128
pca-r008-q04,ordinary,read_disabled,1,0.0,0.0,0.0,0.0,1.0,128
pca-r008-q04,ordinary,read_disabled,2,0.0,0.0,0.0,0.0,1.0,128
pca-r008-q04,ordinary,read_disabled,4,0.0,0.0,0.0,0.0,1.0,128
pca-r008-q04,ordinary,read_disabled,8,0.0,0.0,0.0,0.0,1.0,128
pca-r008-q04,ordinary,read_disabled,16,0.0,0.0,0.0,0.0,1.0,128
pca-r008-q04,ordinary,founder_write_disabled,1,0.0,0.0,0.0,0.0,1.0,128
pca-r008-q04,ordinary,founder_write_disabled,2,0.0,0.0,0.0,0.0,1.0,128
pca-r008-q04,ordinary,founder_write_disabled,4,0.0,0.0,0.0,0.0,1.0,128
pca-r008-q04,ordinary,founder_write_disabled,8,0.0,0.0,0.0,0.0,1.0,128
pca-r008-q04,ordinary,founder_write_disabled,16,0.0,0.0,0.0,0.0,1.0,128
pca-r008-q04,ordinary,no_rewrite,1,0.9288330078125,0.881468505859375,0.9647216796875,0.9239501953125,1.0,128
pca-r008-q04,ordinary,no_rewrite,2,0.9366455078125,0.8883053588867188,0.9737551879882813,0.93212890625,1.0,128
pca-r008-q04,ordinary,no_rewrite,4,0.6015625,0.5280755615234375,0.6787136840820318,0.58447265625,1.0,128
pca-r008-q04,ordinary,no_rewrite,8,-0.00390625,-0.01513671875,0.009277648925781312,-0.005126953125,1.0,128
pca-r008-q04,ordinary,no_rewrite,16,0.00439453125,-0.00390625,0.0147705078125,0.0030517578125,1.0,128
pca-r008-q04,ordinary,ablate_after_g2,1,0.9288330078125,0.8825680541992188,0.9643566894531252,0.9239501953125,1.0,128
pca-r008-q04,ordinary,ablate_after_g2,2,0.9029541015625,0.8623037719726563,0.9362799072265626,0.899169921875,1.0,128
pca-r008-q04,ordinary,ablate_after_g2,4,0.0,0.0,0.0,0.0,1.0,128
pca-r008-q04,ordinary,ablate_after_g2,8,0.0,0.0,0.0,0.0,1.0,128
pca-r008-q04,ordinary,ablate_after_g2,16,0.0,0.0,0.0,0.0,1.0,128
pca-r008-q04,ordinary,rescue_same_enter_g4,1,0.9288330078125,0.881591796875,0.9649658203125,0.9239501953125,1.0,128
pca-r008-q04,ordinary,rescue_same_enter_g4,2,0.9029541015625,0.860472412109375,0.9366458129882813,0.899169921875,1.0,128
