ambiguous_boundaries,completed_boundaries,model,occupancy_exceeded,parameter_key,passed,seed_index,total_updates
1,1,evoloop,False,"n=4,imm=0.25",False,13,899
1,1,evoloop,False,"n=4,imm=0.25",False,14,913
1,1,evoloop,False,"n=4,imm=0.25",False,15,899
1,1,evoloop,False,"n=4,imm=0.5",False,0,1153
1,1,evoloop,False,"n=4,imm=0.5",False,1,858
1,1,evoloop,False,"n=4,imm=0.5",False,2,899
0,1,evoloop,False,"n=4,imm=0.5",False,3,901
1,1,evoloop,False,"n=4,imm=0.5",False,4,899
1,1,evoloop,False,"n=4,imm=0.5",False,5,886
1,0,evoloop,False,"n=4,imm=0.5",False,6,229
1,1,evoloop,False,"n=4,imm=0.5",False,7,899
1,1,evoloop,False,"n=4,imm=0.5",False,8,899
1,1,evoloop,False,"n=4,imm=0.5",False,9,899
0,1,evoloop,False,"n=4,imm=0.5",False,10,829
1,0,evoloop,False,"n=4,imm=0.5",False,11,361
1,0,evoloop,False,"n=4,imm=0.5",False,12,233
0,1,evoloop,False,"n=4,imm=0.5",False,13,901
1,1,evoloop,False,"n=4,imm=0.5",False,14,899
1,1,evoloop,False,"n=4,imm=0.5",False,15,881
1,0,evoloop,False,"n=4,imm=1",False,0,434
1,0,evoloop,False,"n=4,imm=1",False,1,411
0,2,evoloop,False,"n=4,imm=1",False,2,1446
1,1,evoloop,False,"n=4,imm=1",False,3,826
1,1,evoloop,False,"n=4,imm=1",False,4,899
1,1,evoloop,False,"n=4,imm=1",False,5,899
1,1,evoloop,False,"n=4,imm=1",False,6,899
1,0,evoloop,False,"n=4,imm=1",False,7,427
1,0,evoloop,False,"n=4,imm=1",False,8,522
1,1,evoloop,False,"n=4,imm=1",False,9,899
1,0,evoloop,False,"n=4,imm=1",False,10,338
1,0,evoloop,False,"n=4,imm=1",False,11,548
1,1,evoloop,False,"n=4,imm=1",False,12,899
1,0,evoloop,False,"n=4,imm=1",False,13,261
0,1,evoloop,False,"n=4,imm=1",False,14,905
1,0,evoloop,False,"n=4,imm=1",False,15,548
1,0,evoloop,False,"n=8,imm=0",False,0,536
0,1,evoloop,False,"n=8,imm=0",False,1,861
0,2,evoloop,False,"n=8,imm=0",False,2,1336
1,0,evoloop,False,"n=8,imm=0",False,3,585
1,1,evoloop,False,"n=8,imm=0",False,4,858
1,0,evoloop,False,"n=8,imm=0",False,5,419
1,1,evoloop,False,"n=8,imm=0",False,6,983
1,1,evoloop,False,"n=8,imm=0",False,7,899
1,0,evoloop,False,"n=8,imm=0",False,8,548
1,1,evoloop,False,"n=8,imm=0",False,9,805
1,0,evoloop,False,"n=8,imm=0",False,10,383
0,2,evoloop,False,"n=8,imm=0",False,11,1262
1,1,evoloop,False,"n=8,imm=0",False,12,805
1,0,evoloop,False,"n=8,imm=0",False,13,587
1,2,evoloop,False,"n=8,imm=0",False,14,1492
1,0,evoloop,False,"n=8,imm=0",False,15,427
1,0,evoloop,False,"n=8,imm=0.25",False,0,564
1,0,evoloop,False,"n=8,imm=0.25",False,1,404
1,1,evoloop,False,"n=8,imm=0.25",False,2,899
1,0,evoloop,False,"n=8,imm=0.25",False,3,1160
1,0,evoloop,False,"n=8,imm=0.25",False,4,637
1,0,evoloop,False,"n=8,imm=0.25",False,5,225
1,1,evoloop,False,"n=8,imm=0.25",False,6,844
0,0,evoloop,False,"n=8,imm=0.25",False,7,240
1,0,evoloop,False,"n=8,imm=0.25",False,8,636
0,0,evoloop,False,"n=8,imm=0.25",False,9,76
1,1,evoloop,False,"n=8,imm=0.25",False,10,899
1,1,evoloop,False,"n=8,imm=0.25",False,11,899
1,0,evoloop,False,"n=8,imm=0.25",False,12,565
1,0,evoloop,False,"n=8,imm=0.25",False,13,404
0,2,evoloop,False,"n=8,imm=0.25",False,14,1655
