candidate,matrix_id,setting_id,arm,n_futures,horizon,terminal8_f16,terminal8_f32,terminal8_f64,capture_any_f16,capture_any_f32,capture_any_f64,arrival_f16,occupancy,maximum_residence,departed,reentered,extinction,final_target_h,carrier_target_h
03,32,k008_l08_u2p0_ideal,stranger_correct,48,64,0.0,0.020833333333333332,0.020833333333333332,0.0,0.041666666666666664,0.22916666666666666,0.75,0.7219929485903673,8.145833333333334,1.0,0.22916666666666666,0.0,0.7653985720967024,0.848128577637425
03,32,k008_l08_u2p0_ideal,stranger_zero,48,64,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.6666666666666666,0.695456006779756,4.895833333333333,1.0,0.041666666666666664,0.0,0.7238938811741172,0.0
03,32,k008_l08_u2p0_ideal,stranger_shuffled,48,64,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.5833333333333334,0.6654994185261763,4.791666666666667,1.0,0.020833333333333332,0.0,0.7233242949361037,0.02368487714261586
03,32,k008_l08_u2p0_ideal,native_zero,48,64,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.9166666666666666,0.7243050152607324,4.541666666666667,1.0,0.020833333333333332,0.0,0.7328999710474035,0.0
03,32,k008_l08_u2p0_ideal,native_shuffled,48,64,0.020833333333333332,0.0,0.0,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.8541666666666666,0.7345402804154956,4.9375,1.0,0.020833333333333332,0.0,0.7280388542912345,0.02368487714261586
03,32,k008_l08_u2p0_ideal,native_reader_off,48,64,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.9166666666666666,0.7243050152607324,4.541666666666667,1.0,0.020833333333333332,0.0,0.7328999710474035,0.8234943264379155
03,32,k008_l08_u2p0_ideal,native_founder_writer_off,48,64,0.0,0.0,0.0,0.0,0.020833333333333332,0.0625,0.8958333333333334,0.7617753661892636,7.25,1.0,0.0625,0.0,0.8024276130163805,0.8976759638817221
03,32,k008_l08_u2p0_ideal,native_renewal_off,48,64,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.9583333333333334,0.7587202178834452,5.1875,1.0,0.020833333333333332,0.0,0.7445603534193298,0.9999999999999999
03,32,k008_l08_u2p0_ideal,native_erase_after_g2,48,64,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,0.7529367094254131,4.666666666666667,1.0,0.0,0.0,0.7516107963443378,0.0
03,32,k008_l08_u2p0_ideal,native_erase_rescue_g3,48,64,0.020833333333333332,0.0,0.0,0.0625,0.14583333333333334,0.20833333333333334,0.9583333333333334,0.7934724661109267,8.583333333333334,1.0,0.20833333333333334,0.0,0.7626679437023487,0.8695279926043725
