candidate,matrix_id,setting_id,arm,terminal8_f32,capture_any_f32,arrival_f16,occupancy,extinction
02,11,k008_l08_u2p0_nominal,stranger_correct,0.0,0.0,0.875,0.4352316517132405,0.0
02,11,k008_l08_u2p0_nominal,stranger_zero,0.125,0.375,0.5,0.38107427651994763,0.0
02,11,k016_l01_u0p5_ideal,native_correct,0.0,0.125,0.875,0.3665865803553319,0.0
02,11,k016_l01_u0p5_ideal,native_zero,0.0,0.125,0.75,0.3799947869803786,0.0
02,11,k016_l01_u0p5_ideal,native_opposite,0.0,0.25,0.75,0.4546246227792897,0.0
02,11,k016_l01_u0p5_ideal,native_shuffled,0.0,0.125,0.75,0.44203014469299123,0.0
02,11,k016_l01_u0p5_ideal,stranger_correct,0.0,0.0,1.0,0.44578927751944575,0.0
02,11,k016_l01_u0p5_ideal,stranger_zero,0.125,0.375,0.5,0.38107427651994763,0.0
02,11,k016_l01_u0p5_nominal,native_correct,0.0,0.0,0.875,0.31690354579797303,0.0
02,11,k016_l01_u0p5_nominal,native_zero,0.0,0.125,0.75,0.3799947869803786,0.0
02,11,k016_l01_u0p5_nominal,native_opposite,0.0,0.0,0.75,0.4221863083438076,0.0
02,11,k016_l01_u0p5_nominal,native_shuffled,0.0,0.0,0.75,0.38761416057366227,0.0
02,11,k016_l01_u0p5_nominal,stranger_correct,0.125,0.125,0.5,0.3439745566522693,0.0
02,11,k016_l01_u0p5_nominal,stranger_zero,0.125,0.375,0.5,0.38107427651994763,0.0
02,11,k016_l01_u1p0_ideal,native_correct,0.0,0.125,0.75,0.3563398810808267,0.0
02,11,k016_l01_u1p0_ideal,native_zero,0.0,0.125,0.75,0.3799947869803786,0.0
02,11,k016_l01_u1p0_ideal,native_opposite,0.0,0.0,0.875,0.4597232203118143,0.0
02,11,k016_l01_u1p0_ideal,native_shuffled,0.0,0.0,0.625,0.3894392290044051,0.0
02,11,k016_l01_u1p0_ideal,stranger_correct,0.0,0.0,0.875,0.42751708855698545,0.0
02,11,k016_l01_u1p0_ideal,stranger_zero,0.125,0.375,0.5,0.38107427651994763,0.0
02,11,k016_l01_u1p0_nominal,native_correct,0.0,0.0,0.75,0.37852017277536243,0.0
02,11,k016_l01_u1p0_nominal,native_zero,0.0,0.125,0.75,0.3799947869803786,0.0
02,11,k016_l01_u1p0_nominal,native_opposite,0.0,0.0,1.0,0.30585211685339997,0.0
02,11,k016_l01_u1p0_nominal,native_shuffled,0.0,0.0,0.875,0.34475124551531744,0.0
02,11,k016_l01_u1p0_nominal,stranger_correct,0.0,0.0,0.5,0.2861189457629981,0.0
02,11,k016_l01_u1p0_nominal,stranger_zero,0.125,0.375,0.5,0.38107427651994763,0.0
02,11,k016_l01_u2p0_ideal,native_correct,0.0,0.0,0.625,0.37430134675090304,0.0
02,11,k016_l01_u2p0_ideal,native_zero,0.0,0.125,0.75,0.3799947869803786,0.0
02,11,k016_l01_u2p0_ideal,native_opposite,0.0,0.0,0.75,0.27873425950511443,0.0
02,11,k016_l01_u2p0_ideal,native_shuffled,0.0,0.0,0.75,0.3482794366430921,0.0
02,11,k016_l01_u2p0_ideal,stranger_correct,0.0,0.0,1.0,0.34439248034171516,0.0
02,11,k016_l01_u2p0_ideal,stranger_zero,0.125,0.375,0.5,0.38107427651994763,0.0
02,11,k016_l01_u2p0_nominal,native_correct,0.0,0.0,0.875,0.3807442743990005,0.0
02,11,k016_l01_u2p0_nominal,native_zero,0.0,0.125,0.75,0.3799947869803786,0.0
02,11,k016_l01_u2p0_nominal,native_opposite,0.0,0.0,0.75,0.30911463858687255,0.0
02,11,k016_l01_u2p0_nominal,native_shuffled,0.0,0.0,0.75,0.32871575668364456,0.0
02,11,k016_l01_u2p0_nominal,stranger_correct,0.0,0.125,0.75,0.4248443377734378,0.0
02,11,k016_l01_u2p0_nominal,stranger_zero,0.125,0.375,0.5,0.38107427651994763,0.0
02,11,k016_l04_u0p5_ideal,native_correct,0.0,0.125,1.0,0.3904330864460278,0.0
02,11,k016_l04_u0p5_ideal,native_zero,0.0,0.125,0.75,0.3799947869803786,0.0
02,11,k016_l04_u0p5_ideal,native_opposite,0.125,0.25,1.0,0.37942315443939173,0.0
02,11,k016_l04_u0p5_ideal,native_shuffled,0.0,0.125,0.875,0.43332429088960345,0.0
02,11,k016_l04_u0p5_ideal,stranger_correct,0.0,0.125,0.875,0.3384877443030818,0.0
02,11,k016_l04_u0p5_ideal,stranger_zero,0.125,0.375,0.5,0.38107427651994763,0.0
02,11,k016_l04_u0p5_nominal,native_correct,0.0,0.0,0.875,0.4780606423996777,0.0
02,11,k016_l04_u0p5_nominal,native_zero,0.0,0.125,0.75,0.3799947869803786,0.0
02,11,k016_l04_u0p5_nominal,native_opposite,0.0,0.0,0.875,0.4344705535896187,0.0
02,11,k016_l04_u0p5_nominal,native_shuffled,0.0,0.0,0.75,0.44125671006197287,0.0
02,11,k016_l04_u0p5_nominal,stranger_correct,0.0,0.0,0.375,0.3102703733562377,0.0
02,11,k016_l04_u0p5_nominal,stranger_zero,0.125,0.375,0.5,0.38107427651994763,0.0
02,11,k016_l04_u1p0_ideal,native_correct,0.0,0.0,1.0,0.3935740765672089,0.0
02,11,k016_l04_u1p0_ideal,native_zero,0.0,0.125,0.75,0.3799947869803786,0.0
02,11,k016_l04_u1p0_ideal,native_opposite,0.0,0.125,1.0,0.3577817462199757,0.0
02,11,k016_l04_u1p0_ideal,native_shuffled,0.0,0.125,0.875,0.36031913688069356,0.0
02,11,k016_l04_u1p0_ideal,stranger_correct,0.0,0.0,0.625,0.3712803276883324,0.0
02,11,k016_l04_u1p0_ideal,stranger_zero,0.125,0.375,0.5,0.38107427651994763,0.0
02,11,k016_l04_u1p0_nominal,native_correct,0.0,0.125,0.625,0.3220647427818474,0.0
02,11,k016_l04_u1p0_nominal,native_zero,0.0,0.125,0.75,0.3799947869803786,0.0
02,11,k016_l04_u1p0_nominal,native_opposite,0.125,0.25,1.0,0.42336662702469197,0.0
02,11,k016_l04_u1p0_nominal,native_shuffled,0.0,0.0,1.0,0.432821331712423,0.0
02,11,k016_l04_u1p0_nominal,stranger_correct,0.0,0.0,0.75,0.377342089690629,0.0
02,11,k016_l04_u1p0_nominal,stranger_zero,0.125,0.375,0.5,0.38107427651994763,0.0
02,11,k016_l04_u2p0_ideal,native_correct,0.0,0.0,0.75,0.28708879282318933,0.0
02,11,k016_l04_u2p0_ideal,native_zero,0.0,0.125,0.75,0.3799947869803786,0.0
02,11,k016_l04_u2p0_ideal,native_opposite,0.0,0.0,0.875,0.35987864265566716,0.0
02,11,k016_l04_u2p0_ideal,native_shuffled,0.0,0.0,1.0,0.3770126997410362,0.0
02,11,k016_l04_u2p0_ideal,stranger_correct,0.0,0.0,0.75,0.4392575185365963,0.0
02,11,k016_l04_u2p0_ideal,stranger_zero,0.125,0.375,0.5,0.38107427651994763,0.0
02,11,k016_l04_u2p0_nominal,native_correct,0.0,0.0,0.75,0.38505605523831654,0.0
02,11,k016_l04_u2p0_nominal,native_zero,0.0,0.125,0.75,0.3799947869803786,0.0
02,11,k016_l04_u2p0_nominal,native_opposite,0.0,0.0,0.625,0.36680504328314933,0.0
02,11,k016_l04_u2p0_nominal,native_shuffled,0.0,0.0,1.0,0.3859744554733716,0.0
02,11,k016_l04_u2p0_nominal,stranger_correct,0.0,0.125,1.0,0.37293675684132566,0.0
02,11,k016_l04_u2p0_nominal,stranger_zero,0.125,0.375,0.5,0.38107427651994763,0.0
02,11,k016_l08_u0p5_ideal,native_correct,0.0,0.0,0.75,0.3590523268006076,0.0
02,11,k016_l08_u0p5_ideal,native_zero,0.0,0.125,0.75,0.3799947869803786,0.0
02,11,k016_l08_u0p5_ideal,native_opposite,0.125,0.25,1.0,0.4466170451368407,0.0
02,11,k016_l08_u0p5_ideal,native_shuffled,0.0,0.125,0.875,0.37649942894923777,0.0
02,11,k016_l08_u0p5_ideal,stranger_correct,0.0,0.0,0.875,0.4817628386564511,0.0
02,11,k016_l08_u0p5_ideal,stranger_zero,0.125,0.375,0.5,0.38107427651994763,0.0
02,11,k016_l08_u0p5_nominal,native_correct,0.0,0.0,0.875,0.3534858373169969,0.0
02,11,k016_l08_u0p5_nominal,native_zero,0.0,0.125,0.75,0.3799947869803786,0.0
02,11,k016_l08_u0p5_nominal,native_opposite,0.0,0.0,0.875,0.45143247272558207,0.0
02,11,k016_l08_u0p5_nominal,native_shuffled,0.0,0.0,1.0,0.3646667132645476,0.0
02,11,k016_l08_u0p5_nominal,stranger_correct,0.0,0.25,1.0,0.4380224857148076,0.0
02,11,k016_l08_u0p5_nominal,stranger_zero,0.125,0.375,0.5,0.38107427651994763,0.0
02,11,k016_l08_u1p0_ideal,native_correct,0.0,0.0,0.875,0.3758765450648418,0.0
