candidate,matrix_id,setting_id,arm,n_futures,horizon,terminal8_f16,terminal8_f32,terminal8_f64,capture_any_f32,occupancy,origin_correct,carrier_origin_correct,final_target_h,final_other_h,extinction
02,23,k008_l01_u2p0_nominal,state_b_carrier_a,48,64,0.0,0.0,0.020833333333333332,0.0,0.24605363285264406,0.6458333333333334,0.6458333333333334,0.3470295064641467,0.2609903817952108,0.0
02,23,k008_l01_u2p0_nominal,state_b_carrier_b,48,64,0.0,0.0,0.0,0.041666666666666664,0.3302508681089545,0.3958333333333333,0.4166666666666667,0.27272065829874004,0.32455872258881485,0.0
02,25,k008_l01_u2p0_nominal,state_a_carrier_a,48,64,0.0,0.041666666666666664,0.020833333333333332,0.25,0.41528051017547635,0.4375,0.5625,0.4505566727007104,0.4773696693572294,0.0
02,25,k008_l01_u2p0_nominal,state_a_carrier_b,48,64,0.0,0.0,0.0,0.0,0.49604668231983173,0.5625,0.4375,0.48413765598515407,0.41511171492520166,0.0
02,25,k008_l01_u2p0_nominal,state_b_carrier_a,48,64,0.08333333333333333,0.0,0.0625,0.10416666666666667,0.36322764870406216,0.5,0.625,0.44451994831563124,0.38474537180288554,0.0
02,25,k008_l01_u2p0_nominal,state_b_carrier_b,48,64,0.0,0.0,0.0,0.0,0.5513041769619708,0.6041666666666666,0.4791666666666667,0.5586653782348913,0.38108024919455336,0.0
02,45,k008_l01_u2p0_nominal,state_a_carrier_a,48,64,0.0,0.020833333333333332,0.0,0.20833333333333334,0.5853913636818816,0.8541666666666666,0.875,0.5313529763803273,0.12956113036117944,0.0
02,45,k008_l01_u2p0_nominal,state_a_carrier_b,48,64,0.0,0.0,0.0,0.0,0.11320452023327765,0.14583333333333334,0.16666666666666666,0.14840818997392033,0.506289361823736,0.0
02,45,k008_l01_u2p0_nominal,state_b_carrier_a,48,64,0.0,0.0,0.020833333333333332,0.125,0.5291811013075857,0.875,0.875,0.6042760916956588,0.09034802582223156,0.0
02,45,k008_l01_u2p0_nominal,state_b_carrier_b,48,64,0.0,0.0,0.0,0.041666666666666664,0.19383899686398273,0.08333333333333333,0.08333333333333333,0.07514279945938063,0.6519780206956546,0.0
02,55,k008_l01_u2p0_nominal,state_a_carrier_a,48,64,0.041666666666666664,0.0,0.020833333333333332,0.20833333333333334,0.5903593507094987,0.75,0.8333333333333334,0.6340411156202566,0.13486722659137276,0.0
02,55,k008_l01_u2p0_nominal,state_a_carrier_b,48,64,0.0,0.0,0.0,0.0,0.16268615559303465,0.2708333333333333,0.16666666666666666,0.18061729462167,0.6215854230416755,0.0
02,55,k008_l01_u2p0_nominal,state_b_carrier_a,48,64,0.041666666666666664,0.041666666666666664,0.020833333333333332,0.2916666666666667,0.5177792306719003,0.5833333333333334,0.75,0.47346356900379666,0.2326922493126213,0.0
02,55,k008_l01_u2p0_nominal,state_b_carrier_b,48,64,0.0,0.0,0.0,0.020833333333333332,0.2116274295892243,0.25,0.20833333333333334,0.18042267920803493,0.6270339948973803,0.0
02,72,k008_l01_u2p0_nominal,state_a_carrier_a,48,64,0.5,0.4583333333333333,0.4375,0.9375,0.8281877220227014,0.8333333333333334,0.8541666666666666,0.7969629918770099,0.16964838299818685,0.0
